Type,Title,Link,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Return,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
dien thoai,Điện thoại OPPO FIND N3 (16GB/512GB) - Hàng chính hãng,https://www.lazada.vn/products/dien-thoai-oppo-find-n3-16gb512gb-hang-chinh-hang-i2455329959.html,41.990.000 ₫,7% Off,11 Đã bán,,Hồ Chí Minh,44.990.000 ₫,20.100 ₫,30 Ngày Trả Hàng Miễn Phí,99%,100%,75%,['0'],['0'],['0'],['0'],['0']
dien thoai,[Trả góp 0%] Apple iPhone 15 Pro 1TB Chính hãng VN/A [Viettel Store],https://www.lazada.vn/products/tra-gop-0-apple-iphone-15-pro-1tb-chinh-hang-vna-viettel-store-i2416583278.html,39.890.000 ₫,10% Off,,,Hà Nội,44.490.000 ₫,38.000 ₫,30 Ngày Trả Hàng Miễn Phí,99%,100%,85%,['0'],['0'],['0'],['0'],['0']
dien thoai,Điện thoại Samsung Galaxy S24 Ultra 12GB/1TB - Độc Quyền Online,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-ultra-12gb1tb-doc-quyen-online-i2534500258.html,37.590.001 ₫,16% Off,24 Đã bán,(2),Hồ Chí Minh,44.490.000 ₫,,30 Ngày Trả Hàng Miễn Phí,90%,Không đủ thông tin,100%,['0'],['0'],['0'],['0'],['2']
dien thoai,"Samsung Galaxy S23 Ultra 5G 8GB | 512GB - Màn hình 6,8"" 120Hz | Chip Snapdragon 8 Gen 2 - Bảo hành độc quyền 2 năm",https://www.lazada.vn/products/samsung-galaxy-ultra-5g-8gb-512gb-man-hinh-68-120hz-chip-snapdragon-8-gen-2-bao-hanh-doc-quyen-2-nam-i2651636273.html,36.990.000 ₫,,,,Hồ Chí Minh,,16.500 ₫,30 Ngày Trả Hàng Miễn Phí,98%,82%,100%,['0'],['0'],['0'],['0'],['0']
dien thoai,iPhone 15 Pro Max 256GB/512GB/1T [Futureworld- AAR],https://www.lazada.vn/products/iphone-15-pro-max-256gb512gb1t-futureworld-aar-i2417198546.html,32.126.000 ₫,,28 Đã bán,(1),Hồ Chí Minh,38.470.000 ₫,18.300 ₫,30 Ngày Trả Hàng Miễn Phí,98%,100%,100%,['0'],['0'],['0'],['0'],['1']
dien thoai,[GIÁ SỐC CHỈ 6.6 - VOUCHER 7TR] [TẶNG Buds2 Pro + Duo Charger - KIỂM TRA GIỎ HÀNG] Điện thoại Samsung Galaxy S24 Ultra - Điện thoại AI - Camera 200MP Zoom 100x - S Pen - Snapdragon 8 Gen 3,https://www.lazada.vn/products/gia-soc-chi-66-voucher-7tr-tang-buds2-pro-duo-charger-kiem-tra-gio-hang-dien-thoai-samsung-galaxy-ultra-dien-thoai-ai-camera-200mp-zoom-100x-s-pen-snapdragon-8-gen-3-i2540035297.html,31.990.000 ₫,6% Off,1.3K Đã bán,(305),Hồ Chí Minh,33.990.000 ₫,16.500 ₫,30 Ngày Trả Hàng Miễn Phí,91%,99%,100%,['2'],['0'],['1'],['0'],['302']
dien thoai,Điện thoại Samsung Galaxy S24 Ultra 12GB/512GB - Độc Quyền Online,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-ultra-12gb512gb-doc-quyen-online-i2534394835.html,31.590.000 ₫,16% Off,21 Đã bán,(2),Hồ Chí Minh,37.490.000 ₫,,30 Ngày Trả Hàng Miễn Phí,90%,Không đủ thông tin,100%,['0'],['0'],['0'],['0'],['3']
dien thoai,[Trả góp 0%] Apple iPhone 15 Pro Max 256GB Chính hãng VN/A [Viettel Store],https://www.lazada.vn/products/tra-gop-0-apple-iphone-15-pro-max-256gb-chinh-hang-vna-viettel-store-i2416609251.html,30.090.000 ₫,15% Off,82 Đã bán,(10),Hà Nội,35.990.000 ₫,38.000 ₫,30 Ngày Trả Hàng Miễn Phí,99%,100%,85%,['0'],['0'],['0'],['0'],['10']
dien thoai,Điện thoại thông minh Xiaomi 14 Ultra (16+512GB),https://www.lazada.vn/products/dien-thoai-thong-minh-xiaomi-14-ultra-16512gb-i2645089479.html,29.517.000 ₫,11% Off,6 Đã bán,,Hồ Chí Minh,32.990.000 ₫,18.300 ₫,30 Ngày Trả Hàng Miễn Phí,99%,100%,100%,['0'],['0'],['0'],['0'],['0']
dien thoai,[6.6 SALE TO] iPhone 15 Pro Max - Hàng Chính Hãng VN/A,https://www.lazada.vn/products/66-sale-to-iphone-15-pro-max-hang-chinh-hang-vna-i2417233670.html,29.590.000 ₫,15% Off,11.2K Đã bán,(2631),Hồ Chí Minh,34.999.000 ₫,5.500 ₫,30 Ngày Trả Hàng Miễn Phí,94%,98%,100%,['30'],['3'],['8'],['9'],['2578']
dien thoai,Điện thoại Xiaomi 14 Ultra 16GB/512GB Chính hãng,https://www.lazada.vn/products/dien-thoai-xiaomi-14-ultra-16gb512gb-chinh-hang-i2659247573.html,28.990.000 ₫,12% Off,,,Hà Nội,32.990.000 ₫,38.000 ₫,,98%,100%,90%,['0'],['0'],['0'],['0'],['0']
dien thoai,[Trả góp 0%] Apple iPhone 15 Pro 256GB Chính hãng VN/A [Viettel Store],https://www.lazada.vn/products/tra-gop-0-apple-iphone-15-pro-256gb-chinh-hang-vna-viettel-store-i2416608229.html,28.890.000 ₫,11% Off,7 Đã bán,(1),Hà Nội,32.490.000 ₫,38.000 ₫,30 Ngày Trả Hàng Miễn Phí,99%,100%,85%,['0'],['0'],['0'],['0'],['1']
