,Type,Title,Links,Price,Discount_percent,Sold,Preview,Location,Original,Ship_price,Return,Positive_review,Ship_on_time,Rate_response,One_star,Two_star,Three_star,Four_star,Five_star
0,giày dép,Dép Trẻ Em Dép Khủng Long Hoạt Hình Đế Mềm Chống Trượt Đi Bên Ngoài Tắm Trong Nhà Trẻ Em Lớn Nhỡ Bé Trai Bé Gái Em Bé Mùa Hè,https://www.lazada.vn/products/dep-tre-em-dep-khung-long-hoat-hinh-de-mem-chong-truot-di-ben-ngoai-tam-trong-nha-tre-em-lon-nho-be-trai-be-gai-em-be-mua-he-i2404111375.html,35.100 ₫,10% Off,387 Đã bán,(144),Hồ Chí Minh,41.000 ₫,17.000 ₫,Không áp dụng chính sách bảo hành,95%,93%,98%,0,1,2,4,137
1,giày dép,Dép Quai Ngang Đế Dày Chống Trượt Thời Trang Hàn Quốc Cho Nữ,https://www.lazada.vn/products/dep-quai-ngang-de-day-chong-truot-thoi-trang-han-quoc-cho-nu-i2598018987.html,47.723 ₫,52% Off,277 Đã bán,(77),Nước ngoài,99.000 ₫,,Không áp dụng chính sách bảo hành,97%,Không đủ thông tin,100%,2,0,4,3,69
2,giày dép,(Giá tận xưởng) Dép chữ C unisex nam nữ bền đẹp thời trang,https://www.lazada.vn/products/gia-tan-xuong-dep-chu-c-unisex-nam-nu-ben-dep-thoi-trang-i2494252451.html,32.000 ₫,54% Off,83 Đã bán,(20),Hồ Chí Minh,69.000 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,93%,92%,100%,0,0,1,0,19
3,giày dép,Giày đi nước mùa hè dép nhựa nam GS188,https://www.lazada.vn/products/giay-di-nuoc-mua-he-dep-nhua-nam-gs188-i2203845747.html,59.000 ₫,61% Off,519 Đã bán,(123),Hà Nội,151.000 ₫,45.100 ₫,3 ngày trả hàng cho Nhà bán hàng,97%,99%,88%,1,1,2,7,113
4,giày dép,Dép xỏ ngón Nam 2024 Phiên Bản Hàn Quốc Giày Đi Biển Bên Ngoài Dép Chống Trơn Trượt Cao Su Flip-Flo,https://www.lazada.vn/products/dep-xo-ngon-nam-2024-phien-ban-han-quoc-giay-di-bien-ben-ngoai-dep-chong-tron-truot-cao-su-flip-flo-i2625762188.html,19.000 ₫,50% Off,547 Đã bán,(99),Nước ngoài,38.000 ₫,,Không áp dụng chính sách bảo hành,96%,Không đủ thông tin,100%,0,0,0,1,98
5,giày dép,"Dép nam da bò quai hậu, dép da nam",https://www.lazada.vn/products/dep-nam-da-bo-quai-hau-dep-da-nam-i518586248.html,99.000 ₫,45% Off,775 Đã bán,(226),Hà Nội,180.000 ₫,38.000 ₫,3 ngày trả hàng cho Nhà bán hàng,94%,99%,100%,6,8,12,25,175
6,giày dép,Xăng Đan Giày Lội Nước Lội Suối Thể Thao Nhẹ Tiện Lợi Đục Lỗ Mặt Lưới Thoáng Khí Mẫu Mỏng Mùa Hè Dép Lê Có Lỗ Đi Biển,https://www.lazada.vn/products/xang-dan-giay-loi-nuoc-loi-suoi-the-thao-nhe-tien-loi-duc-lo-mat-luoi-thoang-khi-mau-mong-mua-he-dep-le-co-lo-di-bien-i2406892099.html,79.120 ₫,39% Off,94 Đã bán,(28),Nước ngoài,130.000 ₫,17.000 ₫,Không áp dụng chính sách bảo hành,95%,94%,100%,0,1,1,1,25
7,giày dép,Dép Nữ Giày Đi Biển Thời Trang Giày Bệt Nơ Dép Đi Trong Nhà,https://www.lazada.vn/products/dep-nu-giay-di-bien-thoi-trang-giay-bet-no-dep-di-trong-nha-i2621902791.html,19.895 ₫,57% Off,45 Đã bán,(15),Nước ngoài,46.000 ₫,,Không áp dụng chính sách bảo hành,95%,Không đủ thông tin,100%,0,1,0,0,14
8,giày dép,[FACOTA CHÍNH HÃNG] Giày Dép Sandals Facota Nam Nữ Đen Trắng NN02 - Sandal Êm Nhẹ Đẹp,https://www.lazada.vn/products/facota-chinh-hang-giay-dep-sandals-facota-nam-nu-den-trang-nn02-sandal-em-nhe-dep-i1864920798.html,208.662 ₫,46% Off,885 Đã bán,(127),Hồ Chí Minh,389.000 ₫,18.300 ₫,3 ngày trả hàng cho Nhà bán hàng,99%,99%,50%,2,0,0,2,123
9,giày dép,Dép Cơ Khí Mẫu Mới Dép Xăng Đan Trong Nhà Ngoài Trời Kiểu Phối Đa Phong Cách Thời Trang Đế Mềm Thể Thao Trào Lưu Chống Đi Bên Ngoài,https://www.lazada.vn/products/dep-co-khi-mau-moi-dep-xang-dan-trong-nha-ngoai-troi-kieu-phoi-da-phong-cach-thoi-trang-de-mem-the-thao-trao-luu-chong-di-ben-ngoai-i2632000601.html,15.500 ₫,50% Off,,,Nước ngoài,89.000 ₫,17.000 ₫,Không áp dụng chính sách bảo hành,95%,93%,99%,0,0,0,0,0
