,Type,Title,Links,Price,Discount_percent,Sold,Preview,Location,Original,Ship_price,Return,Positive_review,Ship_on_time,Rate_response,One_star,Two_star,Three_star,Four_star,Five_star
0,giày dép,"Men'S Flip Flops, Beach Shoes, Casual Shoes, Sandals, Trendy Sandals",https://www.lazada.vn/products/mens-flip-flops-beach-shoes-casual-shoes-sandals-trendy-sandals-i2654708700.html,174 ₫,40% Off,8 Đã bán,,Nước ngoài,290 ₫,17.000 ₫,Không áp dụng chính sách bảo hành,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,0,0,0,0,0
1,giày dép,Summer Thick Sole Roman Women'S Sandals,https://www.lazada.vn/products/summer-thick-sole-roman-womens-sandals-i2649298809.html,371 ₫,40% Off,319 Đã bán,,Nước ngoài,618 ₫,17.000 ₫,Không áp dụng chính sách bảo hành,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,0,0,0,0,0
2,giày dép,Summer New Fashion Trend Thick Sole Outdoor Two Wear Sandals,https://www.lazada.vn/products/summer-new-fashion-trend-thick-sole-outdoor-two-wear-sandals-i2649533329.html,383 ₫,40% Off,250 Đã bán,,Nước ngoài,638 ₫,17.000 ₫,Không áp dụng chính sách bảo hành,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,0,0,0,0,0
3,giày dép,Dép Quai Ngang Đế Dày Chống Trượt Thời Trang Hàn Quốc Cho Nữ,https://www.lazada.vn/products/dep-quai-ngang-de-day-chong-truot-thoi-trang-han-quoc-cho-nu-i2598018987.html,47.723 ₫,52% Off,277 Đã bán,(77),Nước ngoài,99.000 ₫,,Không áp dụng chính sách bảo hành,97%,Không đủ thông tin,100%,2,0,4,3,69
4,giày dép,Dép sandal nữ đế mềm phong cách Hàn Quốc thời trang,https://www.lazada.vn/products/dep-sandal-nu-de-mem-phong-cach-han-quoc-thoi-trang-i2625702966.html,12.000 ₫,73% Off,640 Đã bán,(173),Nước ngoài,45.000 ₫,,Được đổi ý,90%,Không đủ thông tin,100%,4,2,3,5,159
5,giày dép,"Bonnie Cathy Phong Cách Mới Dép nửa chân cho phụ nữ, thời trang và giản dị đế phẳng đồ mặc ngoài Slip-On của phụ nữ Toe-Toe sandal cho phụ nữ",https://www.lazada.vn/products/bonnie-cathy-phong-cach-moi-dep-nua-chan-cho-phu-nu-thoi-trang-va-gian-di-de-phang-do-mac-ngoai-slip-on-cua-phu-nu-toe-toe-sandal-cho-phu-nu-i2607830982.html,51.000 ₫,53% Off,160 Đã bán,(42),Nước ngoài,108.000 ₫,,Không áp dụng chính sách bảo hành,99%,Không đủ thông tin,88%,0,0,1,0,41
6,giày dép,(Giá tận xưởng) Dép chữ C unisex nam nữ bền đẹp thời trang,https://www.lazada.vn/products/gia-tan-xuong-dep-chu-c-unisex-nam-nu-ben-dep-thoi-trang-i2494252451.html,32.000 ₫,54% Off,83 Đã bán,(20),Hồ Chí Minh,69.000 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,93%,92%,100%,0,0,1,0,19
7,giày dép,Qiaoyuluo Dép xỏ ngón nam dép thời trang thường ngày chống trượt thoải mái khi mặc Dép Xăng-đan nam Dép lê đế cao nam,https://www.lazada.vn/products/qiaoyuluo-dep-xo-ngon-nam-dep-thoi-trang-thuong-ngay-chong-truot-thoai-mai-khi-mac-dep-xang-dan-nam-dep-le-de-cao-nam-i2314456252.html,91.000 ₫,56% Off,192 Đã bán,(85),Nước ngoài,206.000 ₫,,Được đổi ý,98%,Không đủ thông tin,100%,1,0,0,1,83
8,giày dép,AOKANG Xăng Đan Mới Xăng Đan Thời Trang Gót Vuông Miệng Cá Gót Túi Xăng Đan Đế Bằng Giày Trượt Bên Ngoài Thường Ngày,https://www.lazada.vn/products/aokang-xang-dan-moi-xang-dan-thoi-trang-got-vuong-mieng-ca-got-tui-xang-dan-de-bang-giay-truot-ben-ngoai-thuong-ngay-i2141312844.html,57.000 ₫,70% Off,2.2K Đã bán,(862),Nước ngoài,192.000 ₫,,Được đổi ý,98%,Không đủ thông tin,100%,7,5,15,22,814
9,giày dép,Kuangaokai【Free Shipping Miễn phí vận chuyển】 2023 mùa hè phiên bản Hàn Quốc Mới Dép Nữ Gót Dày gót vừa phải dép giày nữ,https://www.lazada.vn/products/kuangaokaifree-shipping-mien-phi-van-chuyen-2023-mua-he-phien-ban-han-quoc-moi-dep-nu-got-day-got-vua-phai-dep-giay-nu-i2357894149.html,106.000 ₫,27% Off,363 Đã bán,(142),Nước ngoài,214.000 ₫,,Không áp dụng chính sách bảo hành,96%,Không đủ thông tin,100%,0,0,1,0,141
10,giày dép,Xăng Đan 2024cb Giày Thường Ngày Bít Mũi Da Thật Thể Thao Ngoài Trời Sành Điệu Cho Nam Dép Lê Mẫu Mới Mùa Hè Thoáng Khí Nam Đi Biển,https://www.lazada.vn/products/xang-dan-2024cb-giay-thuong-ngay-bit-mui-da-that-the-thao-ngoai-troi-sanh-dieu-cho-nam-dep-le-mau-moi-mua-he-thoang-khi-nam-di-bien-i1466104953.html,212.000 ₫,,765 Đã bán,(319),Hồ Chí Minh,,17.000 ₫,Không áp dụng chính sách bảo hành,95%,94%,100%,1,2,6,15,296
11,giày dép,Xăng đan diwa lốp nhún bèo cho nữ dành cho người lớn Giày trượt M.2Q,https://www.lazada.vn/products/xang-dan-diwa-lop-nhun-beo-cho-nu-danh-cho-nguoi-lon-giay-truot-m2q-i2637903075.html,174 ₫,,494 Đã bán,,Nước ngoài,,,Không áp dụng chính sách bảo hành,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,0,0,0,0,0
12,giày dép,"Dép Sandal Nam, Dép Quai Hậu 2 Quai Dán Mã DP36",https://www.lazada.vn/products/dep-sandal-nam-dep-quai-hau-2-quai-dan-ma-dp36-i2523491439.html,98.000 ₫,,88 Đã bán,(27),Hồ Chí Minh,,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,88%,3%,46%,3,0,1,0,23
13,giày dép,Giày lười nam da cơ bản E3 giá rẻ dễ đi,https://www.lazada.vn/products/giay-luoi-nam-da-co-ban-e3-gia-re-de-di-i2452335159.html,68.400 ₫,54% Off,703 Đã bán,(201),Hà Nội,150.000 ₫,38.000 ₫,3 ngày trả hàng cho Nhà bán hàng,93%,100%,100%,4,1,5,8,183
14,giày dép,(Sale giá gốc) DÉP LÊ NAM CARO THỜI TRANG,https://www.lazada.vn/products/sale-gia-goc-dep-le-nam-caro-thoi-trang-i2346547711.html,31.000 ₫,53% Off,2.7K Đã bán,(688),Hồ Chí Minh,66.000 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,94%,95%,92%,13,8,17,24,626
