Type,Title,Link,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Return,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
laptop,[6.6 SALE TO] MacBook Air 2020 13.3 inches M1- Hàng Chính Hãng,https://www.lazada.vn/products/66-sale-to-macbook-air-2020-133-inches-m1-hang-chinh-hang-i1040858590.html,17.990.000 ₫,38% Off,3.0K Đã bán,(666),Hồ Chí Minh,28.990.000 ₫,10.200 ₫,30 Ngày Trả Hàng Miễn Phí,94%,98%,100%,['28'],['5'],['10'],['17'],['606']
laptop,"Lenovo mới tinh core Intel i7 6560U laptop 15, 6 inch 1 terabyte bộ nhớ Windows11 hệ thống RAM16GB máy tính laptop",https://www.lazada.vn/products/lenovo-moi-tinh-core-intel-i7-6560u-laptop-15-6-inch-1-terabyte-bo-nho-windows11-he-thong-ram16gb-may-tinh-laptop-i2629832469.html,7.223.999 ₫,"52% Off
LazFlash Sale,kết thúc sau 9h",51 Đã bán,(5),Hải Phòng,13.899.999 ₫,Miễn phí,,100%,100%,80%,['0'],['0'],['0'],['0'],['5']
laptop,"Máy Tính Xách Tay Bàn Phím Bao Gồm, Màng Bảo Vệ Bàn Phím Cho 14 Inch Latitude 3400 A3430 Dell Inspiron 14 ''3000 5468 5000 5488 5480",https://www.lazada.vn/products/may-tinh-xach-tay-ban-phim-bao-gom-mang-bao-ve-ban-phim-cho-14-inch-latitude-3400-a3430-dell-inspiron-14-3000-5468-5000-5488-5480-i1496850993.html,39.000 ₫,17% Off,312 Đã bán,(67),Hồ Chí Minh,47.000 ₫,17.000 ₫,,96%,98%,90%,['11'],['1'],['3'],['5'],['47']
laptop,"ASUS máy tính xách tay mới tinh Intel core i7 máy tính xách tay 15, 6 inch với hiệu quả cao 1 terabyte bộ nhớ Windows 11 2 năm bảo hành laptop",https://www.lazada.vn/products/asus-may-tinh-xach-tay-moi-tinh-intel-core-i7-may-tinh-xach-tay-15-6-inch-voi-hieu-qua-cao-1-terabyte-bo-nho-windows-11-2-nam-bao-hanh-laptop-i2634211791.html,7.254.959 ₫,45% Off,16 Đã bán,(3),Hải Phòng,13.199.999 ₫,Miễn phí,,100%,100%,80%,['0'],['0'],['0'],['0'],['3']
laptop,LaptopLENOVO THINKPAD X1 Carbon Gen 7 X1 Carbon Gen 6 X1 Carbon Gen 5 X1 Carbon X1 Carbon Gen 4 Core i5-8250U RAM 16GB SSD 512GB 14 inPin&gt;4h,https://www.lazada.vn/products/laptoplenovo-thinkpad-x1-carbon-gen-7-x1-carbon-gen-6-x1-carbon-gen-5-x1-carbon-x1-carbon-gen-4-core-i5-8250u-ram-16gb-ssd-512gb-14-inpin4h-i2241051870.html,4.390.000 ₫,"20% Off
LazFlash Sale,kết thúc sau 9h",126 Đã bán,(29),Hà Nội,5.900.000 ₫,Miễn phí,,98%,100%,100%,['0'],['0'],['1'],['0'],['28']
laptop,Laptop Dell Inspiron 7567 máy tính giá rẻ(Core i7-7700HQ/8GB DDR4/HDD 500G+SSD 128G/GTX 1050),https://www.lazada.vn/products/laptop-dell-inspiron-7567-may-tinh-gia-recore-i7-7700hq8gb-ddr4hdd-500gssd-128ggtx-1050-i2600882792.html,3.200.000 ₫,50% Off,,,Hà Nội,6.400.000 ₫,Miễn phí,,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,['0'],['0'],['0'],['0'],['0']
laptop,Lenovo Thinkpad / Tosiba / Dell Core i5 / RAM 8GB / SSD 256GB / Màn 12.5 inch HD 1366x768 (Phím JP) Hàng Chính Hãng,https://www.lazada.vn/products/lenovo-thinkpad-tosiba-dell-core-i5-ram-8gb-ssd-256gb-man-125-inch-hd-1366x768-phim-jp-hang-chinh-hang-i2391912424.html,1.798.761 ₫,10% Off,18 Đã bán,(6),Hà Nội,4.290.000 ₫,84.600 ₫,30 Ngày Trả Hàng Miễn Phí,94%,100%,76%,['0'],['0'],['0'],['0'],['6']
laptop,"【Vietnam spot】【ASUS Factory】Monsprin 2024 new Laptop 15.6"" FHD 11th gen Intel Celeron J4125 laptop giá rẻ ram 8g/12GB DDR4 128GB/256GB SSD Windows 10/Ms office notebook gaming Thích hợp cho các lớp học trực tuyến và văn phòng trực tuyến",https://www.lazada.vn/products/vietnam-spotasus-factorymonsprin-2024-new-laptop-156-fhd-11th-gen-intel-celeron-j4125-laptop-gia-re-ram-8g12gb-ddr4-128gb256gb-ssd-windows-10ms-office-notebook-gaming-thich-hop-cho-cac-lop-hoc-truc-tuyen-va-van-phong-truc-tuyen-i1915663823.html,6.519.809 ₫,8% Off,294 Đã bán,(118),Hồ Chí Minh,8.999.999 ₫,Miễn phí,,96%,100%,Không đủ thông tin,['1'],['0'],['2'],['0'],['115']
laptop,Mới[Mới 100%]【Lennovo Factory】Monsprin 2024 new Laptop lap top gaming giá rẻ 14 inch 11th gen intel Celeron J4105 RAM 6GB 128GB/256GB SSD Được cài đặt sẵn hệ thống Windows 10 chính hãng và MS Office với ngôn ngữ địa phương tiếng Việt,https://www.lazada.vn/products/moimoi-100lennovo-factorymonsprin-2024-new-laptop-lap-top-gaming-gia-re-14-inch-11th-gen-intel-celeron-j4105-ram-6gb-128gb256gb-ssd-duoc-cai-dat-san-he-thong-windows-10-chinh-hang-va-ms-office-voi-ngon-ngu-dia-phuong-tieng-viet-i1969918462.html,6.614.299 ₫,27% Off,91 Đã bán,(49),Hồ Chí Minh,8.999.999 ₫,Miễn phí,,96%,100%,Không đủ thông tin,['1'],['0'],['0'],['2'],['46']
laptop,Laptop cũ nhiều lựa chọn Pentium đến i3 i5 i7 Giá tốt nhất,https://www.lazada.vn/products/laptop-cu-nhieu-lua-chon-pentium-den-i3-i5-i7-gia-tot-nhat-i2252962767.html,1.000.000 ₫,,81 Đã bán,(28),Hà Nội,,198.200 ₫,,94%,20%,83%,['2'],['1'],['1'],['3'],['21']
