,Type,Title,Links,Price,Discount_percent,Sold,Preview,Location,Original,Ship_price,Return,Positive_review,Ship_on_time,Rate_response,One_star,Two_star,Three_star,Four_star,Five_star
0,quần áo,Đồ Bộ Nữ Đi Chơi Chất Thun Mát Size M - dưới 53kg / Size L Từ 54kg đến 65kg/ Size XL từ 65kg đến 72kg,https://www.lazada.vn/products/do-bo-nu-di-choi-chat-thun-mat-size-m-duoi-53kg-size-l-tu-54kg-den-65kg-size-xl-tu-65kg-den-72kg-i1072394871.html,35.891 ₫,64% Off,3.0K Đã bán,(1024),Hồ Chí Minh,100.000 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,97%,100%,100%,20,7,27,36,934
1,quần áo,Đồ ngủ nữ pijama mặc nhà bộ ngủ hoạt hình cộc tay quần đùi mùa hè dễ thương,https://www.lazada.vn/products/do-ngu-nu-pijama-mac-nha-bo-ngu-hoat-hinh-coc-tay-quan-dui-mua-he-de-thuong-i2205793953.html,25.000 ₫,50% Off,907 Đã bán,(246),Hồ Chí Minh,71.998 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,91%,100%,50%,5,2,6,7,226
2,quần áo,SÉT BỘ ÁO CỘC TAY CÔ BÉ ĐI XE MÁY KÈM QUẦN BOM DÂY RÚT,https://www.lazada.vn/products/set-bo-ao-coc-tay-co-be-di-xe-may-kem-quan-bom-day-rut-i1896905264.html,36.000 ₫,60% Off,102 Đã bán,(21),Nam Định,189.000 ₫,37.700 ₫,3 ngày trả hàng cho Nhà bán hàng,94%,100%,83%,1,0,1,1,18
3,quần áo,"(ẢNH THẬT) Quần legging dài nâng mông cạp cao màu đen ôm body tôn dáng, quần dài bó chất cotton co dãn 4 chiều phonng cách ulzzang, quần dài nữ thời trang hàn quốc, AMELIA",https://www.lazada.vn/products/anh-that-quan-legging-dai-nang-mong-cap-cao-mau-den-om-body-ton-dang-quan-dai-bo-chat-cotton-co-dan-4-chieu-phonng-cach-ulzzang-quan-dai-nu-thoi-trang-han-quoc-amelia-i2011467333.html,26.020 ₫,55% Off,547 Đã bán,(109),Hà Nội,78.000 ₫,32.700 ₫,3 ngày trả hàng cho Nhà bán hàng,83%,98%,100%,28,10,5,5,61
4,quần áo,"Bộ Pijama, Đồ Bộ Mặc Nhà Nữ Dáng Cộc xinh xắn",https://www.lazada.vn/products/bo-pijama-do-bo-mac-nha-nu-dang-coc-xinh-xan-i2379278926.html,15.971 ₫,54% Off,229 Đã bán,(68),Hà Nội,59.000 ₫,32.700 ₫,3 ngày trả hàng cho Nhà bán hàng,95%,100%,100%,0,1,0,3,65
5,quần áo,"Bộ ngủ pijama dài tay cổ vuông nữ ,set bộ đồ ngủ tiểu thư tay dài quần dài dễ thương",https://www.lazada.vn/products/bo-ngu-pijama-dai-tay-co-vuong-nu-set-bo-do-ngu-tieu-thu-tay-dai-quan-dai-de-thuong-i2241219349.html,35.000 ₫,56% Off,1.4K Đã bán,(299),Hồ Chí Minh,124.000 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,91%,100%,50%,19,8,13,12,247
6,quần áo,"Đồ bộ nữ mặc nhà dễ thương , bộ ngủ pijama ngắn hoạt hình cộc tay mùa hè",https://www.lazada.vn/products/do-bo-nu-mac-nha-de-thuong-bo-ngu-pijama-ngan-hoat-hinh-coc-tay-mua-he-i2016109656.html,25.000 ₫,50% Off,250 Đã bán,(57),Hồ Chí Minh,75.999 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,91%,100%,50%,1,1,2,2,51
7,quần áo,"Bộ Pijama lụa 💕Mẫu mới nhất💕 tay dài, chất lụa mềm mịn mát 💯Ảnh thật",https://www.lazada.vn/products/bo-pijama-lua-mau-moi-nhat-tay-dai-chat-lua-mem-min-mat-anh-that-i2543297162.html,30.000 ₫,81% Off,146 Đã bán,(36),Hà Nội,159.000 ₫,32.700 ₫,3 ngày trả hàng cho Nhà bán hàng,91%,100%,Không đủ thông tin,2,0,3,0,31
8,quần áo,Bộ Đồ Ngủ Mỏng Mùa Hè Tay Ngắn Phong Cách Mới 2023 Cho Nữ [Lff0707],https://www.lazada.vn/products/bo-do-ngu-mong-mua-he-tay-ngan-phong-cach-moi-2023-cho-nu-lff0707-i2609452154.html,27.200 ₫,26% Off,7 Đã bán,,Nước ngoài,118.000 ₫,,Không áp dụng chính sách bảo hành,92%,Không đủ thông tin,100%,0,0,0,0,0
9,quần áo,Set Bộ DÀI Đồ Nữ Áo thun tay kẻ Mix Quần Vải Thô Mềm Kẻ Form Rộng Unisex siêu đẹp trend 2023,https://www.lazada.vn/products/set-bo-dai-do-nu-ao-thun-tay-ke-mix-quan-vai-tho-mem-ke-form-rong-unisex-sieu-dep-trend-2023-i2611898680.html,36.000 ₫,60% Off,164 Đã bán,(62),Hà Nội,89.000 ₫,32.700 ₫,3 ngày trả hàng cho Nhà bán hàng,91%,99%,81%,0,1,1,4,56
10,quần áo,Bộ Đồ Ngủ Mặc Nhà Tay Ngắn In Họa Tiết Dễ Thương Chất Lượng Cao Cho Nữ,https://www.lazada.vn/products/bo-do-ngu-mac-nha-tay-ngan-in-hoa-tiet-de-thuong-chat-luong-cao-cho-nu-i2609252762.html,38.660 ₫,47% Off,192 Đã bán,(59),Nước ngoài,73.000 ₫,,Không áp dụng chính sách bảo hành,92%,Không đủ thông tin,100%,2,0,0,0,57
11,quần áo,Set đồ nữ ngủ mặc nhà tay ngắn in họa tiết dễ thương chất lượng cao,https://www.lazada.vn/products/set-do-nu-ngu-mac-nha-tay-ngan-in-hoa-tiet-de-thuong-chat-luong-cao-i2634224023.html,39.886 ₫,45% Off,94 Đã bán,(22),Nước ngoài,73.000 ₫,,Không áp dụng chính sách bảo hành,98%,Không đủ thông tin,100%,0,0,1,0,21
12,quần áo,Set bộ đùi chất cotton su form rộng tay lỡ - ampris,https://www.lazada.vn/products/set-bo-dui-chat-cotton-su-form-rong-tay-lo-ampris-i2387695921.html,55.000 ₫,44% Off,40 Đã bán,(13),Thanh Hóa,99.000 ₫,37.700 ₫,3 ngày trả hàng cho Nhà bán hàng,93%,100%,100%,0,0,0,1,12
13,quần áo,Bộ Đồ Ngủ Áo Tay Ngắn In Họa Tiết Gấu Và Dâu Tây Dễ Thương Thời Trang Mùa Hè Cho Nữ,https://www.lazada.vn/products/bo-do-ngu-ao-tay-ngan-in-hoa-tiet-gau-va-dau-tay-de-thuong-thoi-trang-mua-he-cho-nu-i2634161278.html,75.654 ₫,54% Off,27 Đã bán,(14),Nước ngoài,165.000 ₫,,Không áp dụng chính sách bảo hành,98%,Không đủ thông tin,100%,0,0,0,0,14
14,quần áo,"Bộ quần áo NAM NỮ BURBRRY phối tay kẻ in chữ ,+ + quần đùi kẻ",https://www.lazada.vn/products/bo-quan-ao-nam-nu-burbrry-phoi-tay-ke-in-chu-quan-dui-ke-i2612919320.html,47.227 ₫,52% Off,61 Đã bán,(22),Hà Nội,99.000 ₫,32.700 ₫,3 ngày trả hàng cho Nhà bán hàng,91%,99%,66%,0,2,0,1,19
