,Type,Title,Links,Price,Discount_percent,Sold,Preview,Location,Original,Ship_price,Return,Positive_review,Ship_on_time,Rate_response,One_star,Two_star,Three_star,Four_star,Five_star
0,quần áo,Đồ Bộ Nữ Đi Chơi Chất Thun Mát Size M - dưới 53kg / Size L Từ 54kg đến 65kg/ Size XL từ 65kg đến 72kg,https://www.lazada.vn/products/do-bo-nu-di-choi-chat-thun-mat-size-m-duoi-53kg-size-l-tu-54kg-den-65kg-size-xl-tu-65kg-den-72kg-i1072394871.html,35.891 ₫,64% Off,3.0K Đã bán,(1024),Hồ Chí Minh,100.000 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,97%,100%,100%,20,7,27,36,934
1,quần áo,Set Baggy Jeans Ống Suông Đai Nút Rách + Sơ mi rút dâY HOT,https://www.lazada.vn/products/set-baggy-jeans-ong-suong-dai-nut-rach-so-mi-rut-day-hot-i2511148108.html,149.000 ₫,,5 Đã bán,,Hồ Chí Minh,,18.300 ₫,3 ngày trả hàng cho Nhà bán hàng,92%,99%,60%,0,0,0,0,0
2,quần áo,"Bộ Pijama, Đồ Bộ Mặc Nhà Nữ Dáng Cộc xinh xắn",https://www.lazada.vn/products/bo-pijama-do-bo-mac-nha-nu-dang-coc-xinh-xan-i2379278926.html,15.971 ₫,54% Off,229 Đã bán,(68),Hà Nội,59.000 ₫,32.700 ₫,3 ngày trả hàng cho Nhà bán hàng,95%,100%,100%,0,1,0,3,65
3,quần áo,"Bộ mẫu hoạ tiết Sư Thích Minh Tuệ quần đùi tay ngắntừ 7KG ĐẾN 70KG , chất thun mềm - mịn - mát",https://www.lazada.vn/products/bo-mau-hoa-tiet-su-thich-minh-tue-quan-dui-tay-ngantu-7kg-den-70kg-chat-thun-mem-min-mat-i2659422024.html,37.000 ₫,8% Off,101 Đã bán,(16),Cần Thơ,45.000 ₫,28.700 ₫,3 ngày trả hàng cho Nhà bán hàng,97%,100%,42%,0,0,0,0,17
4,quần áo,Áo Thun Thể Thao Form Rộng Unisex Nam Nữ Xưởng May Zenko WAT 026,https://www.lazada.vn/products/ao-thun-the-thao-form-rong-unisex-nam-nu-xuong-may-zenko-wat-026-i2579061251.html,17.174 ₫,66% Off,19 Đã bán,(14),Hà Nội,50.000 ₫,38.000 ₫,3 ngày trả hàng cho Nhà bán hàng,66%,100%,77%,3,0,0,0,11
5,quần áo,Bộ Đồ Ngủ Tay Ngắn Dáng Rộng In Họa Tiết Hoạt Hình Dễ Thương Thời Trang Xuân Thu Cho Nữ,https://www.lazada.vn/products/bo-do-ngu-tay-ngan-dang-rong-in-hoa-tiet-hoat-hinh-de-thuong-thoi-trang-xuan-thu-cho-nu-i2609459081.html,41.600 ₫,54% Off,27 Đã bán,(6),Nước ngoài,91.000 ₫,,Không áp dụng chính sách bảo hành,92%,Không đủ thông tin,100%,0,0,0,0,7
6,quần áo,Bộ Đồ Ngủ Mỏng Mùa Hè Tay Ngắn Phong Cách Mới 2023 Cho Nữ [Lff0707],https://www.lazada.vn/products/bo-do-ngu-mong-mua-he-tay-ngan-phong-cach-moi-2023-cho-nu-lff0707-i2609452154.html,27.200 ₫,26% Off,7 Đã bán,,Nước ngoài,118.000 ₫,,Không áp dụng chính sách bảo hành,92%,Không đủ thông tin,100%,0,0,0,0,0
7,quần áo,Áo Thun Thể Thao Form Rộng Unisex Nam Nữ Shiny Sunday WAT 026,https://www.lazada.vn/products/ao-thun-the-thao-form-rong-unisex-nam-nu-shiny-sunday-wat-026-i2578955874.html,15.000 ₫,70% Off,1.2K Đã bán,(424),Hà Nội,50.000 ₫,38.000 ₫,3 ngày trả hàng cho Nhà bán hàng,68%,100%,80%,224,26,13,3,158
8,quần áo,Đồ ngủ nữ pijama mặc nhà bộ ngủ hoạt hình cộc tay quần đùi mùa hè dễ thương,https://www.lazada.vn/products/do-ngu-nu-pijama-mac-nha-bo-ngu-hoat-hinh-coc-tay-quan-dui-mua-he-de-thuong-i2205793953.html,25.000 ₫,50% Off,907 Đã bán,(246),Hồ Chí Minh,71.998 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,91%,100%,50%,5,2,6,7,226
9,quần áo,Bộ Đồ Ngủ Mặc Nhà Tay Ngắn In Họa Tiết Dễ Thương Chất Lượng Cao Cho Nữ,https://www.lazada.vn/products/bo-do-ngu-mac-nha-tay-ngan-in-hoa-tiet-de-thuong-chat-luong-cao-cho-nu-i2609252762.html,38.660 ₫,47% Off,192 Đã bán,(59),Nước ngoài,73.000 ₫,,Không áp dụng chính sách bảo hành,92%,Không đủ thông tin,100%,2,0,0,0,57
10,quần áo,Set đồ nữ ngủ mặc nhà tay ngắn in họa tiết dễ thương chất lượng cao,https://www.lazada.vn/products/set-do-nu-ngu-mac-nha-tay-ngan-in-hoa-tiet-de-thuong-chat-luong-cao-i2634224023.html,39.886 ₫,45% Off,94 Đã bán,(22),Nước ngoài,73.000 ₫,,Không áp dụng chính sách bảo hành,98%,Không đủ thông tin,100%,0,0,1,0,21
11,quần áo,Set bộ đùi chất cotton su form rộng tay lỡ - ampris,https://www.lazada.vn/products/set-bo-dui-chat-cotton-su-form-rong-tay-lo-ampris-i2387695921.html,55.000 ₫,44% Off,40 Đã bán,(13),Thanh Hóa,99.000 ₫,37.700 ₫,3 ngày trả hàng cho Nhà bán hàng,93%,100%,100%,0,0,0,1,12
12,quần áo,Bộ Lửng Sát Nách Vải Lanh (Tole) Loại 1,https://www.lazada.vn/products/bo-lung-sat-nach-vai-lanh-tole-loai-1-i2482227723.html,39.000 ₫,61% Off,,,Hồ Chí Minh,100.000 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,98%,100%,100%,0,0,0,0,0
13,quần áo,"Bộ quần áo NAM NỮ BURBRRY phối tay kẻ in chữ ,+ + quần đùi kẻ",https://www.lazada.vn/products/bo-quan-ao-nam-nu-burbrry-phoi-tay-ke-in-chu-quan-dui-ke-i2612919320.html,47.227 ₫,52% Off,61 Đã bán,(22),Hà Nội,99.000 ₫,32.700 ₫,3 ngày trả hàng cho Nhà bán hàng,91%,99%,66%,0,2,0,1,19
14,quần áo,"Set Đồ Bộ Áo Thun Cotton In Chữ 3D Chuột Màu Loang Phối Quần Đùi Siêu Cưng , Hot , Đi Chơi Cực Xinh DB621145",https://www.lazada.vn/products/set-do-bo-ao-thun-cotton-in-chu-3d-chuot-mau-loang-phoi-quan-dui-sieu-cung-hot-di-choi-cuc-xinh-db621145-i2401277353.html,40.000 ₫,50% Off,1.4K Đã bán,(345),Hồ Chí Minh,123.000 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,94%,95%,100%,9,1,10,9,316
