Type,Title,Link,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Return,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
quần áo,Đồ Bộ Nữ Đi Chơi Chất Thun Mát Size M - dưới 53kg / Size L Từ 54kg đến 65kg/ Size XL từ 65kg đến 72kg,https://www.lazada.vn/products/do-bo-nu-di-choi-chat-thun-mat-size-m-duoi-53kg-size-l-tu-54kg-den-65kg-size-xl-tu-65kg-den-72kg-i1072394871.html,35.891 ₫,64% Off,3.0K Đã bán,(1022),Hồ Chí Minh,100.000 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,97%,100%,100%,20.0,7.0,27.0,36.0,932.0
quần áo,Đồ ngủ nữ pijama mặc nhà bộ ngủ hoạt hình cộc tay quần đùi mùa hè dễ thương,https://www.lazada.vn/products/do-ngu-nu-pijama-mac-nha-bo-ngu-hoat-hinh-coc-tay-quan-dui-mua-he-de-thuong-i2205793953.html,25.000 ₫,50% Off,907 Đã bán,(241),Hồ Chí Minh,71.998 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,91%,100%,50%,5.0,2.0,6.0,7.0,222.0
quần áo,[Đủ size 35-55 cân] Sét bộ 3 món áo 2 dây+áo croptop+quần dài siêu yêu cho chị em lung linh đây chứ đâu (CT65-PC6T),https://www.lazada.vn/products/du-size-35-55-can-set-bo-3-mon-ao-2-dayao-croptopquan-dai-sieu-yeu-cho-chi-em-lung-linh-day-chu-dau-ct65-pc6t-i1858094464.html,79.000 ₫,43% Off,961 Đã bán,(260),Hà Nội,139.000 ₫,32.700 ₫,3 ngày trả hàng cho Nhà bán hàng,92%,99%,33%,11.0,8.0,8.0,16.0,218.0
quần áo,SÉT BỘ ÁO CỘC TAY CÔ BÉ ĐI XE MÁY KÈM QUẦN BOM DÂY RÚT,https://www.lazada.vn/products/set-bo-ao-coc-tay-co-be-di-xe-may-kem-quan-bom-day-rut-i1896905264.html,36.000 ₫,60% Off,102 Đã bán,(21),Nam Định,189.000 ₫,37.700 ₫,3 ngày trả hàng cho Nhà bán hàng,94%,100%,83%,1.0,0.0,1.0,1.0,18.0
quần áo,"Bộ Pijama, Đồ Bộ Mặc Nhà Nữ Dáng Cộc xinh xắn",https://www.lazada.vn/products/bo-pijama-do-bo-mac-nha-nu-dang-coc-xinh-xan-i2379278926.html,15.971 ₫,54% Off,219 Đã bán,(68),Hà Nội,59.000 ₫,32.700 ₫,3 ngày trả hàng cho Nhà bán hàng,95%,100%,100%,0.0,1.0,0.0,3.0,65.0
quần áo,SET BỘ ĐÙI CAO CẤP THUN GÂN SIÊU CO GIÃN 2 SIZE 48-70KG TÙY CHIỀU CAO SIÊU MỀM MÁT,https://www.lazada.vn/products/set-bo-dui-cao-cap-thun-gan-sieu-co-gian-2-size-48-70kg-tuy-chieu-cao-sieu-mem-mat-i971780491.html,59.000 ₫,67% Off,3.8K Đã bán,(1147),Hồ Chí Minh,179.000 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,97%,96%,97%,7.0,5.0,18.0,32.0,1085.0
quần áo,⭐Set Baggy Jeans Ống Suông Xám Rách Mix áo rút dây tim,https://www.lazada.vn/products/set-baggy-jeans-ong-suong-xam-rach-mix-ao-rut-day-tim-i2510101862.html,45.000 ₫,,116 Đã bán,(27),Hồ Chí Minh,,18.300 ₫,3 ngày trả hàng cho Nhà bán hàng,92%,99%,60%,0.0,0.0,2.0,2.0,23.0
quần áo,[3 size 46-70KG] Đồ bộ LỤA ĐÙI REN VUÔNG CỔ SIÊU DỄ THƯƠNG MỊN MÁT thời trang,https://www.lazada.vn/products/3-size-46-70kg-do-bo-lua-dui-ren-vuong-co-sieu-de-thuong-min-mat-thoi-trang-i1867607798.html,50.000 ₫,61% Off,14.6K Đã bán,(3067),Hồ Chí Minh,129.000 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,97%,96%,97%,64.0,23.0,70.0,111.0,2799.0
quần áo,[3 SIZE 45-70KG) Đồ bộ LỤA ĐÙI CHẤM BI CHẤT VẢI LỤA HÀN MỀM MÁT thời trang,https://www.lazada.vn/products/3-size-45-70kg-do-bo-lua-dui-cham-bi-chat-vai-lua-han-mem-mat-thoi-trang-i2070420835.html,33.454 ₫,66% Off,6.0K Đã bán,(1725),Hồ Chí Minh,99.000 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,97%,96%,97%,20.0,17.0,28.0,44.0,1616.0
quần áo,Set Baggy Jeans Ống Suông Đai Nút Rách + Sơ mi rút dâY HOT,https://www.lazada.vn/products/set-baggy-jeans-ong-suong-dai-nut-rach-so-mi-rut-day-hot-i2511148108.html,149.000 ₫,,5 Đã bán,,Hồ Chí Minh,,18.300 ₫,3 ngày trả hàng cho Nhà bán hàng,92%,99%,60%,0.0,0.0,0.0,0.0,0.0
quần áo,"Quần short Viền Đùi chất đẹp có Bigsize đến 85Kg ,quần đùi nữ thể thao dáng ngắn năng động trẻ trung, vải cotton mịn mát",https://www.lazada.vn/products/quan-short-vien-dui-chat-dep-co-bigsize-den-85kg-quan-dui-nu-the-thao-dang-ngan-nang-dong-tre-trung-vai-cotton-min-mat-i1988653397.html,14.115 ₫,53% Off,1.3K Đã bán,(266),Hồ Chí Minh,50.000 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,99%,100%,100%,1.0,1.0,0.0,4.0,260.0
quần áo,Bộ Đồ Ngủ Mặc Nhà Tay Ngắn In Họa Tiết Dễ Thương Chất Lượng Cao Cho Nữ,https://www.lazada.vn/products/bo-do-ngu-mac-nha-tay-ngan-in-hoa-tiet-de-thuong-chat-luong-cao-cho-nu-i2609252762.html,38.660 ₫,47% Off,192 Đã bán,(59),Nước ngoài,73.000 ₫,,Không áp dụng chính sách bảo hành,92%,Không đủ thông tin,100%,2.0,0.0,0.0,0.0,57.0
