Type,Title,Link,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Return,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
tivi,[NEW MODEL 2024] QLED TIVI 4K SAMSUNG 85 INCH 85Q80D SMART TV,https://www.lazada.vn/products/new-model-2024-qled-tivi-4k-samsung-85-inch-85q80d-smart-tv-i2623014247.html,64.690.000 ₫,6% Off,,,Hồ Chí Minh,68.790.000 ₫,,,100%,Không đủ thông tin,100%,['0'],['0'],['0'],['0'],['0']
tivi,GIAO HÀ NỘI - Smart Tivi Casper 4K 50 inch 50UW6000- Tivi 4k giá rẻ -,https://www.lazada.vn/products/giao-ha-noi-smart-tivi-casper-4k-50-inch-50uw6000-tivi-4k-gia-re-i2590566807.html,5.389.000 ₫,46% Off,130 Đã bán,(6),Hà Nội,9.890.000 ₫,,,100%,Không đủ thông tin,100%,['0'],['0'],['0'],['0'],['6']
tivi,"Thanh lý TIVI TOSHIBA 24inch đầy đủ cổng kết nối USB, HDMI, USB, AV. FULL phụ kiện",https://www.lazada.vn/products/thanh-ly-tivi-toshiba-24inch-day-du-cong-ket-noi-usb-hdmi-usb-av-full-phu-kien-i2391255350.html,920.486 ₫,3% Off,77 Đã bán,(26),Hà Nội,950.000 ₫,115.100 ₫,,91%,95%,92%,['0'],['0'],['0'],['2'],['24']
tivi,Smart Tivi Coocaa Full HD 43 Inch 43S3U,https://www.lazada.vn/products/smart-tivi-coocaa-full-hd-43-inch-43s3u-i2614626362.html,3.989.000 ₫,50% Off,,,Hà Nội,7.990.000 ₫,,30 Ngày Trả Hàng Miễn Phí,Nhà bán hàng mới,Không đủ thông tin,100%,['0'],['0'],['0'],['0'],['0']
tivi,Smart Tivi Samsung 32 inch UA32T4202,https://www.lazada.vn/products/smart-tivi-samsung-32-inch-ua32t4202-i2540182594.html,4.689.000 ₫,41% Off,16 Đã bán,,Hà Nội,7.900.000 ₫,,,100%,Không đủ thông tin,100%,['0'],['0'],['0'],['0'],['1']
tivi,Tivi 32 inch Sen Việt Androi Tv độ phân giải 1366*768 HD,https://www.lazada.vn/products/tivi-32-inch-sen-viet-androi-tv-do-phan-giai-1366768-hd-i2642236013.html,2.490.000 ₫,,,,Thái Bình,,141.300 ₫,,Nhà bán hàng mới,Không đủ thông tin,100%,['0'],['0'],['0'],['0'],['0']
tivi,"Thanh lý Smart Tivi LG 4K 43 inch có wifi,youtobe truy cập mạng siêu nhanh",https://www.lazada.vn/products/thanh-ly-smart-tivi-lg-4k-43-inch-co-wifiyoutobe-truy-cap-mang-sieu-nhanh-i2309662702.html,3.565.542 ₫,4% Off,31 Đã bán,(15),Hà Nội,3.700.000 ₫,206.800 ₫,,91%,95%,92%,['1'],['0'],['1'],['0'],['14']
tivi,Smart Tivi Casper S Series Full HD 43 inch 43FGS610,https://www.lazada.vn/products/smart-tivi-casper-s-series-full-hd-43-inch-43fgs610-i2590597206.html,4.689.000 ₫,48% Off,9 Đã bán,,Hà Nội,9.090.000 ₫,,,100%,Không đủ thông tin,100%,['0'],['0'],['0'],['0'],['0']
tivi,"Smart Tivi Sony 42 inch có wifi,youtobe...",https://www.lazada.vn/products/smart-tivi-sony-42-inch-co-wifiyoutobe-i2348002961.html,3.003.074 ₫,2% Off,21 Đã bán,(17),Hà Nội,3.070.000 ₫,198.200 ₫,,91%,95%,92%,['1'],['0'],['1'],['1'],['14']
tivi,Tivi Mới Cũ dùng cho khách sạn - văn phòng,https://www.lazada.vn/products/tivi-moi-cu-dung-cho-khach-san-van-phong-i2513433493.html,950.000 ₫,,,,Hà Nội,,198.200 ₫,,86%,97%,66%,['0'],['0'],['0'],['0'],['0']
