Type,Title,Link,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Return,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
tivi,[SALE 6.6] Smart Tivi Samsung 4K UHD 55 inch UA55AU7700KXXV - Hàng Chính Hãng - Phân Phối Bởi LAZADA,https://www.lazada.vn/products/sale-66-smart-tivi-samsung-4k-uhd-55-inch-ua55au7700kxxv-hang-chinh-hang-phan-phoi-boi-lazada-i2302177894.html,8.589.000 ₫,"LazFlash Sale,kết thúc sau 1 ngày",1.1K Đã bán,(235),Hồ Chí Minh,12.900.000 ₫,159.200 ₫,30 Ngày Trả Hàng Miễn Phí,Không đủ thông tin,100%,94%,['1'],['0'],['0'],['2'],['232']
tivi,[SALE 6.6] Smart Tivi Samsung 65 inch QLED 4K Q60B QA65Q60BAKXXV - Hàng Chính Hãng - Phân Phối Bởi LAZADA,https://www.lazada.vn/products/sale-66-smart-tivi-samsung-65-inch-qled-4k-q60b-qa65q60bakxxv-hang-chinh-hang-phan-phoi-boi-lazada-i2333489239.html,13.589.000 ₫,"LazFlash Sale,kết thúc sau 1 ngày",528 Đã bán,(176),Hồ Chí Minh,19.400.000 ₫,238.400 ₫,30 Ngày Trả Hàng Miễn Phí,Không đủ thông tin,100%,94%,['1'],['0'],['1'],['1'],['173']
tivi,[SALE 6.6] Smart Tivi Samsung 4K UHD 65 inch UA65AU7700KXXV - Hàng Chính Hãng - Phân Phối Bởi LAZADA,https://www.lazada.vn/products/sale-66-smart-tivi-samsung-4k-uhd-65-inch-ua65au7700kxxv-hang-chinh-hang-phan-phoi-boi-lazada-i2302276515.html,11.589.000 ₫,"LazFlash Sale,kết thúc sau 1 ngày",324 Đã bán,(64),Hồ Chí Minh,15.900.000 ₫,258.200 ₫,30 Ngày Trả Hàng Miễn Phí,Không đủ thông tin,100%,94%,['1'],['0'],['0'],['2'],['61']
tivi,[SALE 6.6] Smart Tivi Samsung 4K UHD 50 inch UA50AU7700KXXV - Hàng Chính Hãng - Phân Phối Bởi LAZADA,https://www.lazada.vn/products/sale-66-smart-tivi-samsung-4k-uhd-50-inch-ua50au7700kxxv-hang-chinh-hang-phan-phoi-boi-lazada-i2302335018.html,8.189.000 ₫,"LazFlash Sale,kết thúc sau 1 ngày",103 Đã bán,(26),Hồ Chí Minh,11.400.000 ₫,131.600 ₫,30 Ngày Trả Hàng Miễn Phí,Không đủ thông tin,100%,94%,['0'],['0'],['0'],['1'],['25']
tivi,Smart Tivi Coocaa Full HD 43 Inch 43S3U,https://www.lazada.vn/products/smart-tivi-coocaa-full-hd-43-inch-43s3u-i2614626362.html,3.990.000 ₫,,,,Hà Nội,7.990.000 ₫,,30 Ngày Trả Hàng Miễn Phí,Nhà bán hàng mới,Không đủ thông tin,100%,['0'],['0'],['0'],['0'],['0']
tivi,[Giao hàng và lắp đặt miễn phí toàn quốc] 43Q60B - Smart Tivi QLED 4K 43 inch Samsung QA43Q60B QA43Q60BA 43Q60BA QA43Q60BAKXXV,https://www.lazada.vn/products/giao-hang-va-lap-dat-mien-phi-toan-quoc-43q60b-smart-tivi-qled-4k-43-inch-samsung-qa43q60b-qa43q60ba-43q60ba-qa43q60bakxxv-i1879816329.html,8.600.000 ₫,,15 Đã bán,(2),Hồ Chí Minh,15.900.000 ₫,,30 Ngày Trả Hàng Miễn Phí,99%,Không đủ thông tin,97%,['0'],['0'],['0'],['0'],['2']
tivi,[Giao hàng và lắp đặt miễn phí toàn quốc] 55BU8000 - Smart Tivi Samsung Crystal UHD 4K 55 inch UA55BU8000 UA55BU8000KXXV,https://www.lazada.vn/products/giao-hang-va-lap-dat-mien-phi-toan-quoc-55bu8000-smart-tivi-samsung-crystal-uhd-4k-55-inch-ua55bu8000-ua55bu8000kxxv-i1879572278.html,8.920.000 ₫,,23 Đã bán,(5),Hồ Chí Minh,16.900.000 ₫,,30 Ngày Trả Hàng Miễn Phí,99%,Không đủ thông tin,97%,['0'],['0'],['0'],['0'],['5']
tivi,[Giao hàng và lắp đặt miễn phí toàn quốc] 43AU7002 - Smart Tivi Samsung 4K 43 inch UA43AU7002 UA43AU7002KXXV,https://www.lazada.vn/products/giao-hang-va-lap-dat-mien-phi-toan-quoc-43au7002-smart-tivi-samsung-4k-43-inch-ua43au7002-ua43au7002kxxv-i1964387004.html,6.289.000 ₫,,167 Đã bán,(57),Hồ Chí Minh,7.900.000 ₫,,30 Ngày Trả Hàng Miễn Phí,99%,Không đủ thông tin,97%,['1'],['0'],['0'],['0'],['56']
tivi,"[ 6.6 HOTDEAL 5290K - Tặng Giá Treo TV DP243 cho 80 đơn đầu tiên mua dòng 43T66 ] Google TV TCL 43 inch 4K HDR - 43T66 - Dolby Audio, Tivi Giá Rẻ Chất Lượng - Bảo Hành 2 Năm, Trả góp 0%",https://www.lazada.vn/products/66-hotdeal-5290k-tang-gia-treo-tv-dp243-cho-80-don-dau-tien-mua-dong-43t66-google-tv-tcl-43-inch-4k-hdr-43t66-dolby-audio-tivi-gia-re-chat-luong-bao-hanh-2-nam-tra-gop-0-i1933200101.html,6.490.000 ₫,"LazFlash Sale,kết thúc sau 1 ngày",496 Đã bán,(144),Hồ Chí Minh,10.490.000 ₫,Miễn phí,30 Ngày Trả Hàng Miễn Phí,96%,100%,100%,['2'],['1'],['1'],['1'],['140']
tivi,[SALE 6.6] Smart Tivi Samsung 4K Crystal UHD 43 inch UA43BU8000KXXV Kết nối bluetooth Tìm Kiếm giọng nói Bằng Tiếng Việt - Hàng Chính Hãng - Phân Phối Bởi LAZADA,https://www.lazada.vn/products/sale-66-smart-tivi-samsung-4k-crystal-uhd-43-inch-ua43bu8000kxxv-ket-noi-bluetooth-tim-kiem-giong-noi-bang-tieng-viet-hang-chinh-hang-phan-phoi-boi-lazada-i2362893230.html,7.889.000 ₫,"LazFlash Sale,kết thúc sau 1 ngày",99 Đã bán,(36),Hồ Chí Minh,10.900.000 ₫,74.700 ₫,30 Ngày Trả Hàng Miễn Phí,Không đủ thông tin,100%,94%,['0'],['0'],['0'],['0'],['36']
