Type,Title,Link,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Return,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
giày dép,Xăng đan diwa lốp nhún bèo cho nữ dành cho người lớn Giày trượt M.2Q,https://www.lazada.vn/products/xang-dan-diwa-lop-nhun-beo-cho-nu-danh-cho-nguoi-lon-giay-truot-m2q-i2637903075.html,174 ₫,,494 Đã bán,,Nước ngoài,,,Không áp dụng chính sách bảo hành,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,0.0,0.0,0.0,0.0,0.0
giày dép,Summer Thick Sole Roman Women'S Sandals,https://www.lazada.vn/products/summer-thick-sole-roman-womens-sandals-i2649298809.html,371 ₫,40% Off,319 Đã bán,,Nước ngoài,618 ₫,17.000 ₫,Không áp dụng chính sách bảo hành,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,0.0,0.0,0.0,0.0,0.0
giày dép,(Giá tận xưởng) Dép chữ C unisex nam nữ bền đẹp thời trang,https://www.lazada.vn/products/gia-tan-xuong-dep-chu-c-unisex-nam-nu-ben-dep-thoi-trang-i2494252451.html,32.000 ₫,54% Off,83 Đã bán,(20),Hồ Chí Minh,69.000 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,93%,92%,100%,0.0,0.0,1.0,0.0,19.0
giày dép,Dép sandal nữ đế mềm phong cách Hàn Quốc thời trang,https://www.lazada.vn/products/dep-sandal-nu-de-mem-phong-cach-han-quoc-thoi-trang-i2625702966.html,12.000 ₫,73% Off,640 Đã bán,(173),Nước ngoài,45.000 ₫,,Được đổi ý,90%,Không đủ thông tin,100%,4.0,2.0,3.0,5.0,159.0
giày dép,Summer New Fashion Trend Thick Sole Outdoor Two Wear Sandals,https://www.lazada.vn/products/summer-new-fashion-trend-thick-sole-outdoor-two-wear-sandals-i2649533329.html,383 ₫,40% Off,250 Đã bán,,Nước ngoài,638 ₫,17.000 ₫,Không áp dụng chính sách bảo hành,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,0.0,0.0,0.0,0.0,0.0
giày dép,(Sale giá gốc) DÉP LÊ NAM CARO THỜI TRANG,https://www.lazada.vn/products/sale-gia-goc-dep-le-nam-caro-thoi-trang-i2346547711.html,31.000 ₫,53% Off,2.7K Đã bán,(688),Hồ Chí Minh,66.000 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,94%,95%,92%,13.0,8.0,17.0,24.0,626.0
giày dép,Dép Sục Mùa Hè Mẫu Mới 2024 Giày Lười Đế Bằng Học Sinh Dễ Phối Không Có Gót Sau Bọc Đầu Cho Nữ Giày Vải Bố Phong Cách Hàn Quốc Cho Nữ,https://www.lazada.vn/products/dep-suc-mua-he-mau-moi-2024-giay-luoi-de-bang-hoc-sinh-de-phoi-khong-co-got-sau-boc-dau-cho-nu-giay-vai-bo-phong-cach-han-quoc-cho-nu-i1766182785.html,110.000 ₫,65% Off,433 Đã bán,(120),Nước ngoài,315.000 ₫,17.000 ₫,Không áp dụng chính sách bảo hành,95%,93%,99%,0.0,0.0,1.0,4.0,115.0
giày dép,"Men'S Flip Flops, Beach Shoes, Casual Shoes, Sandals, Trendy Sandals",https://www.lazada.vn/products/mens-flip-flops-beach-shoes-casual-shoes-sandals-trendy-sandals-i2654708700.html,174 ₫,40% Off,8 Đã bán,,Nước ngoài,290 ₫,17.000 ₫,Không áp dụng chính sách bảo hành,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,0.0,0.0,0.0,0.0,0.0
giày dép,[FACOTA CHÍNH HÃNG] Giày Dép Sandals Facota Nam Nữ Đen Trắng NN02 - Sandal Êm Nhẹ Đẹp,https://www.lazada.vn/products/facota-chinh-hang-giay-dep-sandals-facota-nam-nu-den-trang-nn02-sandal-em-nhe-dep-i1864920798.html,208.662 ₫,46% Off,885 Đã bán,(127),Hồ Chí Minh,389.000 ₫,18.300 ₫,3 ngày trả hàng cho Nhà bán hàng,99%,99%,50%,2.0,0.0,0.0,2.0,123.0
giày dép,Dép quai hậu học sinh sandal đính kèm sticker đi học dễ mix đồ,https://www.lazada.vn/products/dep-quai-hau-hoc-sinh-sandal-dinh-kem-sticker-di-hoc-de-mix-do-i2585376692.html,45.000 ₫,50% Off,34 Đã bán,(10),Nam Định,90.000 ₫,37.700 ₫,3 ngày trả hàng cho Nhà bán hàng,94%,100%,50%,0.0,0.0,0.0,0.0,10.0
