Type,Title,Link,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Return,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
laptop,"Máy Tính Xách Tay Bàn Phím Bao Gồm, Màng Bảo Vệ Bàn Phím Cho 14 Inch Latitude 3400 A3430 Dell Inspiron 14 ''3000 5468 5000 5488 5480",https://www.lazada.vn/products/may-tinh-xach-tay-ban-phim-bao-gom-mang-bao-ve-ban-phim-cho-14-inch-latitude-3400-a3430-dell-inspiron-14-3000-5468-5000-5488-5480-i1496850993.html,39.000 ₫,17% Off,313 Đã bán,(67),Hồ Chí Minh,,,,,,,['11'],['1'],['3'],['5'],['47']
laptop,Laptop Toshiba Dynabook B35 màn 15.6 inch - Core i5 5200u 16G 256G SSD,https://www.lazada.vn/products/laptop-toshiba-dynabook-b35-man-156-inch-core-i5-5200u-16g-256g-ssd-i2663313858.html,1.727.600 ₫,,,,Hà Nội,,,,Nhà bán hàng mới,Không đủ thông tin,Không đủ thông tin,['0'],['0'],['0'],['0'],['0']
laptop,Laptop Dell Inspiron 7567 máy tính giá rẻ(Core i7-7700HQ/8GB DDR4/HDD 500G+SSD 128G/GTX 1050),https://www.lazada.vn/products/laptop-dell-inspiron-7567-may-tinh-gia-recore-i7-7700hq8gb-ddr4hdd-500gssd-128ggtx-1050-i2600882792.html,3.200.000 ₫,50% Off,,,Hà Nội,6.400.000 ₫,Miễn phí,,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,['0'],['0'],['0'],['0'],['0']
laptop,laptop toshiba z35 cực mạnh - i5 6200U U Ram 16GB SSD 256G,https://www.lazada.vn/products/laptop-toshiba-z35-cuc-manh-i5-6200u-u-ram-16gb-ssd-256g-i2590786738.html,3.899 ₫,,14 Đã bán,(0),Quảng Trị,,37.700 ₫,,97%,Không đủ thông tin,Không đủ thông tin,['0'],['0'],['0'],['0'],['1']
laptop,[6.6 SALE TO] MacBook Air 2020 13.3 inches M1- Hàng Chính Hãng,https://www.lazada.vn/products/66-sale-to-macbook-air-2020-133-inches-m1-hang-chinh-hang-i1040858590.html,17.990.000 ₫,38% Off,3.0K Đã bán,(672),Hồ Chí Minh,28.990.000 ₫,10.200 ₫,30 Ngày Trả Hàng Miễn Phí,94%,98%,100%,['28'],['5'],['10'],['17'],['612']
laptop,"【Bảo hành 2 năm】Máy tính xách tay dành cho sinh viên màu hồng Royal ASUS Intel Core i7/Core i5/Intel Celeron J4125 2024 Ultrabook Intel thế hệ thứ 11 mới Monspring 15,6 inch RAM16g SSD 512GB Máy tính xách tay chơi game mở khóa bằng vân tay có camera tích",https://www.lazada.vn/products/bao-hanh-2-nammay-tinh-xach-tay-danh-cho-sinh-vien-mau-hong-royal-asus-intel-core-i7core-i5intel-celeron-j4125-2024-ultrabook-intel-the-he-thu-11-moi-monspring-156-inch-ram16g-ssd-512gb-may-tinh-xach-tay-choi-game-mo-khoa-bang-van-tay-co-camera-tich-i1980639194.html,6.685.956 ₫,27% Off,69 Đã bán,(28),Hồ Chí Minh,9.999.999 ₫,Miễn phí,,97%,Không đủ thông tin,Không đủ thông tin,['0'],['0'],['0'],['0'],['28']
laptop,Laptop cũ nhiều lựa chọn Pentium đến i3 i5 i7 Giá tốt nhất,https://www.lazada.vn/products/laptop-cu-nhieu-lua-chon-pentium-den-i3-i5-i7-gia-tot-nhat-i2252962767.html,1.000.000 ₫,,81 Đã bán,(28),Hà Nội,,198.200 ₫,,94%,20%,83%,['2'],['1'],['1'],['3'],['21']
laptop,"Máy Tính Bảng Microsoft Surface Pro6/5/4 Pro7 Laptop 12.3 Inch 13.5 Máy Tính Màn Hình Laptop Màn Hình Go2 HD, Màng Bảo Vệ Go3 Chống Ánh Sáng Xanh 8/9, Màng Dán Nhám Nhám Book 15",https://www.lazada.vn/products/may-tinh-bang-microsoft-surface-pro654-pro7-laptop-123-inch-135-may-tinh-man-hinh-laptop-man-hinh-go2-hd-mang-bao-ve-go3-chong-anh-sang-xanh-89-mang-dan-nham-nham-book-15-i2305254639.html,79.120 ₫,65% Off,9 Đã bán,(5),Nước ngoài,228.000 ₫,17.000 ₫,,95%,93%,99%,['0'],['0'],['0'],['0'],['6']
laptop,"Xác laptop SONY VAIO PCG-71312L không chạy, bán xác",https://www.lazada.vn/products/xac-laptop-sony-vaio-pcg-71312l-khong-chay-ban-xac-i2660127610.html,350.000 ₫,,,,Tây Ninh,,48.200 ₫,,97%,100%,80%,['0'],['0'],['0'],['0'],['0']
laptop,Laptop mini hàng đẹp,https://www.lazada.vn/products/laptop-mini-hang-dep-i2631523178.html,902.899 ₫,25% Off,11 Đã bán,(2),Hưng Yên,1.499.999 ₫,70.000 ₫,,86%,100%,87%,['1'],['0'],['0'],['0'],['2']
laptop,"Ổ cứng Laptop HDD, SSD M2 1TB, 750GB, 640Gb, 500Gb, 320Gb bảo hành 1 đổi 1",https://www.lazada.vn/products/o-cung-laptop-hdd-ssd-m2-1tb-750gb-640gb-500gb-320gb-bao-hanh-1-doi-1-i2164261181.html,125.332 ₫,"23% Off
LazFlash Sale,kết thúc sau 1 ngày",2.2K Đã bán,(790),Hồ Chí Minh,199.000 ₫,16.500 ₫,,99%,100%,100%,['3'],['1'],['2'],['12'],['772']
