title,link_item,price_sale,sale_off,Location,index_,temp_id,total_sold,preview
"Lenovo mới tinh core Intel i7 6560U laptop 15, 6 inch 1 terabyte bộ nhớ Windows11 hệ thống RAM16GB máy tính laptop",https://www.lazada.vn/products/lenovo-moi-tinh-core-intel-i7-6560u-laptop-15-6-inch-1-terabyte-bo-nho-windows11-he-thong-ram16gb-may-tinh-laptop-i2629832469.html,8.269.999 ₫,41% Off,Hải Phòng,1,1.0,51 Đã bán,(5)
Laptop Dell Inspiron 7567 máy tính giá rẻ(Core i7-7700HQ/8GB DDR4/HDD 500G+SSD 128G/GTX 1050),https://www.lazada.vn/products/laptop-dell-inspiron-7567-may-tinh-gia-recore-i7-7700hq8gb-ddr4hdd-500gssd-128ggtx-1050-i2600882792.html,3.200.000 ₫,50% Off,Hà Nội,2,,,
"Máy Tính Xách Tay Bàn Phím Bao Gồm, Màng Bảo Vệ Bàn Phím Cho 14 Inch Latitude 3400 A3430 Dell Inspiron 14 ''3000 5468 5000 5488 5480",https://www.lazada.vn/products/may-tinh-xach-tay-ban-phim-bao-gom-mang-bao-ve-ban-phim-cho-14-inch-latitude-3400-a3430-dell-inspiron-14-3000-5468-5000-5488-5480-i1496850993.html,39.000 ₫,17% Off,Hồ Chí Minh,3,3.0,311 Đã bán,(67)
"Laptop HP Probook / Intel Core i5 ~ 2.4Ghz / Ram 8G / Ổ SSD 128G / Windows 10Pro / Chơi game, học tập, giải trí / Tặng kèm chuột + lót chuột",https://www.lazada.vn/products/laptop-hp-probook-intel-core-i5-24ghz-ram-8g-o-ssd-128g-windows-10pro-choi-game-hoc-tap-giai-tri-tang-kem-chuot-lot-chuot-i865448194.html,2.550.000 ₫,20% Off,Hà Nội,4,4.0,33 Đã bán,(9)
Laptop cũ nhiều lựa chọn Pentium đến i3 i5 i7 Giá tốt nhất,https://www.lazada.vn/products/laptop-cu-nhieu-lua-chon-pentium-den-i3-i5-i7-gia-tot-nhat-i2252962767.html,1.000.000 ₫,,Hà Nội,5,5.0,81 Đã bán,(28)
Laptop mini hàng đẹp,https://www.lazada.vn/products/laptop-mini-hang-dep-i2631523178.html,999.999 ₫,17% Off,Hưng Yên,6,6.0,8 Đã bán,(2)
Máy tính laptop cấu hình đời cao chip I3 siêu khoẻ giá ưu đãi trong 7 ngày,https://www.lazada.vn/products/may-tinh-laptop-cau-hinh-doi-cao-chip-i3-sieu-khoe-gia-uu-dai-trong-7-ngay-i2605474115.html,1.199.999 ₫,8% Off,Hưng Yên,7,,,
Laptop cũ giá rẻ - Máy tính zin ram 4GB ổ 250gb chính hãng nhanh zin rất bền đầy đủ phụ kiện,https://www.lazada.vn/products/laptop-cu-gia-re-may-tinh-zin-ram-4gb-o-250gb-chinh-hang-nhanh-zin-rat-ben-day-du-phu-kien-i2178969427.html,1.200.000 ₫,48% Off,Hồ Chí Minh,8,8.0,24 Đã bán,(11)
"Laptop core 2 giá rẻ, ram 4G, HDD 250G, đầy đủ chức năng, ngoại hình đẹp",https://www.lazada.vn/products/laptop-core-2-gia-re-ram-4g-hdd-250g-day-du-chuc-nang-ngoai-hinh-dep-i2493737444.html,1.239.000 ₫,38% Off,Hồ Chí Minh,9,9.0,22 Đã bán,(10)
Thành lý máy tính sách tay laptop học tập sử dụng văn phòng văn bản giải trí,https://www.lazada.vn/products/thanh-ly-may-tinh-sach-tay-laptop-hoc-tap-su-dung-van-phong-van-ban-giai-tri-i2273037387.html,999.999 ₫,17% Off,Hưng Yên,10,10.0,15 Đã bán,(2)
"Ổ cứng Laptop HDD, SSD M2 1TB, 750GB, 640Gb, 500Gb, 320Gb bảo hành 1 đổi 1",https://www.lazada.vn/products/o-cung-laptop-hdd-ssd-m2-1tb-750gb-640gb-500gb-320gb-bao-hanh-1-doi-1-i2164261181.html,165.000 ₫,13% Off,Hồ Chí Minh,11,11.0,2.2K Đã bán,(781)
"Thanh lý Laptop Toshiba, core I5, ram 4Gb, ô cứng SSD 120G, full chức năng. Giá bán: 1,2 triệu",https://www.lazada.vn/products/thanh-ly-laptop-toshiba-core-i5-ram-4gb-o-cung-ssd-120g-full-chuc-nang-gia-ban-12-trieu-i2342620790.html,1.200.000 ₫,,Tiền Giang,12,12.0,25 Đã bán,(10)
Laptop Dell Latitude E7250 màn 12.5 - Core i7 5600u 8G 256G SSD,https://www.lazada.vn/products/laptop-dell-latitude-e7250-man-125-core-i7-5600u-8g-256g-ssd-i2277609531.html,2.668.000 ₫,8% Off,Nghệ An,13,13.0,33 Đã bán,(18)
Laptop Dell Latitude E5480 màn 14 inch Ram 8G SSD 256G - Core i5 6200U Likenew,https://www.lazada.vn/products/laptop-dell-latitude-e5480-man-14-inch-ram-8g-ssd-256g-core-i5-6200u-likenew-i2272620468.html,3.258.000 ₫,19% Off,Nghệ An,14,14.0,73 Đã bán,(31)
Laptop cũ giá rẻ nhiều hãng core i3 i5 ram 4gb - 8gb,https://www.lazada.vn/products/laptop-cu-gia-re-nhieu-hang-core-i3-i5-ram-4gb-8gb-i2291333335.html,1.799.000 ₫,,Đồng Nai,15,15.0,146 Đã bán,(41)
"Laptop HP 4730S i7 , SSD120G , Ram 8G Hàng Nhập Khẩu Japan Giá sinh viên full box Tặng kèm box 250G (Giá rẻ nếu mua số lượng)",https://www.lazada.vn/products/laptop-hp-4730s-i7-ssd120g-ram-8g-hang-nhap-khau-japan-gia-sinh-vien-full-box-tang-kem-box-250g-gia-re-neu-mua-so-luong-i251073973.html,2.455.000 ₫,,Hà Nội,16,16.0,14 Đã bán,(2)
Laptop game và đồ họa giá tốt HP 6470b Core i5 3210M Ram 4G SSD 120G VGA HD 4000 Màn 14 inch,https://www.lazada.vn/products/laptop-game-va-do-hoa-gia-tot-hp-6470b-core-i5-3210m-ram-4g-ssd-120g-vga-hd-4000-man-14-inch-i263688525.html,1.300.000 ₫,28% Off,Hà Nội,17,17.0,82 Đã bán,(40)
Laptop hp 8440P i5 Ram 8G hdd 500GB Nhập Khẩu Nhật giá rẻ giải trí học tập ổn,https://www.lazada.vn/products/laptop-hp-8440p-i5-ram-8g-hdd-500gb-nhap-khau-nhat-gia-re-giai-tri-hoc-tap-on-i267424110.html,1.900.000 ₫,,Hà Nội,18,18.0,29 Đã bán,(5)
[Trả góp 0%]LAPTOP CHƠI FIFA 4 PUBG MOBI PHOTOSHOP - HP 4540s Core i5 3210M/ Ram 16G/ ssd 128G + HDD 1000g / Màn 15.6 inch Phím Số Vỏ hợp kim Nhôm,https://www.lazada.vn/products/tra-gop-0laptop-choi-fifa-4-pubg-mobi-photoshop-hp-4540s-core-i5-3210m-ram-16g-ssd-128g-hdd-1000g-man-156-inch-phim-so-vo-hop-kim-nhom-i1731025093.html,2.300.000 ₫,8% Off,Hà Nội,19,,,
