price_original,ship_price,return_exchange,sale_rating,ship_on_time,chat_response,One_star,Two_star,Three_star,Four_star,Five_star,index_
['13.899.999 ₫'],Miễn phí,3 ngày trả hàng cho Nhà bán hàng,100%,100%,75%,0,0,0,0,5,1
['6.400.000 ₫'],Miễn phí,3 ngày trả hàng cho Nhà bán hàng,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,0,0,0,0,0,2
['47.000 ₫'],,7 ngày trả hàng dễ dàng,96%,98%,85%,11,1,3,5,47,3
['3.200.000 ₫'],52.400 ₫,3 ngày trả hàng cho Nhà bán hàng,91%,100%,100%,0,0,0,0,9,4
[],198.200 ₫,3 ngày trả hàng cho Nhà bán hàng,94%,25%,66%,2,1,1,3,21,5
['1.499.999 ₫'],70.000 ₫,3 ngày trả hàng cho Nhà bán hàng,86%,100%,85%,1,0,0,0,2,6
['1.399.999 ₫'],80.200 ₫,3 ngày trả hàng cho Nhà bán hàng,86%,100%,85%,0,0,0,0,3,7
['2.300.000 ₫'],Miễn phí,3 ngày trả hàng cho Nhà bán hàng,91%,100%,100%,0,1,0,1,9,8
['2.200.000 ₫'],Miễn phí,3 ngày trả hàng cho Nhà bán hàng,91%,100%,100%,0,0,0,0,10,9
['1.499.999 ₫'],100.600 ₫,3 ngày trả hàng cho Nhà bán hàng,86%,100%,85%,1,0,0,0,1,10
[],16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,99%,100%,100%,3,1,2,12,763,11
[],32.200 ₫,3 ngày trả hàng cho Nhà bán hàng,87%,37%,100%,0,0,0,1,9,12
['2.898.000 ₫'],56.800 ₫,3 ngày trả hàng cho Nhà bán hàng,94%,92%,92%,0,2,0,2,15,13
['3.998.000 ₫'],56.800 ₫,3 ngày trả hàng cho Nhà bán hàng,94%,92%,92%,0,0,1,0,30,14
[],65.500 ₫,3 ngày trả hàng cho Nhà bán hàng,99%,100%,Không đủ thông tin,0,0,0,1,40,15
[],38.000 ₫,3 ngày trả hàng cho Nhà bán hàng,79%,76%,96%,0,0,1,0,1,16
[],74.400 ₫,3 ngày trả hàng cho Nhà bán hàng,92%,100%,88%,0,0,0,6,34,17
[],38.000 ₫,3 ngày trả hàng cho Nhà bán hàng,79%,76%,96%,1,0,0,0,4,18
['3.000.000 ₫'],104.900 ₫,3 ngày trả hàng cho Nhà bán hàng,92%,100%,88%,0,0,0,0,1,19
['1.199.999 ₫'],100.600 ₫,3 ngày trả hàng cho Nhà bán hàng,82%,100%,Không đủ thông tin,1,1,1,0,7,20
['8.599.999 ₫'],Miễn phí,3 ngày trả hàng cho Nhà bán hàng,88%,100%,Không đủ thông tin,3,0,1,0,20,21
[],56.800 ₫,3 ngày trả hàng cho Nhà bán hàng,95%,100%,50%,6,1,2,9,115,22
[],43.900 ₫,3 ngày trả hàng cho Nhà bán hàng,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,0,0,0,0,0,23
[],56.800 ₫,3 ngày trả hàng cho Nhà bán hàng,100%,98%,Không đủ thông tin,0,0,0,0,0,24
[],37.700 ₫,3 ngày trả hàng cho Nhà bán hàng,100%,98%,Không đủ thông tin,0,0,0,0,7,25
['7.299.000 ₫'],74.400 ₫,3 ngày trả hàng cho Nhà bán hàng,96%,100%,100%,0,0,0,2,55,26
['7.939.999 ₫'],Miễn phí,3 ngày trả hàng cho Nhà bán hàng,95%,99%,100%,1,0,0,0,32,27
['8.999.999 ₫'],Miễn phí,3 ngày trả hàng cho Nhà bán hàng,96%,100%,50%,1,0,2,0,115,28
['13.999.998 ₫'],Miễn phí,3 ngày trả hàng cho Nhà bán hàng,97%,81%,100%,1,0,0,0,18,29
[],Miễn phí,3 ngày trả hàng cho Nhà bán hàng,96%,100%,94%,0,0,0,0,0,30
['2.300.000 ₫'],Miễn phí,3 ngày trả hàng cho Nhà bán hàng,91%,100%,100%,0,0,0,0,0,31
['8.999.999 ₫'],Miễn phí,3 ngày trả hàng cho Nhà bán hàng,96%,100%,50%,1,0,0,2,46,32
[],100.600 ₫,3 ngày trả hàng cho Nhà bán hàng,Nhà bán hàng mới,Không đủ thông tin,Không đủ thông tin,0,0,0,0,0,33
['3.598.000 ₫'],56.800 ₫,3 ngày trả hàng cho Nhà bán hàng,94%,92%,92%,0,0,0,0,28,34
[],65.500 ₫,3 ngày trả hàng cho Nhà bán hàng,97%,Không đủ thông tin,Không đủ thông tin,1,0,1,0,41,35
['4.100.000 ₫'],16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,96%,78%,100%,1,1,1,5,28,36
[],84.600 ₫,100% Chính hãng,94%,100%,68%,0,0,0,0,5,37
[],51.100 ₫,3 ngày trả hàng cho Nhà bán hàng,100%,98%,Không đủ thông tin,0,0,0,0,5,38
['12.500.000 ₫'],21.200 ₫,3 ngày trả hàng cho Nhà bán hàng,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,0,0,0,0,0,39
['14.099.999 ₫'],Miễn phí,3 ngày trả hàng cho Nhà bán hàng,100%,100%,75%,0,0,0,0,4,40
