Title,Link,Price_sale,Sale_off,Location,Index_,Total_sold,Preview,price_original,ship_price,Return,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
"Máy Tính Xách Tay Bàn Phím Bao Gồm, Màng Bảo Vệ Bàn Phím Cho 14 Inch Latitude 3400 A3430 Dell Inspiron 14 ''3000 5468 5000 5488 5480",https://www.lazada.vn/products/may-tinh-xach-tay-ban-phim-bao-gom-mang-bao-ve-ban-phim-cho-14-inch-latitude-3400-a3430-dell-inspiron-14-3000-5468-5000-5488-5480-i1496850993.html,39.000 ₫,17% Off,Hồ Chí Minh,1,311 Đã bán,(67),['47.000 ₫'],,7 ngày trả hàng dễ dàng,96%,98%,85%,11,1,3,5,47
Laptop Dell Inspiron 7567 máy tính giá rẻ(Core i7-7700HQ/8GB DDR4/HDD 500G+SSD 128G/GTX 1050),https://www.lazada.vn/products/laptop-dell-inspiron-7567-may-tinh-gia-recore-i7-7700hq8gb-ddr4hdd-500gssd-128ggtx-1050-i2600882792.html,3.200.000 ₫,50% Off,Hà Nội,2,,,['6.400.000 ₫'],Miễn phí,3 ngày trả hàng cho Nhà bán hàng,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,0,0,0,0,0
"Laptop HP Probook / Intel Core i5 ~ 2.4Ghz / Ram 8G / Ổ SSD 128G / Windows 10Pro / Chơi game, học tập, giải trí / Tặng kèm chuột + lót chuột",https://www.lazada.vn/products/laptop-hp-probook-intel-core-i5-24ghz-ram-8g-o-ssd-128g-windows-10pro-choi-game-hoc-tap-giai-tri-tang-kem-chuot-lot-chuot-i865448194.html,2.550.000 ₫,20% Off,Hà Nội,3,33 Đã bán,(9),['3.200.000 ₫'],52.400 ₫,3 ngày trả hàng cho Nhà bán hàng,91%,100%,100%,0,0,0,0,9
Laptop cũ nhiều lựa chọn Pentium đến i3 i5 i7 Giá tốt nhất,https://www.lazada.vn/products/laptop-cu-nhieu-lua-chon-pentium-den-i3-i5-i7-gia-tot-nhat-i2252962767.html,1.000.000 ₫,,Hà Nội,4,81 Đã bán,(28),[],198.200 ₫,3 ngày trả hàng cho Nhà bán hàng,94%,25%,66%,2,1,1,3,21
Laptop mini hàng đẹp,https://www.lazada.vn/products/laptop-mini-hang-dep-i2631523178.html,902.899 ₫,25% Off,Hưng Yên,5,8 Đã bán,(2),['1.499.999 ₫'],70.000 ₫,3 ngày trả hàng cho Nhà bán hàng,86%,100%,85%,1,0,0,0,2
Máy tính laptop cấu hình đời cao chip I3 siêu khoẻ giá ưu đãi trong 7 ngày,https://www.lazada.vn/products/may-tinh-laptop-cau-hinh-doi-cao-chip-i3-sieu-khoe-gia-uu-dai-trong-7-ngay-i2605474115.html,1.089.839 ₫,16% Off,Hưng Yên,6,,(3),['1.399.999 ₫'],80.200 ₫,3 ngày trả hàng cho Nhà bán hàng,86%,100%,85%,0,0,0,0,3
Thành lý máy tính sách tay laptop học tập sử dụng văn phòng văn bản giải trí,https://www.lazada.vn/products/thanh-ly-may-tinh-sach-tay-laptop-hoc-tap-su-dung-van-phong-van-ban-giai-tri-i2273037387.html,864.999 ₫,28% Off,Hưng Yên,7,15 Đã bán,(2),['1.499.999 ₫'],100.600 ₫,3 ngày trả hàng cho Nhà bán hàng,86%,100%,85%,1,0,0,0,1
Laptop cũ giá rẻ - Máy tính zin ram 4GB ổ 250gb chính hãng nhanh zin rất bền đầy đủ phụ kiện,https://www.lazada.vn/products/laptop-cu-gia-re-may-tinh-zin-ram-4gb-o-250gb-chinh-hang-nhanh-zin-rat-ben-day-du-phu-kien-i2178969427.html,1.200.000 ₫,48% Off,Hồ Chí Minh,8,24 Đã bán,(11),['2.300.000 ₫'],Miễn phí,3 ngày trả hàng cho Nhà bán hàng,91%,100%,100%,0,1,0,1,9
"Bán Xác Laptop Acer 4349, không lên hình. Giá bán 400k",https://www.lazada.vn/products/ban-xac-laptop-acer-4349-khong-len-hinh-gia-ban-400k-i2346400118.html,400.000 ₫,,Tiền Giang,9,9 Đã bán,(2),[],40.300 ₫,3 ngày trả hàng cho Nhà bán hàng,87%,37%,100%,0,0,0,0,2
Laptop game và đồ họa giá tốt HP 6470b Core i5 3210M Ram 4G SSD 120G VGA HD 4000 Màn 14 inch,https://www.lazada.vn/products/laptop-game-va-do-hoa-gia-tot-hp-6470b-core-i5-3210m-ram-4g-ssd-120g-vga-hd-4000-man-14-inch-i263688525.html,1.300.000 ₫,28% Off,Hà Nội,10,82 Đã bán,(40),[],74.400 ₫,3 ngày trả hàng cho Nhà bán hàng,92%,100%,83%,0,0,0,6,34
