Type,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
quần áo,35891,64.0,3000.0,1022.0,Hồ Chí Minh,100000.0,16500.0,97.0,100.0,100.0,20.0,7.0,27.0,36.0,932.0
quần áo,25000,50.0,907.0,241.0,Hồ Chí Minh,71998.0,16500.0,91.0,100.0,50.0,5.0,2.0,6.0,7.0,222.0
quần áo,79000,43.0,961.0,260.0,Hà Nội,139000.0,32700.0,92.0,99.0,33.0,11.0,8.0,8.0,16.0,218.0
quần áo,36000,60.0,102.0,21.0,Nam Định,189000.0,37700.0,94.0,100.0,83.0,1.0,0.0,1.0,1.0,18.0
quần áo,15971,54.0,219.0,68.0,Hà Nội,59000.0,32700.0,95.0,100.0,100.0,0.0,1.0,0.0,3.0,65.0
quần áo,59000,67.0,3800.0,1147.0,Hồ Chí Minh,179000.0,16500.0,97.0,96.0,97.0,7.0,5.0,18.0,32.0,1085.0
quần áo,45000,,116.0,27.0,Hồ Chí Minh,,18300.0,92.0,99.0,60.0,0.0,0.0,2.0,2.0,23.0
quần áo,50000,61.0,14600.0,3067.0,Hồ Chí Minh,129000.0,16500.0,97.0,96.0,97.0,64.0,23.0,70.0,111.0,2799.0
quần áo,33454,66.0,6000.0,1725.0,Hồ Chí Minh,99000.0,16500.0,97.0,96.0,97.0,20.0,17.0,28.0,44.0,1616.0
quần áo,149000,,5.0,,Hồ Chí Minh,,18300.0,92.0,99.0,60.0,0.0,0.0,0.0,0.0,0.0
quần áo,14115,53.0,1300.0,266.0,Hồ Chí Minh,50000.0,16500.0,99.0,100.0,100.0,1.0,1.0,0.0,4.0,260.0
quần áo,38660,47.0,192.0,59.0,Nước ngoài,73000.0,,92.0,,100.0,2.0,0.0,0.0,0.0,57.0
quần áo,39886,45.0,94.0,22.0,Nước ngoài,73000.0,,97.0,,100.0,0.0,0.0,1.0,0.0,21.0
quần áo,37900,57.0,1300.0,329.0,Hà Nội,89000.0,32700.0,88.0,100.0,100.0,17.0,8.0,21.0,15.0,269.0
quần áo,47227,52.0,61.0,22.0,Hà Nội,99000.0,32700.0,91.0,99.0,66.0,0.0,2.0,0.0,1.0,19.0
quần áo,39000,43.0,281.0,67.0,Hồ Chí Minh,129000.0,16500.0,91.0,100.0,90.0,1.0,0.0,1.0,0.0,65.0
quần áo,69349,49.0,66.0,20.0,Nước ngoài,134999.0,,92.0,,100.0,0.0,1.0,0.0,2.0,18.0
quần áo,92000,44.0,125.0,30.0,Hồ Chí Minh,165000.0,16500.0,98.0,100.0,100.0,0.0,0.0,0.0,0.0,30.0
quần áo,36000,60.0,164.0,62.0,Hà Nội,89000.0,32700.0,91.0,98.0,81.0,0.0,1.0,1.0,4.0,56.0
quần áo,58536,49.0,207.0,58.0,Nước ngoài,115000.0,,92.0,,100.0,0.0,1.0,2.0,3.0,52.0
quần áo,19000,30.0,302.0,91.0,Hà Nội,27000.0,32700.0,93.0,99.0,,1.0,0.0,4.0,2.0,84.0
quần áo,19900,29.0,521.0,199.0,Hà Nội,42000.0,32700.0,93.0,99.0,,5.0,0.0,7.0,7.0,180.0
quần áo,34000,56.0,3300.0,961.0,Hồ Chí Minh,78000.0,16500.0,96.0,93.0,97.0,11.0,7.0,12.0,24.0,907.0
quần áo,50663,57.0,59.0,18.0,Nam Định,220000.0,37700.0,86.0,100.0,100.0,2.0,0.0,3.0,3.0,11.0
quần áo,48086,59.0,90.0,32.0,Nam Định,118000.0,37700.0,94.0,100.0,,3.0,0.0,2.0,0.0,28.0
quần áo,53360,8.0,208.0,60.0,Hồ Chí Minh,,17000.0,95.0,93.0,99.0,4.0,0.0,0.0,0.0,56.0
quần áo,33333,44.0,220.0,32.0,Nam Định,160000.0,37700.0,93.0,100.0,100.0,1.0,0.0,1.0,2.0,28.0
quần áo,73000,,263.0,58.0,Tiền Giang,,28700.0,97.0,97.0,100.0,1.0,0.0,1.0,1.0,55.0
quần áo,162290,35.0,475.0,171.0,Hà Nội,250000.0,32700.0,97.0,98.0,54.0,7.0,1.0,7.0,5.0,152.0
quần áo,36242,67.0,5700.0,177.0,Hồ Chí Minh,109000.0,16500.0,97.0,96.0,97.0,6.0,5.0,4.0,2.0,160.0
quần áo,48087,57.0,85.0,23.0,Nam Định,210000.0,37700.0,86.0,100.0,100.0,0.0,1.0,1.0,2.0,19.0
quần áo,30000,50.0,477.0,136.0,Hồ Chí Minh,60000.0,18300.0,95.0,98.0,81.0,3.0,3.0,4.0,8.0,118.0
quần áo,32682,58.0,68.0,13.0,Hồ Chí Minh,78000.0,16500.0,97.0,96.0,97.0,0.0,0.0,0.0,1.0,12.0
quần áo,41600,54.0,27.0,6.0,Nước ngoài,91000.0,,92.0,,100.0,0.0,0.0,0.0,0.0,7.0
quần áo,2500,50.0,,,Hà Nội,5000.0,32700.0,,,,0.0,0.0,0.0,0.0,0.0
quần áo,25000,50.0,250.0,54.0,Hồ Chí Minh,75999.0,16500.0,91.0,100.0,50.0,1.0,1.0,2.0,2.0,48.0
quần áo,45000,31.0,1400.0,369.0,Hồ Chí Minh,65000.0,16500.0,96.0,98.0,100.0,0.0,2.0,3.0,7.0,357.0
quần áo,17555,12.0,1300.0,234.0,Hồ Chí Minh,20000.0,16500.0,85.0,96.0,99.0,27.0,11.0,12.0,13.0,171.0
quần áo,37000,8.0,101.0,16.0,Cần Thơ,45000.0,28700.0,97.0,100.0,42.0,0.0,0.0,0.0,0.0,17.0
