Type,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
3,35891.0,64.0,3000.0,1022.0,19,100000.0,16500,97,100,100,20.0,7.0,27.0,36.0,932.0
3,25000.0,50.0,907.0,241.0,19,71998.0,16500,91,100,50,5.0,2.0,6.0,7.0,222.0
3,79000.0,43.0,961.0,260.0,15,139000.0,32700,92,99,33,11.0,8.0,8.0,16.0,218.0
3,36000.0,60.0,102.0,21.0,23,189000.0,37700,94,100,83,1.0,0.0,1.0,1.0,18.0
3,15971.0,54.0,219.0,68.0,15,59000.0,32700,95,100,100,0.0,1.0,0.0,3.0,65.0
3,59000.0,67.0,3800.0,1147.0,19,179000.0,16500,97,96,97,7.0,5.0,18.0,32.0,1085.0
3,45000.0,0.0,116.0,27.0,19,45000.0,18300,92,99,60,0.0,0.0,2.0,2.0,23.0
3,50000.0,61.0,14600.0,3067.0,19,129000.0,16500,97,96,97,64.0,23.0,70.0,111.0,2799.0
3,33454.0,66.0,6000.0,1725.0,19,99000.0,16500,97,96,97,20.0,17.0,28.0,44.0,1616.0
3,149000.0,0.0,5.0,0.0,19,149000.0,18300,92,99,60,0.0,0.0,0.0,0.0,0.0
3,14115.0,53.0,1300.0,266.0,19,50000.0,16500,99,100,100,1.0,1.0,0.0,4.0,260.0
3,38660.0,47.0,192.0,59.0,25,73000.0,0,92,97,100,2.0,0.0,0.0,0.0,57.0
3,39886.0,45.0,94.0,22.0,25,73000.0,0,97,97,100,0.0,0.0,1.0,0.0,21.0
3,37900.0,57.0,1300.0,329.0,15,89000.0,32700,88,100,100,17.0,8.0,21.0,15.0,269.0
3,47227.0,52.0,61.0,22.0,15,99000.0,32700,91,99,66,0.0,2.0,0.0,1.0,19.0
3,39000.0,43.0,281.0,67.0,19,129000.0,16500,91,100,90,1.0,0.0,1.0,0.0,65.0
3,69349.0,49.0,66.0,20.0,25,134999.0,0,92,97,100,0.0,1.0,0.0,2.0,18.0
