Type,Title,Link,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Return,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
Trang sức,17km pha lê May Mắn Vòng đeo tay đính hạt cho phụ nữ thanh lịch bướm trăng sao Vòng tay bạc phụ kiện trang sức,https://www.lazada.vn/products/17km-pha-le-may-man-vong-deo-tay-dinh-hat-cho-phu-nu-thanh-lich-buom-trang-sao-vong-tay-bac-phu-kien-trang-suc-i2610474963.html,6.848 ₫,46% Off,1.9K Đã bán,(594),Hồ Chí Minh,22.906 ₫,17.000 ₫,30 Ngày Trả Hàng Miễn Phí,96%,95%,96%,['13'],['8'],['15'],['14'],['544']
Trang sức,🔥 Vòng kim cương mạ bạc đơn giản S925 dành cho nhẫn đính hôn YVETTERY,https://www.lazada.vn/products/vong-kim-cuong-ma-bac-don-gian-danh-cho-nhan-dinh-hon-yvettery-i2184637082.html,7.458 ₫,58% Off,2.0K Đã bán,(406),Hồ Chí Minh,17.600 ₫,16.500 ₫,,97%,89%,100%,['6'],['1'],['9'],['17'],['373']
Trang sức,"【YIDEA HONGKONG】1pc nhẫn Cặp Đôi Đồng Tâm Thắt Nút Mãi Mãi, Nhẫn Hở Lỗ Hình Trái Tim Tình Yêu Cho Nam Và Nữ",https://www.lazada.vn/products/yidea-hongkong1pc-nhan-cap-doi-dong-tam-that-nut-mai-mai-nhan-ho-lo-hinh-trai-tim-tinh-yeu-cho-nam-va-nu-i1501743022.html,16.000 ₫,47% Off,1.2K Đã bán,(239),Hồ Chí Minh,34.000 ₫,17.000 ₫,,93%,98%,100%,['7'],['0'],['3'],['9'],['220']
Trang sức,Vòng Cổ Dây Chuyền Chạm Xương Quai Xanh Hình Trái Tim Hai Vòng,https://www.lazada.vn/products/vong-co-day-chuyen-cham-xuong-quai-xanh-hinh-trai-tim-hai-vong-i2207738030.html,4.850 ₫,49% Off,82 Đã bán,(21),Hồ Chí Minh,9.534 ₫,17.000 ₫,,96%,100%,83%,['0'],['0'],['0'],['0'],['21']
Trang sức,JWER Quà Tặng Trang Sức Cặp Đôi Hình Trái Tim Tình Yêu Nhẫn Dạ Quang Màu Xanh Thời Trang Dành Cho Nữ Cổ Điển Cho Nam Phát Sáng Trong Bóng Tối Màu Bạc Nhẫn Đeo Tay Có Thể Điều Chỉnh,https://www.lazada.vn/products/jwer-qua-tang-trang-suc-cap-doi-hinh-trai-tim-tinh-yeu-nhan-da-quang-mau-xanh-thoi-trang-danh-cho-nu-co-dien-cho-nam-phat-sang-trong-bong-toi-mau-bac-nhan-deo-tay-co-the-dieu-chinh-i2081122363.html,5.000 ₫,44% Off,1.2K Đã bán,(222),Hồ Chí Minh,9.000 ₫,17.000 ₫,,95%,99%,62%,['12'],['4'],['6'],['13'],['187']
Trang sức,Nhẫn Chống Gỉ Cho Nữ Nhẫn Trang Sức Kim Cương Vàng Bạc 925 Cho Nữ,https://www.lazada.vn/products/nhan-chong-gi-cho-nu-nhan-trang-suc-kim-cuong-vang-bac-925-cho-nu-i1557008994.html,10.174 ₫,52% Off,5.4K Đã bán,(838),Hồ Chí Minh,21.000 ₫,17.000 ₫,,95%,100%,100%,['35'],['18'],['28'],['37'],['720']
Trang sức,"Nước rửa bạc, nước rửa trang sức vàng bạc 50ml - Trang Sức TNJ",https://www.lazada.vn/products/nuoc-rua-bac-nuoc-rua-trang-suc-vang-bac-50ml-trang-suc-tnj-i712112769.html,24.000 ₫,56% Off,3.0K Đã bán,(646),Hà Nội,55.000 ₫,32.700 ₫,30 Ngày Trả Hàng Miễn Phí,95%,96%,100%,['16'],['3'],['13'],['15'],['600']
Trang sức,BESFOME Bộ Ba Phần Của Các Vụ Nổ Phát Sóng Trực Tiếp! Bộ Trang Sức Vòng Cổ Cỏ Bốn Lá Vòng Cổ Dây Chuyền Xương Đòn Thời Trang Cho Nữ Bộ Bông Tai Vòng Tay Bằng Thép Titan Vàng Hồng 18K,https://www.lazada.vn/products/besfome-bo-ba-phan-cua-cac-vu-no-phat-song-truc-tiep-bo-trang-suc-vong-co-co-bon-la-vong-co-day-chuyen-xuong-don-thoi-trang-cho-nu-bo-bong-tai-vong-tay-bang-thep-titan-vang-hong-18k-i1899514542.html,44.182 ₫,53% Off,1.1K Đã bán,(274),Nước ngoài,93.900 ₫,17.000 ₫,,97%,94%,50%,['2'],['1'],['2'],['2'],['268']
Trang sức,18K vàng sang trọng Rhinestone Nhẫn Zircon cho nam nữ chéo Xoắn Nhẫn kim cương vài Nhẫn cưới,https://www.lazada.vn/products/18k-vang-sang-trong-rhinestone-nhan-zircon-cho-nam-nu-cheo-xoan-nhan-kim-cuong-vai-nhan-cuoi-i2385149139.html,11.457 ₫,40% Off,446 Đã bán,(97),Hồ Chí Minh,15.851 ₫,17.000 ₫,,94%,97%,80%,['1'],['2'],['2'],['5'],['87']
Trang sức,"Lấp lánh hơn cả ánh đèn đêm: Bộ Trang Sức 5 món, đính đá nhẹ nhàng nữ tính - Điểm nhấn hoàn hảo cho bữa tiệc lộng lẫy",https://www.lazada.vn/products/lap-lanh-hon-ca-anh-den-dem-bo-trang-suc-5-mon-dinh-da-nhe-nhang-nu-tinh-diem-nhan-hoan-hao-cho-bua-tiec-long-lay-i2507574733.html,31.844 ₫,64% Off,14 Đã bán,(4),Hồ Chí Minh,199.000 ₫,16.500 ₫,,98%,100%,Không đủ thông tin,['1'],['0'],['0'],['0'],['3']
