Type,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
Trang sức,6848,46,1900,594,Ho Chi Minh,22906,17000,96,95,96,13,8,15,14,544
Trang sức,7458,58,2000,406,Ho Chi Minh,17600,16500,97,89,100,6,1,9,17,373
Trang sức,16000,47,1200,239,Ho Chi Minh,34000,17000,93,98,100,7,0,3,9,220
Trang sức,4850,49,82,21,Ho Chi Minh,9534,17000,96,100,83,0,0,0,21,
Trang sức,5000,44,1200,222,Ho Chi Minh,9000,17000,95,99,62,12,4,6,13,187
Trang sức,10174,52,5400,838,Ho Chi Minh,21000,17000,95,100,100,35,18,28,37,720
Trang sức,24000,56,3000,646,Ha Noi,55000,32700,95,96,100,16,3,13,15,600
Trang sức,44182,53,1100,274,Nước ngoài,93900,17000,97,94,50,2,1,2,2,268
Trang sức,11457,40,446,97,Ho Chi Minh,15851,17000,94,97,80,1,2,2,5,87
Trang sức,31844,64,14,4,Ho Chi Minh,199000,16500,98,100,nan,1,0,0,0,3
Trang sức,69569,55,1500,363,Ho Chi Minh,154000,16500,98,100,100,2,0,2,4,355
Trang sức,25456,31,212,49,Ho Chi Minh,89000,16500,97,99,86,1,0,0,0,48
Trang sức,149000,45,108,24,Ha Noi,269000,32700,80,93,85,2,2,0,0,20
Trang sức,30000,None,980,209,Ho Chi Minh,None,16500,98,100,None,3,3,1,1,201
Trang sức,71000,28,237,79,Ho Chi Minh,99000,16500,97,99,86,0,1,1,1,76
Trang sức,29000,41,5300,851,Hà Nội,49000,32700,99,100,None,4,1,5,16,825
Trang suc,4000,43,109,13,Nước ngoài,7000,17000,95,99,62,0,1,2,0,10
Trang sức,9500,47,88,15,Nước ngoài,18000,17000,94,97,100,1,0,2,1,11
Trang sức,29000,71,3600,753,Ho Chi Minh,99000,16500,98,100,90,4,1,3,14,731
Trang sức,22750,42,659,175,Ho Chi Minh,39000,16500,97,99,86,1,1,2,2,170
Trang sức,9000,59,5600,734,Ho Chi Minh,22000,17000,96,99,92,7,5,9,27,686
Trang sức,6660,53,64,16,Ho Chi Minh,14300,17000,97,98,100,0,0,0,1,15
Trang sức,6000,33,456,77,Ho Chi Minh,12332,16500,96,100,100,1,1,1,4,71
Trang sức,19900,31,7,2,Ho Chi Minh,28900,16500,None,None,None,0,0,0,0,3
Trang sức,8879,26,17800,367,Nước ngoài,16000,17000,97,100,100,8,1,1,13,345
Trang sức,20482,54,371,82,Ho Chi Minh,44550,17000,88,100,nan,16,7,4,3,53
Trang sức,17076,66,3100,496,Ho Chi Minh,50000,16500,97,100,87,7,4,4,6,475
Trang sức,15000,None,111,33,Hai Duong,None,Miễn Phí,98,99,78,0,0,0,33,
Trang sức,4162,48,1100,302,Ho Chi Minh,8000,Miễn Phí,98,99,94,9,4,2,7,281
Trang sức,10700,47,50,7,Nước ngoài,20000,17000,95,93,100,0,0,0,7,
Trang sức,25500,15,2300,363,Ho Chi Minh,30000,16500,98,87,60,5,2,2,10,344
Trang sức,15570,26,142,19,Ho Chi Minh,21000,16500,97,99,95,0,0,0,0,19
Trang sức,9750,35,26,4,Ha Noi,15000,32700,97,100,0,0,0,0,4,
Trang sức,9320,59,133,31,Ho Chi Minh,27975,17000,96,95,96,1,0,0,1,29
Trang sức,25403,15,721,119,Hai Duong,30000,37700,97,99,84,0,0,0,1,118
Trang sức,9500,47,157,15,Nước ngoài,18000,17000,95,93,100,1,1,1,0,12
Trang sức,15000,25,351,63,Ha Noi,35000,32700,97,100,None,2,0,2,4,55
Trang sức,20780,54,189,62,Ho Chi Minh,45000,17000,96,97,100,1,0,1,5,55
Trang sức,12000,40,312,86,Ha Noi,50000,32700,94,100,100,1,1,1,2,81
Trang sức,53307,52,249,48,Ho Chi Minh,112000,16500,87,100,100,2,1,1,1,43
Trang sức,6848,46,1900,594,Ho Chi Minh,None,None,None,None,None,13,8,15,14,544
Trang sức,6587,56,3500,950,Ho Chi Minh,18000,17000,96,95,96,6,9,11,12,913
Trang sức,9320,59,133,31,Ho Chi Minh,27975,17000,96,95,96,1,0,0,1,29
Trang sức,5674,50,6700,1649,Ho Chi Minh,12900,17000,96,95,96,39,14,26,36,1534
Trang sức,9157,49,246,50,Nước ngoài,17999,17000,96,100,100,4,1,1,2,42
Trang suc,4850,49,85,21,Nước ngoài,9534,17000,96,100,83,0,0,0,21,
Trang sức,4162,48,1100,302,Ho Chi Minh,8000,Miễn Phí,98,99,94,9,4,2,7,281
Trang sức,7458,58,2000,406,Ho Chi Minh,17600,16500,97,89,100,6,1,9,17,373
Trang sức,5000,44,1200,222,Ho Chi Minh,9000,17000,95,99,62,12,4,6,13,187
Trang sức,10174,52,5400,838,Ho Chi Minh,21000,17000,95,100,100,35,18,28,37,720
Trang sức,12487,71,84,41,Ho Chi Minh,43000,17000,97,99,100,0,0,0,1,40
Trang sức,6000,40,3800,456,Ho Chi Minh,10000,17000,94,100,100,9,4,15,24,405
Trang suc,4000,43,109,13,Nước ngoài,7000,17000,95,99,62,0,1,2,0,10
Trang sức,6113,31,212,43,Ho Chi Minh,25419,17000,94,100,100,1,0,2,3,37
Trang sức,29000,71,3600,753,Ho Chi Minh,99000,16500,98,100,90,4,1,3,14,731
Trang sức,9000,59,5600,734,Ho Chi Minh,22000,17000,96,99,92,7,5,9,27,686
Trang sức,9900,48,243,41,Nước ngoài,19000,17000,95,93,100,2,1,3,0,35
Trang sức,11457,40,446,97,Ho Chi Minh,15851,17000,94,97,80,1,2,2,5,87
Trang sức,6000,33,457,77,Ho Chi Minh,12332,16500,96,100,100,1,1,1,4,71
Trang sức,10099,45,291,63,Ho Chi Minh,20350,17000,96,100,83,5,0,1,3,54
Trang sức,8295,51,1700,215,Ho Chi Minh,12000,17000,96,100,83,11,3,2,13,186
Trang sức,16000,47,1200,239,Ho Chi Minh,34000,17000,93,98,100,7,0,3,9,220
Trang sức,3586,53,395,80,Ho Chi Minh,7700,17000,98,99,100,0,2,2,3,73
Trang sức,8509,48,76,29,Ho Chi Minh,7700,17000,98,99,100,0,2,2,3,73
Trang sức,16000,43,1100,176,Nước ngoài,28000,17000,95,100,None,9,7,10,10,140
Trang sức,3977,20,789,217,Ho Chi Minh,12503,17000,94,100,100,1,5,4,7,203
Trang sức,11474,63,66,20,Ho Chi Minh,30700,17000,96,98,100,0,0,0,3,17
Trang sức,22587,50,6800,1346,Ha Noi,55000,32700,95,100,None,30,11,40,78,1187
Trang sức,17000,37,172,45,Nước ngoài,50000,Miễn Phí,96,99,100,0,0,2,1,42
Trang sức,10545,54,1100,187,Ho Chi Minh,22700,17000,97,98,100,2,1,6,4,174
Trang sức,7900,85,2400,517,Ho Chi Minh,53000,17000,96,95,96,7,4,7,15,484
Trang sức,8177,42,430,102,Ho Chi Minh,22573,17000,96,95,96,1,1,3,1,96
Trang sức,18810,24,2600,482,Ho Chi Minh,24750,17000,96,98,100,18,4,10,34,416
