Type,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
Trang sức,6.848 ₫,46% Off,1.9K Đã bán,(594),Hồ Chí Minh,22.906 ₫,17.000 ₫,96%,95%,96%,13,8,15,14,544
Trang sức,7.458 ₫,58% Off,2.0K Đã bán,(406),Hồ Chí Minh,17.600 ₫,16.500 ₫,97%,89%,100%,6,1,9,17,373
Trang sức,16.000 ₫,47% Off,1.2K Đã bán,(239),Hồ Chí Minh,34.000 ₫,17.000 ₫,93%,98%,100%,7,0,3,9,220
Trang sức,4.850 ₫,49% Off,82 Đã bán,(21),Hồ Chí Minh,9.534 ₫,17.000 ₫,96%,100%,83%,0,0,0,0,21
Trang sức,5.000 ₫,44% Off,1.2K Đã bán,(222),Hồ Chí Minh,9.000 ₫,17.000 ₫,95%,99%,62%,12,4,6,13,187
Trang sức,10.174 ₫,52% Off,5.4K Đã bán,(838),Hồ Chí Minh,21.000 ₫,17.000 ₫,95%,100%,100%,35,18,28,37,720
Trang sức,24.000 ₫,56% Off,3.0K Đã bán,(646),Hà Nội,55.000 ₫,32.700 ₫,95%,96%,100%,16,3,13,15,600
Trang sức,44.182 ₫,53% Off,1.1K Đã bán,(274),Nước ngoài,93.900 ₫,17.000 ₫,97%,94%,50%,2,1,2,2,268
Trang sức,11.457 ₫,40% Off,446 Đã bán,(97),Hồ Chí Minh,15.851 ₫,17.000 ₫,94%,97%,80%,1,2,2,5,87
Trang sức,31.844 ₫,64% Off,14 Đã bán,(4),Hồ Chí Minh,199.000 ₫,16.500 ₫,98%,100%,,1,0,0,0,3
Trang sức,69.569 ₫,55% Off,1.5K Đã bán,(363),Hồ Chí Minh,154.000 ₫,16.500 ₫,98%,100%,100%,2,0,2,4,355
Trang sức,25.456 ₫,31% Off,212 Đã bán,(49),Hồ Chí Minh,89.000 ₫,16.500 ₫,97%,99%,86%,1,0,0,0,48
Trang sức,149.000 ₫,45% Off,108 Đã bán,(24),Hà Nội,269.000 ₫,32.700 ₫,80%,93%,85%,2,2,0,0,20
Trang sức,30.000 ₫,,980 Đã bán,(209),Hồ Chí Minh,,16.500 ₫,98%,100%,,3,3,1,1,201
Trang sức,71.000 ₫,28% Off,237 Đã bán,(79),Hồ Chí Minh,99.000 ₫,16.500 ₫,97%,99%,86%,0,1,1,1,76
Trang sức,29.000 ₫,41% Off,5.3K Đã bán,(851),Hà Nội,49.000 ₫,32.700 ₫,99%,100%,,4,1,5,16,825
Trang sức,4.000 ₫,43% Off,109 Đã bán,(13),Nước ngoài,7.000 ₫,17.000 ₫,95%,99%,62%,0,1,2,0,10
Trang sức,9.500 ₫,47% Off,88 Đã bán,(15),Nước ngoài,18.000 ₫,17.000 ₫,94%,97%,100%,1,0,2,1,11
Trang sức,29.000 ₫,71% Off,3.6K Đã bán,(753),Hồ Chí Minh,99.000 ₫,16.500 ₫,98%,100%,90%,4,1,3,14,731
Trang sức,22.750 ₫,42% Off,659 Đã bán,(175),Hồ Chí Minh,39.000 ₫,16.500 ₫,97%,99%,86%,1,1,2,2,170
Trang sức,9.000 ₫,59% Off,5.6K Đã bán,(734),Hồ Chí Minh,22.000 ₫,17.000 ₫,96%,99%,92%,7,5,9,27,686
Trang sức,6.660 ₫,53% Off,64 Đã bán,(16),Hồ Chí Minh,14.300 ₫,17.000 ₫,97%,98%,100%,0,0,0,1,15
Trang sức,6.000 ₫,33% Off,456 Đã bán,(77),Hồ Chí Minh,12.332 ₫,16.500 ₫,96%,100%,100%,1,1,1,4,71
