Type,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
dien thoai,41.990.000 ₫,7% Off,11 Đã bán,,Hồ Chí Minh,44.990.000 ₫,20.100 ₫,99%,100%,75%,0,0,0,0,0
dien thoai,39.890.000 ₫,10% Off,,,Hà Nội,44.490.000 ₫,38.000 ₫,99%,100%,85%,0,0,0,0,0
dien thoai,37.590.001 ₫,16% Off,24 Đã bán,(2),Hồ Chí Minh,44.490.000 ₫,,90%,,100%,0,0,0,0,2
dien thoai,36.990.000 ₫,,,,Hồ Chí Minh,,16.500 ₫,98%,82%,100%,0,0,0,0,0
dien thoai,32.126.000 ₫,,28 Đã bán,(1),Hồ Chí Minh,38.470.000 ₫,18.300 ₫,98%,100%,100%,0,0,0,0,1
dien thoai,31.990.000 ₫,6% Off,1.3K Đã bán,(305),Hồ Chí Minh,33.990.000 ₫,16.500 ₫,91%,99%,100%,2,0,1,0,302
dien thoai,31.590.000 ₫,16% Off,21 Đã bán,(2),Hồ Chí Minh,37.490.000 ₫,,90%,,100%,0,0,0,0,3
dien thoai,30.090.000 ₫,15% Off,82 Đã bán,(10),Hà Nội,35.990.000 ₫,38.000 ₫,99%,100%,85%,0,0,0,0,10
dien thoai,29.517.000 ₫,11% Off,6 Đã bán,,Hồ Chí Minh,32.990.000 ₫,18.300 ₫,99%,100%,100%,0,0,0,0,0
dien thoai,29.590.000 ₫,15% Off,11.2K Đã bán,(2631),Hồ Chí Minh,34.999.000 ₫,5.500 ₫,94%,98%,100%,30,3,8,9,2578
dien thoai,28.990.000 ₫,12% Off,,,Hà Nội,32.990.000 ₫,38.000 ₫,98%,100%,90%,0,0,0,0,0
dien thoai,28.890.000 ₫,11% Off,7 Đã bán,(1),Hà Nội,32.490.000 ₫,38.000 ₫,99%,100%,85%,0,0,0,0,1
dien thoai,28.090.000 ₫,17% Off,13 Đã bán,,Hồ Chí Minh,33.990.000 ₫,,90%,,100%,0,0,0,0,0
dien thoai,27.989.000 ₫,8% Off,123 Đã bán,(26),Hồ Chí Minh,30.490.000 ₫,16.500 ₫,91%,99%,100%,0,0,0,1,25
dien thoai,27.030.000 ₫,,15 Đã bán,(1),Hồ Chí Minh,,18.300 ₫,98%,100%,100%,0,0,0,0,1
dien thoai,25.890.000 ₫,13% Off,,,Hà Nội,29.790.000 ₫,38.000 ₫,99%,100%,85%,0,0,0,0,0
dien thoai,25.682.000 ₫,,7 Đã bán,(1),Hồ Chí Minh,25.782.000 ₫,19.600 ₫,98%,100%,100%,0,0,0,0,1
dien thoai,25.590.000 ₫,13% Off,16 Đã bán,,Hà Nội,29.490.000 ₫,38.000 ₫,99%,100%,85%,0,0,0,0,0
dien thoai,24.898.000 ₫,27% Off,6 Đã bán,,Hồ Chí Minh,33.990.000 ₫,18.300 ₫,99%,99%,95%,0,0,0,0,0
dien thoai,24.880.000 ₫,22% Off,,,Hà Nội,31.990.000 ₫,,94%,,87%,0,0,0,0,0
dien thoai,24.430.000 ₫,,,,Hồ Chí Minh,,18.300 ₫,98%,100%,100%,0,0,0,0,0
dien thoai,24.140.000 ₫,29% Off,,,Hồ Chí Minh,33.990.000 ₫,16.500 ₫,98%,82%,100%,0,0,0,0,0
dien thoai,23.590.000 ₫,11% Off,14 Đã bán,(1),Hồ Chí Minh,26.490.000 ₫,,90%,,100%,1,0,0,0,0
dien thoai,22.990.000 ₫,,5 Đã bán,,Hồ Chí Minh,,19.600 ₫,99%,100%,75%,0,0,0,0,0
dien thoai,22.890.000 ₫,15% Off,7 Đã bán,,Hà Nội,26.790.000 ₫,38.000 ₫,99%,100%,85%,0,0,0,0,0
dien thoai,21.989.000 ₫,27% Off,2.4K Đã bán,(474),Hồ Chí Minh,29.990.000 ₫,16.500 ₫,91%,99%,100%,16,4,3,12,440
dien thoai,21.390.000 ₫,7% Off,,,Hồ Chí Minh,22.900.000 ₫,18.300 ₫,99%,99%,95%,0,0,0,0,0
dien thoai,21.310.000 ₫,18% Off,,,Hà Nội,25.990.000 ₫,,94%,,87%,0,0,0,0,0
dien thoai,21.310.000 ₫,,,,Hồ Chí Minh,,18.300 ₫,98%,100%,100%,0,0,0,0,0
dien thoai,20.989.000 ₫,9% Off,114 Đã bán,(29),Hồ Chí Minh,22.990.000 ₫,16.500 ₫,91%,99%,100%,1,1,4,1,22
dien thoai,20.691.000 ₫,10% Off,,,Hà Nội,22.990.000 ₫,,92%,,33%,0,0,0,0,0
dien thoai,20.090.000 ₫,13% Off,,(1),Hồ Chí Minh,22.990.000 ₫,,90%,,100%,0,0,0,0,1
dien thoai,20.090.000 ₫,14% Off,14 Đã bán,(2),Hà Nội,23.790.000 ₫,38.000 ₫,99%,100%,85%,0,0,0,0,2
dien thoai,19.640.000 ₫,15% Off,10 Đã bán,(4),Hồ Chí Minh,22.990.000 ₫,18.300 ₫,99%,100%,100%,0,0,0,0,4
dien thoai,19.390.000 ₫,31% Off,361 Đã bán,(51),Hồ Chí Minh,27.990.000 ₫,5.500 ₫,94%,98%,100%,1,0,0,0,50
dien thoai,19.190.000 ₫,17% Off,1.0K Đã bán,(236),Hồ Chí Minh,25.990.000 ₫,5.500 ₫,94%,98%,100%,2,0,1,0,231
dien thoai,18.190.000 ₫,,24 Đã bán,,Hồ Chí Minh,,19.600 ₫,98%,100%,100%,0,0,0,0,0
dien thoai,17.489.000 ₫,42% Off,75 Đã bán,(12),Hồ Chí Minh,29.990.000 ₫,20.100 ₫,91%,99%,100%,0,0,0,0,13
dien thoai,16.769.000 ₫,35% Off,,,Hồ Chí Minh,25.990.000 ₫,18.300 ₫,98%,82%,100%,0,0,0,0,0
dien thoai,16.490.000 ₫,34% Off,957 Đã bán,(123),Hồ Chí Minh,24.990.000 ₫,5.500 ₫,94%,98%,100%,0,0,2,2,119
dien thoai,41.990.000 ₫,7% Off,11 Đã bán,,Hồ Chí Minh,44.990.000 ₫,20.100 ₫,99%,100%,75%,0,0,0,0,0
dien thoai,37.590.001 ₫,16% Off,24 Đã bán,(2),Hồ Chí Minh,44.490.000 ₫,,90%,,100%,0,0,0,0,2
dien thoai,31.989.000 ₫,6% Off,1.3K Đã bán,(305),Hồ Chí Minh,33.990.000 ₫,16.500 ₫,91%,99%,100%,2,0,1,0,302
dien thoai,31.990.000 ₫,9% Off,700 Đã bán,(145),Bắc Ninh,34.990.000 ₫,5.500 ₫,94%,98%,100%,1,0,1,0,143
dien thoai,31.590.000 ₫,16% Off,21 Đã bán,(2),Hồ Chí Minh,37.490.000 ₫,,90%,,100%,0,0,0,0,3
dien thoai,30.170.000 ₫,25% Off,538 Đã bán,(168),Hồ Chí Minh,39.990.000 ₫,19.600 ₫,97%,68%,100%,1,1,1,1,164
dien thoai,29.517.000 ₫,11% Off,6 Đã bán,,Hồ Chí Minh,32.990.000 ₫,18.300 ₫,99%,100%,100%,0,0,0,0,0
dien thoai,29.590.000 ₫,15% Off,11.2K Đã bán,(2636),Hồ Chí Minh,34.999.000 ₫,5.500 ₫,94%,98%,100%,30,3,8,9,2586
dien thoai,28.990.000 ₫,12% Off,,,Hà Nội,32.990.000 ₫,38.000 ₫,98%,100%,90%,0,0,0,0,0
dien thoai,28.090.000 ₫,17% Off,13 Đã bán,,Hồ Chí Minh,33.990.000 ₫,,90%,,100%,0,0,0,0,0
dien thoai,27.989.000 ₫,8% Off,123 Đã bán,(26),Hồ Chí Minh,30.490.000 ₫,16.500 ₫,91%,99%,100%,0,0,0,1,25
dien thoai,24.898.000 ₫,27% Off,6 Đã bán,,Hồ Chí Minh,33.990.000 ₫,18.300 ₫,99%,99%,95%,0,0,0,0,0
dien thoai,24.880.000 ₫,22% Off,,,Hà Nội,31.990.000 ₫,,94%,,87%,0,0,0,0,0
dien thoai,24.290.100 ₫,10% Off,,,Hà Nội,29.990.000 ₫,,94%,,87%,0,0,0,0,0
dien thoai,24.140.000 ₫,29% Off,,,Hồ Chí Minh,33.990.000 ₫,16.500 ₫,98%,82%,100%,0,0,0,0,0
dien thoai,23.590.000 ₫,11% Off,14 Đã bán,(1),Hồ Chí Minh,26.490.000 ₫,,90%,,100%,1,0,0,0,0
dien thoai,23.290.000 ₫,31% Off,7 Đã bán,(3),Hồ Chí Minh,44.490.000 ₫,Miễn phí,98%,100%,90%,0,0,0,1,2
dien thoai,22.990.000 ₫,,5 Đã bán,,Hồ Chí Minh,,19.600 ₫,99%,100%,75%,0,0,0,0,0
dien thoai,21.989.000 ₫,27% Off,2.4K Đã bán,(474),Hồ Chí Minh,29.990.000 ₫,16.500 ₫,91%,99%,100%,16,4,3,12,440
dien thoai,21.390.000 ₫,7% Off,,,Hồ Chí Minh,22.900.000 ₫,18.300 ₫,99%,99%,95%,0,0,0,0,0
dien thoai,21.310.000 ₫,18% Off,,,Hà Nội,25.990.000 ₫,,94%,,87%,0,0,0,0,0
dien thoai,20.989.000 ₫,9% Off,114 Đã bán,(29),Hồ Chí Minh,22.990.000 ₫,16.500 ₫,91%,99%,100%,1,1,4,1,22
dien thoai,20.691.000 ₫,10% Off,,,Hà Nội,22.990.000 ₫,,92%,,33%,0,0,0,0,0
dien thoai,20.090.000 ₫,13% Off,,(1),Hồ Chí Minh,22.990.000 ₫,,90%,,100%,0,0,0,0,1
dien thoai,19.930.000 ₫,20% Off,103 Đã bán,(22),Hồ Chí Minh,24.990.000 ₫,19.600 ₫,97%,68%,100%,1,0,0,0,21
dien thoai,19.640.000 ₫,15% Off,10 Đã bán,(4),Hồ Chí Minh,22.990.000 ₫,18.300 ₫,99%,100%,100%,0,0,0,0,4
dien thoai,19.190.000 ₫,17% Off,1.0K Đã bán,(236),Hồ Chí Minh,22.990.000 ₫,5.500 ₫,94%,98%,100%,2,0,1,0,234
dien thoai,18.990.000 ₫,42% Off,8 Đã bán,(3),Hồ Chí Minh,32.990.000 ₫,18.300 ₫,99%,100%,75%,0,0,0,0,2
dien thoai,16.800.000 ₫,,,,Nam Định,,202.600 ₫,,,,0,0,0,0,0
dien thoai,16.769.000 ₫,35% Off,,,Hồ Chí Minh,25.990.000 ₫,18.300 ₫,98%,82%,100%,0,0,0,0,0
dien thoai,15.382.000 ₫,,26 Đã bán,,Hồ Chí Minh,,18.300 ₫,98%,100%,100%,0,0,0,0,0
dien thoai,14.390.000 ₫,20% Off,303 Đã bán,(70),Hà Nội,17.990.000 ₫,38.000 ₫,99%,100%,85%,0,0,1,3,66
dien thoai,14.089.000 ₫,17% Off,67 Đã bán,(6),Hồ Chí Minh,16.900.000 ₫,18.300 ₫,97%,100%,100%,0,0,0,0,6
dien thoai,13.990.000 ₫,26% Off,32 Đã bán,(2),Hồ Chí Minh,18.990.000 ₫,18.300 ₫,99%,100%,75%,0,0,0,0,2
dien thoai,12.998.500 ₫,23% Off,16 Đã bán,(2),Hồ Chí Minh,16.890.500 ₫,,90%,,100%,0,0,0,1,2
dien thoai,12.200.000 ₫,18% Off,,(1),Hà Nội,14.900.000 ₫,,94%,,87%,0,0,0,0,1
dien thoai,11.989.000 ₫,19% Off,86 Đã bán,(16),Hồ Chí Minh,14.890.000 ₫,16.500 ₫,91%,99%,100%,1,0,0,0,15
dien thoai,11.680.000 ₫,10% Off,35 Đã bán,(8),Hồ Chí Minh,12.990.000 ₫,18.300 ₫,98%,100%,90%,0,0,0,0,9
dien thoai,11.617.600 ₫,22% Off,33 Đã bán,(2),Hồ Chí Minh,14.889.600 ₫,,90%,,100%,0,0,0,0,3
