Type,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
giày dép,174 ₫,,494 Đã bán,,Nước ngoài,,,,,,0.0,0.0,0.0,0.0,0.0
giày dép,371 ₫,40% Off,319 Đã bán,,Nước ngoài,618 ₫,17.000 ₫,,,,0.0,0.0,0.0,0.0,0.0
giày dép,32.000 ₫,54% Off,83 Đã bán,(20),Hồ Chí Minh,69.000 ₫,16.500 ₫,93%,92%,100%,0.0,0.0,1.0,0.0,19.0
giày dép,12.000 ₫,73% Off,640 Đã bán,(173),Nước ngoài,45.000 ₫,,90%,,100%,4.0,2.0,3.0,5.0,159.0
giày dép,383 ₫,40% Off,250 Đã bán,,Nước ngoài,638 ₫,17.000 ₫,,,,0.0,0.0,0.0,0.0,0.0
giày dép,31.000 ₫,53% Off,2.7K Đã bán,(688),Hồ Chí Minh,66.000 ₫,16.500 ₫,94%,95%,92%,13.0,8.0,17.0,24.0,626.0
giày dép,110.000 ₫,65% Off,433 Đã bán,(120),Nước ngoài,315.000 ₫,17.000 ₫,95%,93%,99%,0.0,0.0,1.0,4.0,115.0
giày dép,174 ₫,40% Off,8 Đã bán,,Nước ngoài,290 ₫,17.000 ₫,,,,0.0,0.0,0.0,0.0,0.0
giày dép,208.662 ₫,46% Off,885 Đã bán,(127),Hồ Chí Minh,389.000 ₫,18.300 ₫,99%,99%,50%,2.0,0.0,0.0,2.0,123.0
giày dép,45.000 ₫,50% Off,34 Đã bán,(10),Nam Định,90.000 ₫,37.700 ₫,94%,100%,50%,0.0,0.0,0.0,0.0,10.0
giày dép,79.000 ₫,,1.9K Đã bán,(645),Nước ngoài,,17.000 ₫,96%,95%,100%,7.0,3.0,11.0,12.0,612.0
giày dép,1.364.400 ₫,28% Off,1.9K Đã bán,(495),Đồng Nai,1.895.000 ₫,44.100 ₫,98%,99%,97%,2.0,0.0,1.0,1.0,492.0
giày dép,66.000 ₫,69% Off,4.2K Đã bán,(1383),Nước ngoài,215.000 ₫,,100%,,100%,20.0,8.0,27.0,43.0,1285.0
giày dép,29.000 ₫,28% Off,188 Đã bán,(62),Nước ngoài,40.000 ₫,,96%,,100%,6.0,2.0,2.0,2.0,50.0
giày dép,19.266 ₫,56% Off,436 Đã bán,(108),Nước ngoài,44.000 ₫,,95%,,100%,2.0,3.0,2.0,7.0,95.0
giày dép,88.000 ₫,45% Off,46 Đã bán,(18),Nước ngoài,160.000 ₫,,98%,,100%,0.0,0.0,0.0,0.0,18.0
giày dép,79.000 ₫,57% Off,894 Đã bán,(339),Nước ngoài,184.000 ₫,,98%,,100%,8.0,4.0,4.0,10.0,313.0
giày dép,33.000 ₫,78% Off,1.5K Đã bán,(465),Hà Nội,150.000 ₫,38.000 ₫,97%,88%,,4.0,1.0,5.0,22.0,434.0
giày dép,59.000 ₫,46% Off,5.3K Đã bán,(1226),Hà Nội,110.000 ₫,32.700 ₫,96%,88%,,24.0,10.0,15.0,57.0,1120.0
giày dép,59.000 ₫,54% Off,329 Đã bán,(112),Hồ Chí Minh,129.000 ₫,18.300 ₫,98%,85%,87%,3.0,0.0,3.0,4.0,102.0
