Type,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
dien thoai,41990000,7,11,None,Ho Chi Minh,44990000,20100,99,100,75,0,0,0,0,0
dien thoai,39890000,10,None,None,Ha Noi,44490000,38000,99,100,85,0,0,0,0,0
dien thoai,37590001,16,24,2,Ho Chi Minh,44490000,None,90,None,100,0,0,0,0,2
dien thoai,36990000,None,None,None,Ho Chi Minh,None,16500,98,82,100,0,0,0,0,0
dien thoai,32126000,NaN,28,1,Ho Chi Minh,38470000,18300,98,100,100,0,0,0,0,1
dien thoai,31990000,6,1300,305,Ho Chi Minh,33990000,16500,91,99,100,2,0,1,0,302
dien thoai,31590000,16,21,2,Ho Chi Minh,37490000,None,90,None,100,0,0,0,0,3
dien thoai,30090000,15,82,10,Ha Noi,35990000,38000,99,100,85,0,0,0,0,10
dien thoai,29517000,11,6,None,Ho Chi Minh,32990000,18300,99,100,100,0,0,0,0,0
dien thoai,29590000,15,11200,2631,Ho Chi Minh,34999000,5500,94,98,100,30,3,8,9,2578
dien thoai,28990000,12,None,None,Ha Noi,32990000,38000,98,100,90,0,0,0,0,0
dien thoai,28890000,11,7,1,Ha Noi,32490000,38000,99,100,85,0,0,0,0,1
dien thoai,28090000,17,13,None,Ho Chi Minh,33990000,None,90,None,100,0,0,0,0,0
dien thoai,27989000,8,123,26,Ho Chi Minh,30490000,16500,91,99,100,0,0,0,1,25
dien thoai,27030000,None,15,1,Ho Chi Minh,None,18300,98,100,100,0,0,0,0,1
dien thoai,25890000,13,None,None,Ha Noi,29790000,38000,99,100,85,0,0,0,0,0
dien thoai,25682000,NaN,7,1,Ho Chi Minh,25782000,19600,98,100,100,0,0,0,0,1
dien thoai,25590000,13,16,None,Ha Noi,29490000,38000,99,100,85,0,0,0,0,0
dien thoai,24898000,27,6,None,Ho Chi Minh,33990000,18300,99,99,95,0,0,0,0,0
dien thoai,24880000,22,None,None,Ha Noi,31990000,None,94,None,87,0,0,0,0,0
dien thoai,24430000,None,None,None,Ho Chi Minh,None,18300,98,100,100,0,0,0,0,0
dien thoai,24140000,29,None,None,Ho Chi Minh,33990000,16500,98,82,100,0,0,0,0,0
dien thoai,23590000,11,14,1,Ho Chi Minh,26490000,None,90,None,100,1,0,0,0,0
dien thoai,22990000,None,5,None,Ho Chi Minh,None,19600,99,100,75,0,0,0,0,0
dien thoai,22890000,15,7,None,Ha Noi,26790000,38000,99,100,85,0,0,0,0,0
dien thoai,21989000,27,2400,474,Ho Chi Minh,29990000,16500,91,99,100,16,4,3,12,440
dien thoai,21390000,7,None,None,Ho Chi Minh,22900000,18300,99,99,95,0,0,0,0,0
dien thoai,21310000,18,None,None,Ha Noi,25990000,None,94,None,87,0,0,0,0,0
dien thoai,21310000,None,None,None,Ho Chi Minh,None,18300,98,100,100,0,0,0,0,0
dien thoai,20989000,9,114,29,Ho Chi Minh,22990000,16500,91,99,100,1,1,4,1,22
dien thoai,20691000,10,None,None,Ha Noi,22990000,None,92,None,33,0,0,0,0,0
dien thoai,20090000,13,None,1,Ho Chi Minh,22990000,None,90,None,100,0,0,0,0,1
dien thoai,20090000,14,14,2,Ha Noi,23790000,38000,99,100,85,0,0,0,0,2
dien thoai,19640000,15,10,4,Ho Chi Minh,22990000,18300,99,100,100,0,0,0,0,4
dien thoai,19390000,31,361,51,Ho Chi Minh,27990000,5500,94,98,100,1,0,0,0,50
dien thoai,19190000,17,1000,236,Ho Chi Minh,25990000,5500,94,98,100,2,0,1,0,231
dien thoai,18190000,None,24,None,Ho Chi Minh,None,19600,98,100,100,0,0,0,0,0
dien thoai,17489000,42,75,12,Ho Chi Minh,29990000,20100,91,99,100,0,0,0,0,13
dien thoai,16769000,35,None,None,Ho Chi Minh,25990000,18300,98,82,100,0,0,0,0,0
dien thoai,16490000,34,957,123,Ho Chi Minh,24990000,5500,94,98,100,0,0,2,2,119
dien thoai,41990000,7,11,None,Ho Chi Minh,44990000,20100,99,100,75,0,0,0,0,0
dien thoai,37590001,16,24,2,Ho Chi Minh,44490000,None,90,None,100,0,0,0,0,2
dien thoai,31989000,6,1300,305,Ho Chi Minh,33990000,16500,91,99,100,2,0,1,0,302
dien thoai,31990000,9,700,145,Bac Ninh,34990000,5500,94,98,100,1,0,1,0,143
