Type,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
tivi,64690000,6,None,None,Ho Chi Minh,68790000,None,100,None,100,0,0,0,0,0
tivi,5389000,46,130,6,Ha Noi,9890000,None,100,None,100,0,0,0,0,6
tivi,920486,3,77,26,Ha Noi,950000,115100,91,95,92,0,0,0,2,24
tivi,3989000,50,None,None,Ha Noi,7990000,None,None,None,100,0,0,0,0,0
tivi,4689000,41,16,None,Ha Noi,7900000,None,100,None,100,0,0,0,0,1
tivi,2490000,None,None,None,Thái Bình,None,141300,None,None,100,0,0,0,0,0
tivi,3565542,4,31,15,Ha Noi,3700000,206800,91,95,92,1,0,1,0,14
tivi,4689000,48,9,None,Ha Noi,9090000,None,100,None,100,0,0,0,0,0
tivi,3003074,2,21,17,Ha Noi,3070000,198200,91,95,92,1,0,1,1,14
tivi,950000,None,None,None,Ha Noi,None,198200,86,97,66,0,0,0,0,0
tivi,11589000,27,85,24,Ho Chi Minh,15900000,146000,None,100,100,0,0,1,0,23
tivi,99000,None,908,220,Ho Chi Minh,None,18300,94,100,None,3,3,2,8,205
tivi,8589000,33,1000,234,Ho Chi Minh,12900000,159200,None,100,100,1,0,0,1,232
tivi,230000,None,72,26,Ho Chi Minh,None,16500,99,100,36,0,0,0,0,26
tivi,8189000,28,102,24,Ho Chi Minh,11400000,131600,None,100,100,0,0,0,1,24
tivi,11589000,27,317,63,Ho Chi Minh,15900000,258200,None,100,100,1,0,0,2,60
tivi,5740000,48,2200,919,Ho Chi Minh,10990000,46000,97,93,100,5,0,1,17,896
tivi,9900000,44,5,None,Ho Chi Minh,17800000,238400,85,50,100,0,0,0,0,0
tivi,33890000,11,83,27,Binh Duong,38290000,None,96,100,99,0,0,0,0,27
tivi,250000,None,165,57,Ha Noi,None,32700,96,100,100,0,2,1,2,52
