Type,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
laptop,17990000,38,3000,666,Ho Chi Minh,28990000,10200,94,98,100,28,5,10,17,606
laptop,7223999,52,51,5,Hai Phong,13899999,None,100,100,80,0,0,0,0,5
laptop,39000,17,312,67,Ho Chi Minh,47000,17000,96,98,90,11,1,3,5,47
laptop,7254959,45,16,3,Hai Phong,13199999,100,100,80,0,0,0,0,3,
laptop,4390000,20,126,29,Hà Nội,5900000,98,100,100,0,0,1,0,28,
laptop,3200000,50,None,None,Hanoi,6400000,100,None,None,None,0,0,0,0,0
laptop,1798761,10,18,6,Ha Noi,4290000,84600,94,100,76,0,0,0,0,6
laptop,6519809,8,294,118,Ho Chi Minh,8999999,100,96,100,None,1,0,2,0,115
laptop,6614299,27,91,49,Ho Chi Minh,8999999,100,96,100,None,1,0,0,2,46
laptop,1000000,None,81,28,Hà Nội,None,198200,94,20,83,2,1,1,3,21
laptop,1200000,None,25,10,Tien Giang,None,32200,87,37,100,0,0,0,1,9
laptop,4173000,11,154,49,Hung Yen,6459000,56800,97,100,100,0,0,1,3,46
laptop,1300000,28,82,41,Hà Nội,None,744000,92,66,85,0,0,0,6,35
laptop,2668000,8,33,18,Nghệ An,2898000,56800,94,91,92,0,2,0,2,15
laptop,3248000,10,64,28,Nghệ An,3598000,56800,94,91,92,0,0,0,0,28
laptop,3258000,19,73,32,Nghệ An,3998000,56800,94,91,92,0,0,1,0,31
laptop,1200000,48,24,11,Ho Chi Minh,2300000,100,91,100,100,0,1,0,1,9
laptop,269233,7,2200,789,Ho Chi Minh,199000,16500,99,100,100,3,1,2,12,771
laptop,10490000,19,351,108,Ho Chi Minh,12990000,21200,98,75,66,3,0,0,1,104
laptop,1799000,None,117,35,Dong Nai,None,65500,96,50,100,0,0,0,1,35
laptop,27590000,16,147,3,Bac Ninh,32990000,10200,94,98,100,0,0,0,0,4
laptop,2455000,None,14,2,Hà Nội,None,38000,79,86,95,0,0,1,0,1
laptop,27290000,3,7,None,Ho Chi Minh,32999000,9700,94,98,100,0,0,0,0,0
laptop,1239000,38,22,10,Ho Chi Minh,2200000,100,91,100,100,0,0,0,0,10
laptop,14699000,30,38,12,Ho Chi Minh,21000000,23800,100,100,100,0,0,0,0,12
laptop,3500000,None,15,3,Ho Chi Minh,None,20100,88,100,None,0,0,0,0,3
laptop,4804919,44,97,23,Hai Phong,8599999,51100,88,100,100,3,0,1,0,20
laptop,6500000,27,None,1,Ho Chi Minh,11900000,100,96,100,100,0,0,0,0,2
laptop,7689000,None,40,7,Hung Yen,None,37700,100,98,100,0,0,0,0,7
laptop,902899,25,11,2,Hung Yen,1499999,70000,86,100,88,1,0,0,0,2
laptop,3390000,15,None,3,Hanoi,4000000,52400,91,85,100,0,0,0,0,3
laptop,55188000,None,48,None,Ho Chi Minh,None,Mien phi,82,None,100,0,0,0,0,0
laptop,1089839,16,None,3,Hung Yen,1399999,80200,86,100,88,0,0,0,0,3
laptop,4560080,21,28,15,Hà Nội,6500000,84600,94,100,76,0,2,0,1,12
laptop,4799999,40,117,33,Hai Phong,7939999,100,95,99,100,1,0,0,0,32
laptop,2833699,19,50,4,Ha Noi,6500000,98,100,100,0,0,0,0,4,
laptop,2550000,20,33,9,Ha Noi,3200000,52400,91,85,100,0,0,0,0,9
laptop,7250089,19,129,35,Ho Chi Minh,8999999,100,95,100,83,1,0,0,0,34
laptop,4351599,48,25,5,Hai Phong,8299999,100,100,80,0,0,0,0,5,
laptop,21600000,8,nan,1,Ho Chi Minh,23590000,100,94,81,100,0,0,0,0,1
laptop,864999,28,None,None,Hung Yen,None,None,None,None,1,0,0,0,1,
laptop,400000,None,None,None,Tien Giang,None,40300,87,37,100,0,0,0,0,2
laptop,3800000,46,None,None,Ho Chi Minh,7000000,16500,96,80,94,0,0,0,1,0
laptop,2300000,8,nan,nan,Ha Noi,3000000,104900,92,66,85,0,0,0,0,1
laptop,1300000,None,None,None,Hanoi,None,104900,92,66,85,0,0,0,0,8
laptop,2500000,None,None,None,Hanoi,None,104900,92,66,85,0,0,2,1,43
laptop,2750000,31,nan,nan,Ho Chi Minh,4000000,16500,96,80,94,0,0,0,0,0
laptop,1600000,None,None,None,Nghệ An,None,56800,95,100,None,6,1,2,9,115
laptop,2550000,49,None,None,Thai Binh,5000000,80200,95,100,None,2,0,0,2,46
laptop,3240000,None,None,None,Hanoi,None,100,98,100,100,0,0,0,0,0
laptop,465000,6,nan,nan,Ho Chi Minh,199000,16500,99,100,100,3,1,2,12,771
laptop,6000000,None,None,None,Nam Dinh,None,56800,99,100,100,0,0,0,0,42
laptop,1799000,None,None,None,Dong Nai,None,65500,96,50,100,0,0,0,1,12
laptop,4000000,50,nan,nan,Ho Chi Minh,8598000,10200,91,100,80,0,0,0,0,1
laptop,3200000,33,nan,nan,Ho Chi Minh,4800000,23800,96,100,100,0,0,0,0,1
laptop,9999000,26,None,None,Ho Chi Minh,4800000,23800,96,100,100,0,0,0,0,1
laptop,12000000,None,None,None,Thai Nguyen,None,43900,None,None,None,0,0,0,0,0
laptop,6851459,24,None,None,Ho Chi Minh,9999999,100,97,None,100,0,0,0,0,27
laptop,2700000,36,nan,nan,Ho Chi Minh,4200000,20100,88,100,nan,0,0,0,0,1
laptop,6950000,None,None,None,Ho Chi Minh,None,Miễn phí,96,100,93,0,0,0,0,0
laptop,6414925,52,nan,nan,Ho Chi Minh,12999999,97,81,100,1,0,0,0,18,
laptop,4600000,None,None,None,Hung Yen,None,70000,91,65,100,0,0,0,0,1
laptop,240000,nan,nan,nan,Ho Chi Minh,12999999,100,97,81,100,1,0,0,0,18
laptop,12870000,20,nan,nan,Hà Nội,15990000,74400,98,100,92,0,0,0,0,2
laptop,21799000,13,nan,nan,Ho Chi Minh,25000000,23800,93,100,nan,0,0,0,0,0
laptop,8275139,36,nan,nan,Ho Chi Minh,13999999,97,81,100,0,0,0,0,4,
laptop,11200000,44,None,None,Ho Chi Minh,20000000,1200,99,75,100,0,0,0,0,0
laptop,6047091,45,None,None,Hanoi,11000000,38000,94,100,76,0,0,0,0,5
laptop,2789000,20,nan,nan,Quang Tri,4199000,70000,97,nan,nan,0,0,0,4,62
laptop,7850000,43,None,None,Ho Chi Minh,13800000,27300,96,100,None,0,0,0,0,4
laptop,14590000,23,None,None,Ho Chi Minh,18990000,10200,97,98,85,0,0,0,0,0
laptop,16290000,4,nan,nan,Ho Chi Minh,16990000,nan,96,nan,83,0,0,0,0,1
laptop,19100000,9,nan,nan,Ho Chi Minh,20990000,100,94,86,100,0,0,0,0,0
laptop,10290000,21,None,None,Ho Chi Minh,12990000,10200,97,98,85,0,0,0,0,0
laptop,15000000,12,nan,nan,Ho Chi Minh,16990000,100,94,86,100,0,0,0,0,0
laptop,35990000,None,None,None,Ho Chi Minh,None,27300,None,None,None,0,0,0,0,0
laptop,20143200,25,nan,nan,Ho Chi Minh,44899000,100,97,100,100,0,0,0,0,0
laptop,5900000,31,nan,nan,Thanh Hoa,8500000,56800,96,100,75,0,0,0,0,0
laptop,20950000,7,nan,nan,Ho Chi Minh,22590000,100,94,86,100,0,0,0,0,0
laptop,5800000,None,None,None,Hanoi,None,100,98,100,100,0,0,0,0,0
laptop,17990000,38,3000,666,Bac Ninh,28990000,10200,94,98,100,28,5,10,17,606
laptop,14900000,None,None,None,Ho Chi Minh,None,27300,None,None,None,0,0,0,0,0
laptop,3200000,50,None,None,Hanoi,6400000,100,None,None,None,0,0,0,0,0
laptop,10490000,19,351,108,Ho Chi Minh,12990000,21200,98,77,66,3,0,0,1,104
laptop,7254959,45,16,3,Hai Phong,13199999,100,100,80,0,0,0,0,3,
laptop,2550000,20,33,9,Ha Noi,3200000,52400,91,75,100,0,0,0,0,9
laptop,7223999,52,51,5,Hai Phong,13899999,None,100,100,80,0,0,0,0,5
laptop,4351599,48,25,5,Hai Phong,8299999,100,100,80,0,0,0,0,5,
laptop,902899,25,11,2,Hung Yen,1499999,70000,86,100,88,1,0,0,0,2
laptop,4804919,44,97,23,Hai Phong,8599999,51100,88,100,100,3,0,1,0,20
laptop,8600000,33,nan,nan,Ho Chi Minh,12800000,100,96,100,100,0,0,0,0,0
laptop,499000,64,131,22,Nước ngoài,1400916,17000,96,98,100,0,0,0,0,22
laptop,1300000,28,83,41,Hà Nội,None,744000,92,50,85,0,0,0,6,35
laptop,3248000,10,64,28,Nghệ An,3598000,56800,94,92,92,0,0,0,0,28
laptop,3258000,19,73,32,Nghệ An,3998000,56800,94,92,92,0,0,1,0,31
laptop,1200000,48,24,11,Ho Chi Minh,2300000,100,91,100,100,0,1,0,1,9
laptop,6000000,None,136,42,Nam Dinh,None,56800,99,100,100,0,0,0,0,42
laptop,27590000,16,147,3,Bac Ninh,32990000,10200,94,98,100,0,0,0,0,4
laptop,27290000,3,10,None,Ho Chi Minh,32999000,9700,94,98,100,0,0,0,0,0
laptop,383775,50,193,171,Nước ngoài,772800,None,99,None,100,2,0,1,2,166
laptop,690000,12,1500,430,Ho Chi Minh,1670000,18300,98,100,100,11,0,7,3,409
laptop,619000,65,988,317,Nước ngoài,1750000,17000,96,98,100,2,4,5,12,294
laptop,3111000,49,None,None,Hanoi,6100000,100,None,None,None,0,0,0,0,0
laptop,12000000,None,None,None,Thai Nguyen,None,43900,None,None,None,0,0,0,0,0
laptop,8000000,32,74,7,Ha Noi,11800000,84600,98,100,100,0,0,0,0,7
laptop,1089839,16,None,3,Hung Yen,1399999,80200,86,100,88,0,0,0,0,3
laptop,19800000,None,None,None,Ho Chi Minh,None,74700,92,20,90,0,0,0,0,0
laptop,46490000,None,38,None,Ho Chi Minh,None,None,96,None,83,0,0,0,0,0
laptop,14790000,22,None,None,Ho Chi Minh,18990000,21200,97,99,88,0,0,0,0,0
laptop,8890000,29,None,None,Ho Chi Minh,12490000,20100,97,99,88,0,0,0,0,0
laptop,25290000,None,5,None,Ho Chi Minh,None,None,96,None,83,0,0,0,0,0
laptop,26000000,10,8,None,Ho Chi Minh,28790000,100,94,86,100,0,0,0,0,0
laptop,7850000,43,8,4,Ho Chi Minh,13800000,27300,96,100,,0,0,0,0,4
laptop,1700000,None,None,None,Hung Yen,None,70000,91,65,100,0,0,0,0,0
laptop,14590000,23,None,None,Ho Chi Minh,18990000,10200,97,98,85,0,0,0,0,0
laptop,2622600,42,89,36,Ho Chi Minh,4100000,16500,96,80,94,1,1,1,5,28
laptop,7131799,52,21,4,Hai Phong,16099999,100,100,80,0,0,0,0,5,
laptop,3400000,None,14,None,Quang Tri,None,37700,97,None,None,0,0,0,0,0
laptop,8269999,44,None,None,Hai Phong,15399999,100,100,80,0,0,0,0,0,
laptop,4200000,28,5,3,Ho Chi Minh,5800000,16500,96,80,94,0,0,0,0,4
laptop,39000,17,312,67,Ho Chi Minh,None,None,None,None,None,11,1,3,5,47
laptop,6626250,53,158,51,Hai Phong,15000000,100,96,100,96,0,0,1,0,50
laptop,6933599,50,238,65,Hai Phong,13999999,95,100,78,0,0,0,3,62,
laptop,3750000,50,None,None,Hanoi,7500000,100,None,None,None,0,0,0,0,0
laptop,6519809,8,294,118,Ho Chi Minh,8999999,100,96,100,,1,0,2,0,115
laptop,1099000,52,7,3,Bac Ninh,2299000,100,100,71,0,0,0,0,3,
laptop,1239000,38,22,10,Ho Chi Minh,2200000,100,91,100,100,0,0,0,0,10
laptop,32940000,6,9,None,Ho Chi Minh,39900000,19600,97,67,100,0,0,0,0,0
laptop,864999,28,15,2,Hung Yen,1499999,100600,86,100,88,1,0,0,0,1
laptop,687608,31,25,14,Nước ngoài,999999,100,98,100,100,0,0,0,0,14
laptop,74000,50,nan,40,Nước ngoài,148000,17000,90,71,nan,1,0,1,1,38
laptop,465000,6,2200,789,Ho Chi Minh,199000,16500,99,100,100,3,1,2,12,771
laptop,6520000,None,43,14,Hung Yen,None,37700,100,98,100,0,0,0,2,12
laptop,121000,56,16,6,Ha Noi,278000,32700,96,100,100,0,0,0,0,6
laptop,1290000,None,None,None,Binh Duong,None,118500,None,None,None,0,0,0,0,0
laptop,3390000,15,None,3,Hanoi,4000000,52400,91,75,100,0,0,0,0,3
laptop,5499000,25,130,57,Ha Noi,7299000,74400,96,100,100,0,0,0,2,55
laptop,1490000,32,10,3,Ha Noi,2200000,55400,95,100,100,0,0,0,1,2
laptop,24610000,None,6,None,Ho Chi Minh,None,74700,92,20,90,0,0,0,0,0
laptop,5618818,57,33,19,Ho Chi Minh,13999998,100,97,81,100,1,0,0,0,18
laptop,15490000,25,20,7,Ho Chi Minh,20590000,20700,98,77,66,0,0,0,1,6
laptop,4600000,None,None,1,Hung Yen,None,70000,91,65,100,0,0,0,0,1
laptop,3900000,None,None,None,Hung Yen,None,70000,91,65,100,0,0,0,0,0
laptop,21799000,13,8,None,Ho Chi Minh,25000000,23800,93,100,None,0,0,0,0,0
laptop,21600000,8,nan,1,Ho Chi Minh,23590000,100,94,86,100,0,0,0,0,1
laptop,5200000,None,None,None,Thanh Hoa,None,100600,None,None,None,0,0,0,0,0
laptop,6500000,None,19,8,Hung Yen,None,70000,91,65,100,0,0,0,0,8
laptop,19690000,10,nan,nan,Ho Chi Minh,21990000,nan,96,nan,83,0,0,0,0,0
laptop,10590000,None,None,None,Thanh Hoa,None,56800,96,100,75,0,0,0,0,0
laptop,3500000,12,10,4,Hung Yen,3990000,56800,91,65,100,0,0,0,0,4
