Type,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
laptop,17.990.000 ₫,38% Off,3.0K Đã bán,(666),Hồ Chí Minh,28.990.000 ₫,10.200 ₫,94%,98%,100%,28,5,10,17,606
laptop,7.223.999 ₫,"52% Off
LazFlash Sale,kết thúc sau 9h",51 Đã bán,(5),Hải Phòng,13.899.999 ₫,Miễn phí,100%,100%,80%,0,0,0,0,5
laptop,39.000 ₫,17% Off,312 Đã bán,(67),Hồ Chí Minh,47.000 ₫,17.000 ₫,96%,98%,90%,11,1,3,5,47
laptop,7.254.959 ₫,45% Off,16 Đã bán,(3),Hải Phòng,13.199.999 ₫,Miễn phí,100%,100%,80%,0,0,0,0,3
laptop,4.390.000 ₫,"20% Off
LazFlash Sale,kết thúc sau 9h",126 Đã bán,(29),Hà Nội,5.900.000 ₫,Miễn phí,98%,100%,100%,0,0,1,0,28
laptop,3.200.000 ₫,50% Off,,,Hà Nội,6.400.000 ₫,Miễn phí,,,,0,0,0,0,0
laptop,1.798.761 ₫,10% Off,18 Đã bán,(6),Hà Nội,4.290.000 ₫,84.600 ₫,94%,100%,76%,0,0,0,0,6
laptop,6.519.809 ₫,8% Off,294 Đã bán,(118),Hồ Chí Minh,8.999.999 ₫,Miễn phí,96%,100%,,1,0,2,0,115
laptop,6.614.299 ₫,27% Off,91 Đã bán,(49),Hồ Chí Minh,8.999.999 ₫,Miễn phí,96%,100%,,1,0,0,2,46
laptop,1.000.000 ₫,,81 Đã bán,(28),Hà Nội,,198.200 ₫,94%,20%,83%,2,1,1,3,21
laptop,1.200.000 ₫,,25 Đã bán,(10),Tiền Giang,,32.200 ₫,87%,37%,100%,0,0,0,1,9
laptop,4.173.000 ₫,"11% Off
LazFlash Sale,kết thúc sau 9h",154 Đã bán,(49),Hưng Yên,6.459.000 ₫,56.800 ₫,97%,100%,100%,0,0,1,3,46
laptop,1.300.000 ₫,28% Off,82 Đã bán,(41),Hà Nội,,74.400 ₫,92%,66%,85%,0,0,0,6,35
laptop,2.668.000 ₫,8% Off,33 Đã bán,(18),Nghệ An,2.898.000 ₫,56.800 ₫,94%,91%,92%,0,2,0,2,15
laptop,3.248.000 ₫,10% Off,64 Đã bán,(28),Nghệ An,3.598.000 ₫,56.800 ₫,94%,91%,92%,0,0,0,0,28
laptop,3.258.000 ₫,19% Off,73 Đã bán,(32),Nghệ An,3.998.000 ₫,56.800 ₫,94%,91%,92%,0,0,1,0,31
laptop,1.200.000 ₫,48% Off,24 Đã bán,(11),Hồ Chí Minh,2.300.000 ₫,Miễn phí,91%,100%,100%,0,1,0,1,9
laptop,269.233 ₫,7% Off,2.2K Đã bán,(789),Hồ Chí Minh,199.000 ₫,16.500 ₫,99%,100%,100%,3,1,2,12,771
laptop,10.490.000 ₫,19% Off,351 Đã bán,(108),Hồ Chí Minh,12.990.000 ₫,21.200 ₫,98%,75%,66%,3,0,0,1,104
laptop,1.799.000 ₫,,117 Đã bán,(35),Đồng Nai,,65.500 ₫,96%,50%,100%,0,0,0,1,35
laptop,27.590.000 ₫,16% Off,147 Đã bán,(3),Bắc Ninh,32.990.000 ₫,10.200 ₫,94%,98%,100%,0,0,0,0,4
laptop,2.455.000 ₫,,14 Đã bán,(2),Hà Nội,,38.000 ₫,79%,86%,95%,0,0,1,0,1
laptop,27.290.000 ₫,3% Off,7 Đã bán,,Hồ Chí Minh,32.999.000 ₫,9.700 ₫,94%,98%,100%,0,0,0,0,0
laptop,1.239.000 ₫,38% Off,22 Đã bán,(10),Hồ Chí Minh,2.200.000 ₫,Miễn phí,91%,100%,100%,0,0,0,0,10
laptop,14.699.000 ₫,30% Off,38 Đã bán,(12),Hồ Chí Minh,21.000.000 ₫,23.800 ₫,100%,100%,100%,0,0,0,0,12
laptop,3.500.000 ₫,,15 Đã bán,(3),Hồ Chí Minh,,20.100 ₫,88%,100%,,0,0,0,0,3
laptop,4.804.919 ₫,44% Off,97 Đã bán,(23),Hải Phòng,8.599.999 ₫,51.100 ₫,88%,100%,100%,3,0,1,0,20
laptop,6.500.000 ₫,27% Off,,(1),Hồ Chí Minh,11.900.000 ₫,Miễn phí,96%,100%,100%,0,0,0,0,2
laptop,7.689.000 ₫,,40 Đã bán,(7),Hưng Yên,,37.700 ₫,100%,98%,100%,0,0,0,0,7
