Type,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
quần áo,35.891 ₫,64% Off,3.0K Đã bán,(1022),Hồ Chí Minh,100.000 ₫,16.500 ₫,97%,100%,100%,20.0,7.0,27.0,36.0,932.0
quần áo,25.000 ₫,50% Off,907 Đã bán,(241),Hồ Chí Minh,71.998 ₫,16.500 ₫,91%,100%,50%,5.0,2.0,6.0,7.0,222.0
quần áo,79.000 ₫,43% Off,961 Đã bán,(260),Hà Nội,139.000 ₫,32.700 ₫,92%,99%,33%,11.0,8.0,8.0,16.0,218.0
quần áo,36.000 ₫,60% Off,102 Đã bán,(21),Nam Định,189.000 ₫,37.700 ₫,94%,100%,83%,1.0,0.0,1.0,1.0,18.0
quần áo,15.971 ₫,54% Off,219 Đã bán,(68),Hà Nội,59.000 ₫,32.700 ₫,95%,100%,100%,0.0,1.0,0.0,3.0,65.0
quần áo,59.000 ₫,67% Off,3.8K Đã bán,(1147),Hồ Chí Minh,179.000 ₫,16.500 ₫,97%,96%,97%,7.0,5.0,18.0,32.0,1085.0
quần áo,45.000 ₫,,116 Đã bán,(27),Hồ Chí Minh,,18.300 ₫,92%,99%,60%,0.0,0.0,2.0,2.0,23.0
quần áo,50.000 ₫,61% Off,14.6K Đã bán,(3067),Hồ Chí Minh,129.000 ₫,16.500 ₫,97%,96%,97%,64.0,23.0,70.0,111.0,2799.0
quần áo,33.454 ₫,66% Off,6.0K Đã bán,(1725),Hồ Chí Minh,99.000 ₫,16.500 ₫,97%,96%,97%,20.0,17.0,28.0,44.0,1616.0
quần áo,149.000 ₫,,5 Đã bán,,Hồ Chí Minh,,18.300 ₫,92%,99%,60%,0.0,0.0,0.0,0.0,0.0
quần áo,14.115 ₫,53% Off,1.3K Đã bán,(266),Hồ Chí Minh,50.000 ₫,16.500 ₫,99%,100%,100%,1.0,1.0,0.0,4.0,260.0
quần áo,38.660 ₫,47% Off,192 Đã bán,(59),Nước ngoài,73.000 ₫,,92%,,100%,2.0,0.0,0.0,0.0,57.0
quần áo,39.886 ₫,45% Off,94 Đã bán,(22),Nước ngoài,73.000 ₫,,97%,,100%,0.0,0.0,1.0,0.0,21.0
quần áo,37.900 ₫,57% Off,1.3K Đã bán,(329),Hà Nội,89.000 ₫,32.700 ₫,88%,100%,100%,17.0,8.0,21.0,15.0,269.0
quần áo,47.227 ₫,52% Off,61 Đã bán,(22),Hà Nội,99.000 ₫,32.700 ₫,91%,99%,66%,0.0,2.0,0.0,1.0,19.0
quần áo,39.000 ₫,43% Off,281 Đã bán,(67),Hồ Chí Minh,129.000 ₫,16.500 ₫,91%,100%,90%,1.0,0.0,1.0,0.0,65.0
quần áo,69.349 ₫,49% Off,66 Đã bán,(20),Nước ngoài,134.999 ₫,,92%,,100%,0.0,1.0,0.0,2.0,18.0
quần áo,92.000 ₫,44% Off,125 Đã bán,(30),Hồ Chí Minh,165.000 ₫,16.500 ₫,98%,100%,100%,0.0,0.0,0.0,0.0,30.0
quần áo,36.000 ₫,60% Off,164 Đã bán,(62),Hà Nội,89.000 ₫,32.700 ₫,91%,98%,81%,0.0,1.0,1.0,4.0,56.0
quần áo,58.536 ₫,49% Off,207 Đã bán,(58),Nước ngoài,115.000 ₫,,92%,,100%,0.0,1.0,2.0,3.0,52.0
quần áo,19.000 ₫,30% Off,302 Đã bán,(91),Hà Nội,27.000 ₫,32.700 ₫,93%,99%,,1.0,0.0,4.0,2.0,84.0
quần áo,19.900 ₫,29% Off,521 Đã bán,(199),Hà Nội,42.000 ₫,32.700 ₫,93%,99%,,5.0,0.0,7.0,7.0,180.0
quần áo,34.000 ₫,56% Off,3.3K Đã bán,(961),Hồ Chí Minh,78.000 ₫,16.500 ₫,96%,93%,97%,11.0,7.0,12.0,24.0,907.0
quần áo,50.663 ₫,57% Off,59 Đã bán,(18),Nam Định,220.000 ₫,37.700 ₫,86%,100%,100%,2.0,0.0,3.0,3.0,11.0
quần áo,48.086 ₫,59% Off,90 Đã bán,(32),Nam Định,118.000 ₫,37.700 ₫,94%,100%,,3.0,0.0,2.0,0.0,28.0
quần áo,53.360 ₫,8% Off,208 Đã bán,(60),Hồ Chí Minh,,17.000 ₫,95%,93%,99%,4.0,0.0,0.0,0.0,56.0
quần áo,33.333 ₫,44% Off,220 Đã bán,(32),Nam Định,160.000 ₫,37.700 ₫,93%,100%,100%,1.0,0.0,1.0,2.0,28.0
quần áo,73.000 ₫,,263 Đã bán,(58),Tiền Giang,,28.700 ₫,97%,97%,100%,1.0,0.0,1.0,1.0,55.0
quần áo,162.290 ₫,35% Off,475 Đã bán,(171),Hà Nội,250.000 ₫,32.700 ₫,97%,98%,54%,7.0,1.0,7.0,5.0,152.0
quần áo,36.242 ₫,67% Off,5.7K Đã bán,(177),Hồ Chí Minh,109.000 ₫,16.500 ₫,97%,96%,97%,6.0,5.0,4.0,2.0,160.0
quần áo,48.087 ₫,57% Off,85 Đã bán,(23),Nam Định,210.000 ₫,37.700 ₫,86%,100%,100%,0.0,1.0,1.0,2.0,19.0
quần áo,30.000 ₫,50% Off,477 Đã bán,(136),Hồ Chí Minh,60.000 ₫,18.300 ₫,95%,98%,81%,3.0,3.0,4.0,8.0,118.0
quần áo,32.682 ₫,58% Off,68 Đã bán,(13),Hồ Chí Minh,78.000 ₫,16.500 ₫,97%,96%,97%,0.0,0.0,0.0,1.0,12.0
quần áo,41.600 ₫,54% Off,27 Đã bán,(6),Nước ngoài,91.000 ₫,,92%,,100%,0.0,0.0,0.0,0.0,7.0
quần áo,2.500 ₫,50% Off,,,Hà Nội,5.000 ₫,32.700 ₫,,,,0.0,0.0,0.0,0.0,0.0
quần áo,25.000 ₫,50% Off,250 Đã bán,(54),Hồ Chí Minh,75.999 ₫,16.500 ₫,91%,100%,50%,1.0,1.0,2.0,2.0,48.0
quần áo,45.000 ₫,31% Off,1.4K Đã bán,(369),Hồ Chí Minh,65.000 ₫,16.500 ₫,96%,98%,100%,0.0,2.0,3.0,7.0,357.0
quần áo,17.555 ₫,12% Off,1.3K Đã bán,(234),Hồ Chí Minh,20.000 ₫,16.500 ₫,85%,96%,99%,27.0,11.0,12.0,13.0,171.0
quần áo,37.000 ₫,8% Off,101 Đã bán,(16),Cần Thơ,45.000 ₫,28.700 ₫,97%,100%,42%,0.0,0.0,0.0,0.0,17.0
quần áo,39.699 ₫,50% Off,325 Đã bán,(84),Nam Định,180.000 ₫,37.700 ₫,91%,100%,100%,5.0,4.0,7.0,6.0,62.0
quần áo,34.000 ₫,66% Off,1.0K Đã bán,(332),Nam Định,,,,,,0.0,0.0,0.0,0.0,0.0
quần áo,35.000 ₫,56% Off,1.4K Đã bán,(299),Hồ Chí Minh,124.000 ₫,16.500 ₫,91%,100%,50%,19.0,8.0,13.0,12.0,247.0
