Type,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
tivi,64.690.000 ₫,6% Off,,,Hồ Chí Minh,68.790.000 ₫,,100%,,100%,0,0,0,0,0
tivi,5.389.000 ₫,46% Off,130 Đã bán,(6),Hà Nội,9.890.000 ₫,,100%,,100%,0,0,0,0,6
tivi,920.486 ₫,3% Off,77 Đã bán,(26),Hà Nội,950.000 ₫,115.100 ₫,91%,95%,92%,0,0,0,2,24
tivi,3.989.000 ₫,50% Off,,,Hà Nội,7.990.000 ₫,,,,100%,0,0,0,0,0
tivi,4.689.000 ₫,41% Off,16 Đã bán,,Hà Nội,7.900.000 ₫,,100%,,100%,0,0,0,0,1
tivi,2.490.000 ₫,,,,Thái Bình,,141.300 ₫,,,100%,0,0,0,0,0
tivi,3.565.542 ₫,4% Off,31 Đã bán,(15),Hà Nội,3.700.000 ₫,206.800 ₫,91%,95%,92%,1,0,1,0,14
tivi,4.689.000 ₫,48% Off,9 Đã bán,,Hà Nội,9.090.000 ₫,,100%,,100%,0,0,0,0,0
tivi,3.003.074 ₫,2% Off,21 Đã bán,(17),Hà Nội,3.070.000 ₫,198.200 ₫,91%,95%,92%,1,0,1,1,14
tivi,950.000 ₫,,,,Hà Nội,,198.200 ₫,86%,97%,66%,0,0,0,0,0
tivi,11.589.000 ₫,27% Off,85 Đã bán,(24),Hồ Chí Minh,15.900.000 ₫,146.000 ₫,,100%,100%,0,0,1,0,23
tivi,99.000 ₫,,908 Đã bán,(220),Hồ Chí Minh,,18.300 ₫,94%,100%,,3,3,2,8,205
tivi,8.589.000 ₫,33% Off,1.0K Đã bán,(234),Hồ Chí Minh,12.900.000 ₫,159.200 ₫,,100%,100%,1,0,0,1,232
tivi,230.000 ₫,,72 Đã bán,(26),Hồ Chí Minh,,16.500 ₫,99%,100%,36%,0,0,0,0,26
tivi,8.189.000 ₫,28% Off,102 Đã bán,(24),Hồ Chí Minh,11.400.000 ₫,131.600 ₫,,100%,100%,0,0,0,1,24
tivi,11.589.000 ₫,27% Off,317 Đã bán,(63),Hồ Chí Minh,15.900.000 ₫,258.200 ₫,,100%,100%,1,0,0,2,60
tivi,5.740.000 ₫,48% Off,2.2K Đã bán,(919),Hồ Chí Minh,10.990.000 ₫,46.000 ₫,97%,93%,100%,5,0,1,17,896
tivi,9.900.000 ₫,44% Off,5 Đã bán,,Hồ Chí Minh,17.800.000 ₫,238.400 ₫,85%,50%,100%,0,0,0,0,0
tivi,33.890.000 ₫,11% Off,83 Đã bán,(27),Bình Dương,38.290.000 ₫,,96%,100%,99%,0,0,0,0,27
tivi,250.000 ₫,,165 Đã bán,(57),Hà Nội,,32.700 ₫,96%,100%,100%,0,2,1,2,52
