Type,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
giày dép,174,None,494,None,Nước ngoài,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
giày dép,371,40,319,None,Nước ngoài,618,17000,None,None,None,0,0,0,0,0
giày dép,32000,54,83,20,Hồ Chí Minh,69000,16500,93,92,100,0,0,1,0,19
giày dép,12000,73,640,173,Nước ngoài,45000,None,90,None,100,4,2,3,5,159
giày dép,383,40,250,None,Nước ngoài,638,17000,None,None,None,0,0,0,0,0
giày dép,31000,53,2700,688,Hồ Chí Minh,66000,16500,94,95,92,13,8,17,24,626
giày dép,110000,65,433,120,Nước ngoài,315000,17000,95,93,99,0,0,1,4,115
giày dép,174,40,8,None,Nước ngoài,290,17000,None,None,None,0,0,0,0,0
giày dép,208662,46,885,127,Hồ Chí Minh,389000,18300,99,99,50,2,0,0,2,123
giày dép,45000,50,34,10,Nam Định,90000,37700,94,100,50,0,0,0,0,10
giày dép,79000,nan,1900,645,Nước ngoài,nan,17000,96,95,100,7,3,11,12,612
giày dép,1364400,28,1900,495,Đồng Nai,1895000,44100,98,99,97,2,0,1,1,492
giày dép,66000,69,4200,1383,Nước ngoài,215000,nan,100,nan,100,20,8,27,43,1285
giày dép,29000,28,188,62,Nước ngoài,40000,None,96,None,100,6,2,2,2,50
giày dép,19266,56,436,108,Nước ngoài,44000,nan,95,nan,100,2,3,2,7,95
giày dép,88000,45,46,18,Nước ngoài,160000,None,98,None,100,0,0,0,0,18
giày dép,79000,57,894,339,Nước ngoài,184000,nan,98,nan,100,8,4,4,10,313
giày dép,33000,78,1500,465,Hà Nội,150000,38000,97,88,None,4,1,5,22,434
giày dép,59000,46,5300,1226,Hà Nội,110000,32700,96,88,None,24,10,15,57,1120
giày dép,59000,54,329,112,Hồ Chí Minh,129000,18300,98,85,87,3,0,3,4,102
giày dép,49000,50,57,15,Hải Dương,98000,37700,98,None,None,0,0,0,1,14
giày dép,143000,59,864,349,Nước ngoài,350000,None,98,None,100,4,1,2,8,334
giày dép,35000,77,992,258,Hà Nội,150000,38000,96,88,None,8,0,8,6,236
giày dép,47723,52,277,77,Nước ngoài,99000,nan,97,nan,100,2,0,4,3,69
giày dép,72805,66,73,20,Nước ngoài,217200,nan,100,nan,100,0,0,1,0,19
giày dép,1296,None,337,None,Nước ngoài,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
giày dép,59000,41,821,225,Hà Nội,160000,32700,94,100,100,9,4,10,8,194
giày dép,35000,77,210,51,Hà Nội,150000,38000,96,88,None,2,1,1,3,45
giày dép,55000,45,58,25,Nước ngoài,99200,None,98,None,100,0,0,0,0,25
giày dép,26000,42,3500,1041,Nước ngoài,45000,nan,90,nan,100,63,38,51,40,849
giày dép,30168,61,55,9,Hồ Chí Minh,78000,16500,93,92,100,0,0,0,0,9
giày dép,91000,56,97,73,Nước ngoài,206000,None,98,None,100,0,0,0,0,74
giày dép,19000,50,992,206,Hồ Chí Minh,64000,16500,94,95,92,4,1,2,7,192
giày dép,70392,66,18,7,Nước ngoài,208800,None,99,None,100,0,0,0,0,7
giày dép,54470,45,66,13,Hà Nội,99000,38000,93,100,78,1,0,1,1,10
giày dép,53000,65,nan,2,Nước ngoài,149800,nan,99,nan,100,0,0,0,0,2
giày dép,115000,45,86,43,Nước ngoài,208000,None,98,None,100,0,0,0,1,43
giày dép,80644,50,30,7,Nước ngoài,162000,None,91,None,100,0,0,0,0,8
giày dép,79000,44,29,3,Nước ngoài,140800,None,98,None,100,0,0,0,0,3
giày dép,208662,46,721,98,Hồ Chí Minh,389000,18300,99,99,50,0,0,0,0,0
giày dép,53360,32,360,136,Hồ Chí Minh,79000,17000,95,93,99,0,0,1,4,132
giày dép,135,83,209,None,Nước ngoài,801,17000,None,None,None,0,0,0,0,0
giày dép,19000,50,547,99,Nước ngoài,38000,None,96,None,100,0,0,0,1,98
giày dép,100560,60,308,90,Hải Dương,250000,37700,96,100,100,0,0,2,2,85
giày dép,68400,54,703,199,Hà Nội,150000,38000,93,100,100,4,1,5,8,182
giày dép,50000,50,89,23,Hồ Chí Minh,169000,18300,90,91,100,0,0,1,0,22
giày dép,75000,50,1400,337,Hồ Chí Minh,150000,16500,94,96,None,0,0,0,0,0
giày dép,21944,78,307,64,Hồ Chí Minh,100000,18300,85,96,99,9,2,4,0,50
giày dép,59000,65,515,125,Hồ Chí Minh,169000,19600,81,98,100,4,2,2,4,113
giày dép,57000,70,2200,862,Nước ngoài,192000,nan,98,nan,100,7,5,15,22,814
giày dép,75440,8,354,113,Nước ngoài,158000,17000,95,94,100,0,0,7,3,104
giày dép,79120,8,208,73,Nước ngoài,86000,17000,95,93,99,2,1,1,3,66
giày dép,24302,60,157,27,Nước ngoài,60000,None,95,None,100,0,0,0,0,27
giày dép,38500,30,349,99,Hồ Chí Minh,55000,18300,99,99,100,0,1,0,2,97
giày dép,37900,nan,114,25,Đồng Nai,222888,28700,97,100,100,1,0,0,0,24
giày dép,39000,51,1600,407,Hồ Chí Minh,79000,16500,97,98,80,6,3,4,15,379
giày dép,79120,39,94,28,Nước ngoài,130000,17000,95,94,100,0,1,1,1,25
giày dép,55000,45,93,34,Hưng Yên,100000,37700,94,100,100,0,0,4,0,31
giày dép,65226,None,389,140,Hồ Chí Minh,None,16500,88,3,46,9,3,3,7,119
giày dép,70000,None,40,12,Hồ Chí Minh,None,16500,88,3,46,0,0,0,0,12
giày dép,105000,nan,nan,nan,Hồ Chí Minh,nan,16500,nan,nan,nan,0,0,0,0,0
giày dép,41160,49,1800,508,Hồ Chí Minh,80000,19600,92,100,50,11,4,18,29,447
giày dép,66202,78,628,228,Hồ Chí Minh,300000,16500,97,100,66,5,0,1,5,217
giày dép,31000,61,374,116,Hồ Chí Minh,80000,16500,94,95,92,4,1,5,7,99
giày dép,85000,None,113,27,Hồ Chí Minh,None,18300,88,3,46,4,0,1,0,23
giày dép,126040,70,60,20,Hồ Chí Minh,422000,17000,95,93,99,0,0,0,1,19
giày dép,81000,60,664,391,Nước ngoài,202000,nan,98,nan,100,2,3,1,4,381
giày dép,70000,65,8200,2119,Hà Nội,160000,38000,96,96,100,0,0,0,0,0
giày dép,33000,nan,16,5,Hải Dương,165000,37700,nan,96,nan,0,0,0,0,5
giày dép,103074,59,618,155,Hà Nội,250000,45100,95,98,100,0,0,0,0,0
giày dép,143000,60,2300,1083,Nước ngoài,361600,nan,98,nan,100,6,1,5,12,1059
giày dép,79000,51,35,11,Hải Dương,160000,37700,92,100,100,0,0,0,1,10
giày dép,82962,40,764,155,Hồ Chí Minh,139000,18300,97,100,None,6,3,2,10,134
giày dép,89000,51,490,124,Hải Dương,180000,43900,95,100,None,2,1,1,3,117
giày dép,165000,50,119,85,Nước ngoài,328000,None,98,None,100,0,0,0,0,85
giày dép,65000,45,1200,409,Hồ Chí Minh,119000,16500,98,85,87,3,0,3,6,397
giày dép,79000,43,127,52,Hải Dương,138000,37700,90,100,100,2,1,3,2,44
giày dép,65000,48,130,44,Nam Định,124000,37700,94,100,50,0,0,0,0,44
giày dép,38000,37,295,112,Nước ngoài,60000,nan,90,nan,100,0,0,2,2,108
giày dép,32045,68,39,11,Hồ Chí Minh,100000,19600,85,96,99,0,0,1,0,10
giày dép,57432,35,603,197,Hồ Chí Minh,89000,18300,95,99,None,2,1,3,3,188
giày dép,47405,53,43,8,Hồ Chí Minh,100000,19600,87,96,34,0,0,0,0,8
giày dép,49900,50,6,3,Hồ Chí Minh,100000,19600,85,96,99,1,1,0,0,1
giày dép,126040,41,126,57,Nước ngoài,215000,17000,95,93,99,1,0,1,3,52
giày dép,62560,44,50,22,Hồ Chí Minh,184000,17000,95,93,99,0,0,1,0,21
giày dép,105800,8,46,11,Hồ Chí Minh,118000,17000,95,93,99,0,0,0,0,11
giày dép,57000,nan,340,178,Hồ Chí Minh,nan,17000,95,93,99,2,1,7,6,162
giày dép,33120,8,36,14,Nước ngoài,51000,17000,95,93,99,0,0,0,0,14
giày dép,121100,39,955,326,Hồ Chí Minh,200000,18300,97,96,66,3,2,3,7,312
giày dép,80000,47,88,53,Nước ngoài,150400,nan,98,nan,100,1,0,0,1,51
giày dép,82877,67,109,33,Nước ngoài,250000,17000,97,99,94,0,0,1,2,31
giày dép,99000,50,2600,943,Hà Nội,198000,32700,98,99,None,9,2,7,26,900
giày dép,1299666,31,878,237,Đồng Nai,1895000,44100,98,99,97,0,0,0,0,237
giày dép,125000,50,221,81,Hồ Chí Minh,250000,18300,97,96,66,1,0,2,1,78
giày dép,71000,52,75,20,Hà Nội,149000,32700,94,79,100,1,1,0,1,17
giày dép,29549,38,917,125,Hà Nội,48000,32700,98,100,None,3,0,0,6,117
giày dép,48000,47,1600,537,Hà Nội,90000,32700,98,99,91,8,1,1,9,518
giày dép,79000,20,120,25,Hải Dương,99000,37700,90,100,100,0,0,2,0,24
giày dép,85681,61,30,10,Nước ngoài,272000,nan,95,93,100,0,0,1,0,9
giày dép,39000,35,3200,564,Cà Mau,60000,28700,95,82,100,6,4,6,27,521
giày dép,80000,50,2000,476,Hà Nội,160000,38000,95,92,100,0,0,0,0,0
giày dép,114537,54,219,51,Hà Nội,250000,32700,95,99,90,4,2,0,0,45
giày dép,19000,83,1200,242,Hà Nội,110000,32700,96,89,94,0,0,0,0,0
giày dép,43046,59,147,58,Hồ Chí Minh,106000,18300,95,100,100,0,0,0,1,57
giày dép,66561,56,407,131,Hà Nội,150000,38000,94,100,83,4,6,3,5,113
giày dép,90000,70,35,9,Hồ Chí Minh,315000,17000,95,93,99,0,0,0,0,9
giày dép,109000,45,5,1,Nước ngoài,196800,None,98,None,100,0,0,0,0,1
giày dép,119199,18,95,32,Hà Nội,None,32700,96,99,86,2,1,0,0,29
giày dép,102299,44,399,135,Bắc Giang,184139,43900,96,100,100,1,1,1,3,129
giày dép,32000,None,7,1,Hải Dương,None,37700,None,96,None,0,0,0,0,1
giày dép,35824,40,149,36,Nước ngoài,60176,nan,97,nan,100,1,0,2,2,31
giày dép,58410,1,109,25,Hồ Chí Minh,59000,16500,98,96,None,2,0,0,0,23
giày dép,39000,nan,868,188,Quảng Ngãi,nan,37700,96,100,71,7,0,4,8,169
giày dép,106000,27,363,142,Nước ngoài,214000,,96,,100,0,0,1,0,141
giày dép,47575,52,113,34,Nước ngoài,99000,nan,94,nan,100,2,0,4,0,28
giày dép,210267,34,606,141,Hồ Chí Minh,320000,18300,99,99,50,0,0,0,0,0
giày dép,45000,50,27,5,Nam Định,90000,37700,94,100,50,0,0,0,0,5
giày dép,71026,21,98,41,Hà Nội,90000,32700,98,99,91,0,0,1,0,40
giày dép,43576,58,9,4,Nước ngoài,104000,nan,98,nan,100,0,0,0,0,4
giày dép,59000,72,42,2,Hồ Chí Minh,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
giày dép,32000,54,83,20,Hồ Chí Minh,69000,16500,93,92,100,0,0,1,0,18
giày dép,174,40,8,None,Nước ngoài,290,17000,None,None,None,0,0,0,0,0
giày dép,208662,46,885,127,Hồ Chí Minh,389000,18300,99,99,50,0,0,0,0,0
giày dép,83,40,None,None,Nước ngoài,138,17000,None,None,None,0,0,0,0,0
giày dép,12000,73,640,173,Nước ngoài,45000,None,90,None,100,4,2,3,5,159
giày dép,371,40,319,None,Nước ngoài,618,17000,None,None,None,0,0,0,0,0
giày dép,51000,53,160,42,Nước ngoài,108000,nan,99,nan,88,0,0,1,0,41
giày dép,47723,52,277,77,Nước ngoài,99000,nan,97,nan,100,2,0,4,3,69
giày dép,15500,50,None,None,Nước ngoài,89000,17000,95,93,99,0,0,0,0,0
giày dép,383,40,250,None,Nước ngoài,638,17000,None,None,None,0,0,0,0,0
giày dép,174,None,494,None,Nước ngoài,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
giày dép,19266,56,436,108,Nước ngoài,44000,nan,95,nan,100,2,3,2,7,95
giày dép,66000,69,4200,1383,Nước ngoài,215000,nan,100,nan,100,20,8,27,43,1285
giày dép,38500,30,349,99,Hồ Chí Minh,55000,18300,99,99,100,0,1,0,2,97
giày dép,31844,58,43,7,Hồ Chí Minh,76000,16500,93,92,100,0,0,0,1,7
giày dép,31000,53,2700,688,Hồ Chí Minh,66000,16500,94,95,92,13,8,17,24,626
giày dép,55000,45,93,34,Hưng Yên,100000,37700,94,100,100,0,0,4,0,31
giày dép,79000,57,894,339,Nước ngoài,184000,nan,98,nan,100,8,4,4,10,313
giày dép,29000,28,188,62,Nước ngoài,40000,None,96,None,100,6,2,2,2,50
giày dép,75000,38,58,14,Hải Dương,120000,37700,96,100,100,1,0,0,0,13
giày dép,30168,61,55,9,Hồ Chí Minh,78000,16500,93,92,100,0,0,0,0,9
giày dép,41732,54,20,7,Nước ngoài,90000,nan,96,nan,100,0,1,0,0,7
giày dép,26000,42,3500,1041,Nước ngoài,45000,nan,90,nan,100,63,38,51,40,849
giày dép,453,40,None,None,Nước ngoài,755,17000,None,None,None,0,0,0,0,0
giày dép,33000,nan,16,5,Hải Dương,165000,37700,nan,96,nan,0,0,0,0,5
giày dép,59000,54,329,112,Hồ Chí Minh,129000,18300,98,85,87,3,0,3,4,102
giày dép,338,40,None,None,Nước ngoài,563,17000,None,None,None,0,0,0,0,0
giày dép,91000,56,192,85,Nước ngoài,206000,nan,98,nan,100,1,0,0,1,83
giày dép,75000,50,1400,337,Hồ Chí Minh,150000,16500,94,96,None,0,0,0,0,0
giày dép,89000,51,490,124,Hải Dương,180000,43900,95,100,None,2,1,1,3,117
giày dép,43046,59,147,58,Hồ Chí Minh,106000,18300,95,100,100,0,0,0,1,57
giày dép,65000,45,1200,409,Hồ Chí Minh,119000,16500,98,85,87,3,0,3,6,397
giày dép,19895,57,45,15,Nước ngoài,46000,nan,95,nan,100,0,1,0,0,14
giày dép,38000,37,295,112,Nước ngoài,60000,nan,90,nan,100,0,0,2,2,108
giày dép,53000,65,nan,2,Nước ngoài,149800,nan,99,nan,100,0,0,0,0,2
giày dép,54470,45,66,13,Hà Nội,99000,38000,93,100,78,1,0,1,1,10
giày dép,15000,81,31,11,Hà Nội,79000,45100,96,100,83,0,0,0,0,11
giày dép,81880,37,83,21,Hồ Chí Minh,171000,17000,95,95,100,0,1,0,1,19
giày dép,210267,34,606,141,Hồ Chí Minh,320000,18300,99,99,50,0,0,0,0,0
giày dép,90000,None,None,None,Hồ Chí Minh,None,17000,96,95,100,0,0,0,0,0
giày dép,543,40,None,None,Nước ngoài,905,17000,None,None,None,0,0,0,0,0
giày dép,30000,57,6,1,Tây Ninh,70000,28700,100,None,None,0,0,0,0,1
giày dép,57000,70,2200,862,Nước ngoài,192000,nan,98,nan,100,7,5,15,22,814
giày dép,50000,50,89,23,Hồ Chí Minh,169000,18300,90,91,100,0,0,1,0,22
giày dép,143000,59,864,349,Nước ngoài,350000,None,98,None,100,4,1,2,8,334
giày dép,75000,46,57,24,Hải Dương,140000,37700,96,100,100,0,1,0,0,23
giày dép,71420,14,None,1,Nước ngoài,82850,None,96,None,100,0,0,0,0,1
giày dép,79000,44,29,3,Nước ngoài,140800,None,98,None,100,0,0,0,0,3
