Type,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
quần áo,35891,64,3000,1022,Hồ Chí Minh,100000,16500,97,100,100,20,7,27,36,932
quần áo,25000,50,907,241,Hồ Chí Minh,71998,16500,91,100,50,5,2,6,7,222
quần áo,79000,43,961,260,Hà Nội,139000,32700,92,99,33,11,8,8,16,218
quần áo,36000,60,102,21,Nam Định,189000,37700,94,100,83,1,0,1,1,18
quần áo,15971,54,219,68,Hà Nội,59000,32700,95,100,100,0,1,0,3,65
quần áo,59000,67,3800,1147,Hồ Chí Minh,179000,16500,97,96,97,7,5,18,32,1085
quần áo,45000,nan,116,27,Hồ Chí Minh,nan,18300,92,99,60,0,0,2,2,23
quần áo,50000,61,14600,3067,Hồ Chí Minh,129000,16500,97,96,97,64,23,70,111,2799
quần áo,33454,66,6000,1725,Hồ Chí Minh,99000,16500,97,96,97,20,17,28,44,1616
quần áo,149000,nan,5,nan,Hồ Chí Minh,nan,18300,92,99,60,0,0,0,0,0
quần áo,14115,53,1300,266,Hồ Chí Minh,50000,16500,99,100,100,1,1,0,4,260
quần áo,38660,47,192,59,Nước ngoài,73000,nan,92,nan,100,2,0,0,0,57
quần áo,39886,45,94,22,Nước ngoài,73000,nan,97,nan,100,0,0,1,0,21
quần áo,37900,57,1300,329,Hà Nội,89000,32700,88,100,100,17,8,21,15,269
quần áo,47227,52,61,22,Hà Nội,99000,32700,91,99,66,0,2,0,1,19
quần áo,39000,43,281,67,Hồ Chí Minh,129000,16500,91,100,90,1,0,1,0,65
quần áo,69349,49,66,20,Nước ngoài,134999,nan,92,nan,100,0,1,0,2,18
quần áo,92000,44,125,30,Hồ Chí Minh,165000,16500,98,100,100,0,0,0,0,30
quần áo,36000,60,164,62,Hà Nội,89000,32700,91,98,81,0,1,1,4,56
quần áo,58536,49,207,58,Nước ngoài,115000,nan,92,nan,100,0,1,2,3,52
quần áo,19000,30,302,91,Hà Nội,27000,32700,93,99,None,1,0,4,2,84
quần áo,19900,29,521,199,Hà Nội,42000,32700,93,99,None,5,0,7,7,180
quần áo,34000,56,3300,961,Hồ Chí Minh,78000,16500,96,93,97,11,7,12,24,907
quần áo,50663,57,59,18,Nam Định,220000,37700,86,100,100,2,0,3,3,11
quần áo,48086,59,90,32,Nam Định,118000,37700,94,100,None,3,0,2,0,28
quần áo,53360,8,208,60,Hồ Chí Minh,None,17000,95,93,99,4,0,0,0,56
quần áo,33333,44,220,32,Nam Định,160000,37700,93,100,100,1,0,1,2,28
quần áo,73000,None,263,58,Tiền Giang,None,28700,97,97,100,1,0,1,1,55
quần áo,162290,35,475,171,Hà Nội,250000,32700,97,98,54,7,1,7,5,152
quần áo,36242,67,5700,177,Hồ Chí Minh,109000,16500,97,96,97,6,5,4,2,160
quần áo,48087,57,85,23,Nam Định,210000,37700,86,100,100,0,1,1,2,19
quần áo,30000,50,477,136,Hồ Chí Minh,60000,18300,95,98,81,3,3,4,8,118
quần áo,32682,58,68,13,Hồ Chí Minh,78000,16500,97,96,97,0,0,0,1,12
quần áo,41600,54,27,6,Nước ngoài,91000,None,92,None,100,0,0,0,0,7
quần áo,2500,50,nan,nan,Hà Nội,5000,32700,nan,nan,nan,0,0,0,0,0
quần áo,25000,50,250,54,Hồ Chí Minh,75999,16500,91,100,50,1,1,2,2,48
quần áo,45000,31,1400,369,Hồ Chí Minh,65000,16500,96,98,100,0,2,3,7,357
quần áo,17555,12,1300,234,Hồ Chí Minh,20000,16500,85,96,99,27,11,12,13,171
quần áo,37000,8,101,16,Cần Thơ,45000,28700,97,100,42,0,0,0,0,17
quần áo,39699,50,325,84,Nam Định,180000,37700,91,100,100,5,4,7,6,62
quần áo,34000,66,1000,332,Nam Định,None,None,None,None,None,0,0,0,0,0
quần áo,35000,56,1400,299,Hồ Chí Minh,124000,16500,91,100,50,19,8,13,12,247
quần áo,19000,51,102,24,Hà Nam,39000,37700,97,91,50,0,1,1,2,20
quần áo,52049,54,1200,438,Hà Nội,112000,32700,95,100,90,8,3,8,6,413
quần áo,62667,21,105,33,Nước ngoài,79000,17000,93,99,100,0,0,0,0,34
quần áo,33203,47,37,13,Nước ngoài,63000,None,96,None,100,0,0,0,0,13
quần áo,30000,81,144,34,Hà Nội,159000,32700,91,100,None,2,0,1,0,31
quần áo,73300,59,1400,479,Hồ Chí Minh,178000,16500,95,99,91,6,2,6,11,455
quần áo,25000,50,32,4,Hồ Chí Minh,50000,16500,91,100,50,0,0,0,1,4
quần áo,59000,nan,1200,378,Hồ Chí Minh,nan,18300,93,97,100,5,6,7,28,332
quần áo,33489,66,40,19,Hà Nội,98000,38000,69,100,82,4,0,0,0,16
quần áo,124000,41,103,28,Hồ Chí Minh,210000,16500,98,99,96,0,0,2,0,26
quần áo,67835,54,5800,971,Hồ Chí Minh,149000,16500,94,99,None,24,11,18,86,832
quần áo,29000,47,579,211,Nước ngoài,55000,,90,,100,2,3,5,14,187
quần áo,13000,None,None,None,Trà Vinh,None,28700,None,None,None,0.0,0.0,0.0,0.0,0.0
quần áo,49500,50,253,60,Hà Nội,99000,32700,91,98,81,2,1,1,4,52
quần áo,37905,96,2000,520,Hồ Chí Minh,1000000,16500,87,96,34,67,34,21,15,383
quần áo,40000,nan,64,13,Thanh Hóa,80000,37700,91,100,96,0,1,1,0,11
quần áo,121046,50,nan,nan,Nước ngoài,240329,nan,97,nan,100,0,0,0,0,0
quần áo,39000,50,159,44,Nam Định,None,37700,93,97,None,2,0,2,2,38
quần áo,32783,53,253,58,Nam Định,180000,37700,91,100,100,5,0,4,0,49
quần áo,17656,39,1300,212,Hồ Chí Minh,59000,16500,94,99,69,2,2,9,4,196
quần áo,42934,57,90,27,Thanh Hóa,99000,37700,91,100,96,3,1,2,0,22
quần áo,69120,40,40,17,Hà Nội,115000,32700,91,99,64,0,1,1,1,14
quần áo,39699,12,236,76,Nam Định,45000,37700,93,99,80,3,0,3,5,66
quần áo,28336,57,999,194,Hồ Chí Minh,58000,16500,94,99,69,6,1,2,3,183
quần áo,45614,43,1700,379,Hồ Chí Minh,120000,37700,93,99,60,7,3,12,17,340
quần áo,49000,46,24,9,Thanh Hóa,90000,51100,94,87,100,0,0,1,2,6
quần áo,39030,56,88,30,Hồ Chí Minh,89000,16500,96,84,83,1,0,0,0,29
quần áo,32525,54,938,257,Hồ Chí Minh,75000,16500,97,99,58,8,1,3,5,240
quần áo,67837,54,1900,405,Hồ Chí Minh,149000,16500,95,99,91,10,7,18,21,349
quần áo,62000,48,464,125,Thanh Hóa,120000,37700,93,99,66,2,1,5,6,111
quần áo,84889,33,4200,924,Hồ Chí Minh,132000,16500,99,98,94,5,1,2,25,893
quần áo,118000,21,2400,550,Hưng Yên,150000,37700,95,96,98,12,3,12,15,508
quần áo,56000,47,842,173,Hồ Chí Minh,106200,16500,95,97,100,6,1,5,3,158
quần áo,79016,58,8,3,Nước ngoài,188000,None,92,None,100,0,0,0,1,2
quần áo,49000,29,22,8,Hà Nội,149000,32700,91,98,81,0,0,0,0,8
quần áo,92004,54,237,65,Long An,198000,28700,97,100,None,2,0,2,4,58
quần áo,47228,57,134,40,Hồ Chí Minh,110000,16500,97,96,97,0,0,1,5,35
quần áo,29000,51,4900,915,Hà Nội,59000,32700,95,100,100,15,14,32,56,798
quần áo,69000,47,361,93,Hồ Chí Minh,199000,16500,94,99,98,8,2,2,4,77
quần áo,79000,50,60,20,Hồ Chí Minh,355000,16500,94,99,98,0,1,1,1,17
quần áo,53990,64,1500,462,Hồ Chí Minh,149000,16500,97,96,97,3,2,7,8,443
quần áo,59000,40,232,54,Hồ Chí Minh,199000,16500,88,99,87,0,2,1,1,51
quần áo,41650,15,247,81,Hồ Chí Minh,60000,16500,95,92,66,2,0,3,1,75
quần áo,48000,46,10,3,Hồ Chí Minh,260000,16500,93,100,85,0,2,0,0,1
quần áo,39699,42,30,5,Hà Nội,69000,32700,91,98,81,0,0,0,0,5
quần áo,42000,nan,18,9,Hồ Chí Minh,nan,18300,93,97,100,0,1,2,1,5
quần áo,39000,61,26,10,Hồ Chí Minh,149000,16500,89,99,100,0,0,0,0,11
quần áo,62000,61,2000,604,Hồ Chí Minh,159000,16500,97,96,97,3,4,6,20,572
quần áo,89000,None,375,102,Hồ Chí Minh,None,16500,98,100,100,0,0,0,2,100
quần áo,42492,13,104,40,Nam Định,95000,37700,93,99,80,0,0,1,2,37
quần áo,39000,40,745,167,Nam Định,160000,37700,91,100,100,0,0,0,0,0
quần áo,69120,59,571,186,Hà Nội,169000,32700,91,99,64,7,5,4,12,158
quần áo,45535,52,370,122,Hà Nội,94000,32700,91,98,57,4,2,4,11,101
quần áo,65584,49,61,18,Nước ngoài,129278,None,92,None,100,0,0,0,1,17
quần áo,51111,48,46,19,Thanh Hóa,99000,37700,91,100,96,0,0,1,1,17
quần áo,44825,31,273,70,Nam Định,65000,37700,83,100,100,4,0,8,7,51
quần áo,66000,45,317,77,Thanh Hóa,120000,37700,91,100,96,2,2,1,4,68
quần áo,38640,57,573,168,Nam Định,95000,37700,93,99,80,7,5,4,9,143
quần áo,29000,41,22,11,Nước ngoài,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
quần áo,43227,45,13,4,Hà Nội,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
quần áo,65000,46,199,60,Thanh Hóa,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
quần áo,42000,nan,232,47,Hồ Chí Minh,nan,nan,93,97,100,4,3,5,0,36
quần áo,42075,47,500,139,Hồ Chí Minh,149000,16500,88,95,100,29,4,17,4,85
quần áo,36924,46,nan,2,Hà Nội,69000,32700,91,99,66,0,0,0,0,2
quần áo,66000,30,20,7,Nước ngoài,94000,,92,,100,0,0,0,0,7
quần áo,45000,nan,153,24,Hồ Chí Minh,nan,18300,92,100,100,4,1,0,1,18
quần áo,39000,44,224,56,Hồ Chí Minh,70000,16500,98,100,50,0,1,1,0,54
quần áo,59248,50,3000,701,Hồ Chí Minh,119000,16500,96,93,97,8,7,15,30,642
quần áo,34384,57,1700,459,Hồ Chí Minh,80000,16500,97,99,58,7,3,9,12,428
quần áo,55000,50,127,29,Nam Định,180000,37700,92,100,None,2,1,2,6,19
quần áo,67835,60,4100,758,Hồ Chí Minh,168000,16500,96,93,97,0,0,0,0,0
quần áo,157051,21,88,18,Hưng Yên,200000,37700,95,96,98,0,3,0,0,15
quần áo,41818,54,77,11,Hồ Chí Minh,90000,16500,96,97,86,0,0,2,0,10
quần áo,37172,79,1700,349,Hà Nội,179000,32700,91,100,None,13,2,19,16,299
quần áo,71700,76,1300,319,Hồ Chí Minh,299000,16500,95,99,100,5,4,4,8,298
quần áo,152280,24,1700,439,Hưng Yên,200000,37700,95,96,98,5,1,7,18,408
quần áo,27879,60,4200,431,Hồ Chí Minh,70000,18300,85,96,99,52,23,33,55,647
quần áo,75000,None,994,193,Hồ Chí Minh,None,18300,92,99,60,5,5,12,13,158
quần áo,58442,31,74,21,Nước ngoài,85000,17000,93,99,100,2,1,1,1,16
quần áo,33489,66,85,25,Hà Nội,98000,38000,62,100,75,6,2,0,1,16
quần áo,56000,60,5500,1387,Hồ Chí Minh,139000,16500,97,96,97,27,10,39,29,1283
quần áo,38126,57,53,8,Hà Nội,88000,32700,83,98,100,1,1,0,2,5
quần áo,38641,44,19,7,Hà Nội,99000,32700,90,100,63,0,0,0,0,7
