Type,Title,Link,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Return,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
laptop,Thành lý máy tính sách tay laptop học tập sử dụng văn phòng văn bản giải trí,https://www.lazada.vn/products/thanh-ly-may-tinh-sach-tay-laptop-hoc-tap-su-dung-van-phong-van-ban-giai-tri-i2273037387.html,864.999 ₫,28% Off,,,Hưng Yên,,,,,,,['1'],['0'],['0'],['0'],['1']
laptop,"Bán Xác Laptop Acer 4349, không lên hình. Giá bán 400k",https://www.lazada.vn/products/ban-xac-laptop-acer-4349-khong-len-hinh-gia-ban-400k-i2346400118.html,400.000 ₫,,,,Tiền Giang,,40.300 ₫,,87%,37%,100%,['0'],['0'],['0'],['0'],['2']
laptop,"Laptop HP 840 G3 i5 i7 Làm Văn Phòng, Học Tập Mượt Mà Giá Rẻ",https://www.lazada.vn/products/laptop-hp-840-g3-i5-i7-lam-van-phong-hoc-tap-muot-ma-gia-re-i2433253564.html,3.800.000 ₫,46% Off,,,Hồ Chí Minh,7.000.000 ₫,16.500 ₫,,96%,80%,94%,['0'],['0'],['0'],['1'],['0']
laptop,[Trả góp 0%]LAPTOP CHƠI FIFA 4 PUBG MOBI PHOTOSHOP - HP 4540s Core i5 3210M/ Ram 16G/ ssd 128G + HDD 1000g / Màn 15.6 inch Phím Số Vỏ hợp kim Nhôm,https://www.lazada.vn/products/tra-gop-0laptop-choi-fifa-4-pubg-mobi-photoshop-hp-4540s-core-i5-3210m-ram-16g-ssd-128g-hdd-1000g-man-156-inch-phim-so-vo-hop-kim-nhom-i1731025093.html,2.300.000 ₫,8% Off,,,Hà Nội,3.000.000 ₫,104.900 ₫,,92%,66%,85%,['0'],['0'],['0'],['0'],['1']
laptop,Laptop hp 6470b core i5 ram 4g ổ ssd 120g giá rẻ,https://www.lazada.vn/products/laptop-hp-6470b-core-i5-ram-4g-o-ssd-120g-gia-re-i1332615396.html,1.300.000 ₫,,,,Hà Nội,,104.900 ₫,,92%,66%,85%,['0'],['0'],['0'],['0'],['8']
laptop,[Trả góp 0%]LAPTOP CHƠI FIFA 4 PUBG MOBI PHOTOSHOP - HP 4540s Core i5 3210M/ Ram 16G/ ssd 128G + HDD 1000g / Màn 15.6 inch Phím Số Vỏ Nhôm,https://www.lazada.vn/products/tra-gop-0laptop-choi-fifa-4-pubg-mobi-photoshop-hp-4540s-core-i5-3210m-ram-16g-ssd-128g-hdd-1000g-man-156-inch-phim-so-vo-nhom-i367088995.html,2.500.000 ₫,,,,Hà Nội,,104.900 ₫,,92%,66%,85%,['0'],['0'],['2'],['1'],['43']
laptop,"Laptop Cũ Rẻ Core i7 / i5 / i3 đời mới Ram 8gb ổ cứng SSD / Màn hình 14 - 15.6inch / Làm Văn Phòng, Học Tập Mượt Mà",https://www.lazada.vn/products/laptop-cu-re-core-i7-i5-i3-doi-moi-ram-8gb-o-cung-ssd-man-hinh-14-156inch-lam-van-phong-hoc-tap-muot-ma-i2419272421.html,2.750.000 ₫,31% Off,,,Hồ Chí Minh,4.000.000 ₫,16.500 ₫,,96%,80%,94%,['0'],['0'],['0'],['0'],['0']
laptop,"Laptop giá rẻ phục vụ online, giải trí",https://www.lazada.vn/products/laptop-gia-re-phuc-vu-online-giai-tri-i767068727.html,1.600.000 ₫,,,,Nghệ An,,56.800 ₫,,95%,100%,Không đủ thông tin,['6'],['1'],['2'],['9'],['115']
laptop,[Trả góp 0%]Laptop giá rẻ Dell Latitude E6410 Core i5-520M/ ram 4Gb/ SSD 128Gb/ 14 inch học tập giải trí - Bảo hành 6 tháng,https://www.lazada.vn/products/tra-gop-0laptop-gia-re-dell-latitude-e6410-core-i5-520m-ram-4gb-ssd-128gb-14-inch-hoc-tap-giai-tri-bao-hanh-6-thang-i259667498.html,2.550.000 ₫,49% Off,,,Thái Bình,5.000.000 ₫,80.200 ₫,,95%,100%,Không đủ thông tin,['2'],['0'],['0'],['2'],['46']
laptop,Laptop Dell inspiron 3168 8GB SSD màn cảm ứng chip lõi tứ window 10 mỏng nhẹ cực đẹp,https://www.lazada.vn/products/laptop-dell-inspiron-3168-8gb-ssd-man-cam-ung-chip-loi-tu-window-10-mong-nhe-cuc-dep-i2098626409.html,3.240.000 ₫,,,,Hà Nội,,Miễn phí,,98%,100%,100%,['0'],['0'],['0'],['0'],['0']
laptop,"Ổ cứng Laptop HDD, SSD M2 1TB, 750GB, 640Gb, 500Gb, 320Gb bảo hành 1 đổi 1",https://www.lazada.vn/products/o-cung-laptop-hdd-ssd-m2-1tb-750gb-640gb-500gb-320gb-bao-hanh-1-doi-1-i2164261181.html,465.000 ₫,6% Off,,,Hồ Chí Minh,199.000 ₫,16.500 ₫,,99%,100%,100%,['3'],['1'],['2'],['12'],['771']
laptop,"Máy tính Laptop Dell Laititude 7490 Core i5, Ram 8, SSD 256, 14inch Full HD",https://www.lazada.vn/products/may-tinh-laptop-dell-laititude-7490-core-i5-ram-8-ssd-256-14inch-full-hd-i2010015724.html,6.000.000 ₫,,,,Nam Định,,56.800 ₫,,99%,100%,100%,['0'],['0'],['0'],['0'],['42']
laptop,Laptop cũ giá rẻ i3 i5 i7 ram 4gb - 8gb nhiều hãng,https://www.lazada.vn/products/laptop-cu-gia-re-i3-i5-i7-ram-4gb-8gb-nhieu-hang-i2301229743.html,1.799.000 ₫,,,,Đồng Nai,,65.500 ₫,,96%,50%,100%,['0'],['0'],['0'],['1'],['12']
laptop,LAPTOP CORE I7 RAM 8GB SSD 256GB WIN 10 (MÁY ĐÃ SỬ DỤNG) VÀ NHIỀU CẤU HÌNH KHÁC QUÝ KHÁCH TỰ CHỌN,https://www.lazada.vn/products/laptop-core-i7-ram-8gb-ssd-256gb-win-10-may-da-su-dung-va-nhieu-cau-hinh-khac-quy-khach-tu-chon-i2230649187.html,4.000.000 ₫,50% Off,,,Hồ Chí Minh,8.598.000 ₫,10.200 ₫,,91%,100%,80%,['0'],['0'],['0'],['0'],['1']
laptop,DELL INSPIRON 3542 CORE I3 4005U RAM 8G SSD 128G 15.6INCH GIÁ RẺ,https://www.lazada.vn/products/dell-inspiron-3542-core-i3-4005u-ram-8g-ssd-128g-156inch-gia-re-i2659784426.html,3.200.000 ₫,33% Off,,,Hồ Chí Minh,4.800.000 ₫,23.800 ₫,,96%,100%,100%,['0'],['0'],['0'],['0'],['1']
laptop,LapTop Dell Vostro 3405 (P132G002ABL) | AMD Ryzen™ 3 3250U | 8GB | 1TB | AMD Radeon™ Graphics | 14 inch Full HD | Win 10 _ Office Home & Student 2021 | Hàng Chính Hàng Dell Việt Nam,https://www.lazada.vn/products/laptop-dell-vostro-3405-p132g002abl-amd-ryzen-3-3250u-8gb-1tb-amd-radeon-graphics-14-inch-full-hd-win-10-_-office-home-student-2021-hang-chinh-hang-dell-viet-nam-i1625675934.html,9.999.000 ₫,26% Off,,,Hồ Chí Minh,4.800.000 ₫,23.800 ₫,,96%,100%,100%,['0'],['0'],['0'],['0'],['1']
laptop,Laptop Dell 7240. Mỏng nhẹ giá tốt.,https://www.lazada.vn/products/laptop-dell-7240-mong-nhe-gia-tot-i2212086652.html,12.000.000 ₫,,,,Thái Nguyên,,43.900 ₫,,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,['0'],['0'],['0'],['0'],['0']
laptop,"Máy tính xách tay Asus i7/J4125 sổ ghi chép phiên bản sang trọng 15,6 -inch máy tính xách tay màu hồng Máy tính xách tay SSD 512GB/1TB Máy ảnh được xây dựng Window10/11 chạy trơn tru",https://www.lazada.vn/products/may-tinh-xach-tay-asus-i7j4125-so-ghi-chep-phien-ban-sang-trong-156-inch-may-tinh-xach-tay-mau-hong-may-tinh-xach-tay-ssd-512gb1tb-may-anh-duoc-xay-dung-window1011-chay-tron-tru-i2034062366.html,6.851.459 ₫,24% Off,,,Hồ Chí Minh,9.999.999 ₫,Miễn phí,,97%,Không đủ thông tin,100%,['0'],['0'],['0'],['0'],['27']
laptop,Laptop HP Elitebook 820 G3 core i3-6100U laptop cơ bản dùng trong học tập giải trí,https://www.lazada.vn/products/laptop-hp-elitebook-820-g3-core-i3-6100u-laptop-co-ban-dung-trong-hoc-tap-giai-tri-i2498985487.html,2.700.000 ₫,36% Off,,,Hồ Chí Minh,4.200.000 ₫,20.100 ₫,,88%,100%,Không đủ thông tin,['0'],['0'],['0'],['0'],['1']
laptop,Laptop Dell Latitude E7400 Core i5 8265U Ram 8G SSD 256G Màn hình 14” Full HD,https://www.lazada.vn/products/laptop-dell-latitude-e7400-core-i5-8265u-ram-8g-ssd-256g-man-hinh-14-full-hd-i2403355302.html,6.950.000 ₫,,,,Hồ Chí Minh,,Miễn phí,,96%,100%,93%,['0'],['0'],['0'],['0'],['0']
laptop,2024 máy tính laptop lenovo factorey Mới 14 Inch Intel Celeron J4105 12th gen laptop chính hãng Mini Siêu Nhỏ Window 10 / MS Office bảo hành 2 năm,https://www.lazada.vn/products/2024-may-tinh-laptop-lenovo-factorey-moi-14-inch-intel-celeron-j4105-12th-gen-laptop-chinh-hang-mini-sieu-nho-window-10-ms-office-bao-hanh-2-nam-i2407684614.html,6.414.925 ₫,"52% Off
Áp dụng voucher",,,Hồ Chí Minh,12.999.999 ₫,Miễn phí,,97%,81%,100%,['1'],['0'],['0'],['0'],['18']
laptop,"Laptop 2 trong 1 Toshiba D83 Core i7-8550U, 8gb ram, 512gb SSD, màn 13.3” Full HD cảm ứng bàn phím tháo rời",https://www.lazada.vn/products/laptop-2-trong-1-toshiba-d83-core-i7-8550u-8gb-ram-512gb-ssd-man-133-full-hd-cam-ung-ban-phim-thao-roi-i2541136792.html,4.600.000 ₫,,,,Hưng Yên,,70.000 ₫,,91%,65%,100%,['0'],['0'],['0'],['0'],['1']
laptop,Loa Laptop Cho Asus Fx506L Fx506Li Fa506 Fa507 Fa506Iv Fa506Iu,https://www.lazada.vn/products/loa-laptop-cho-asus-fx506l-fx506li-fa506-fa507-fa506iv-fa506iu-i1837937396.html,240.000 ₫,,,,Hồ Chí Minh,12.999.999 ₫,Miễn phí,,97%,81%,100%,['1'],['0'],['0'],['0'],['18']
laptop,Laptop Xiaomi Redmibook 15 - JYU4506AP- i5-11300H | 8GB | 512GB-SSD | 15.6 Full HD,https://www.lazada.vn/products/laptop-xiaomi-redmibook-15-jyu4506ap-i5-11300h-8gb-512gb-ssd-156-full-hd-i2189013246.html,12.870.000 ₫,20% Off,,,Hà Nội,15.990.000 ₫,74.400 ₫,,98%,100%,92%,['0'],['0'],['0'],['0'],['2']
laptop,Dell Inspiron 5620 (N5620-I5P165W11SLU) Core i5 _ 1240P | 16GB | 512GB SSD PCIe| 16.0 inch Full HD+ | Win 11 _ Office 2021 | Finger | LED KEY| Hàng Chính Hãng,https://www.lazada.vn/products/dell-inspiron-5620-n5620-i5p165w11slu-core-i5-_-1240p-16gb-512gb-ssd-pcie-160-inch-full-hd-win-11-_-office-2021-finger-led-key-hang-chinh-hang-i2055672835.html,21.799.000 ₫,13% Off,,,Hồ Chí Minh,25.000.000 ₫,23.800 ₫,30 Ngày Trả Hàng Miễn Phí,93%,100%,Không đủ thông tin,['0'],['0'],['0'],['0'],['0']
laptop,2024 Laptop chính hãng intel core i7 RAM 16GB SSD 512GB Windows 10PRO/ MS Office 15.6inch máy tính laptop Chỉnh sửa video Photoshop Bảo hành 2 năm,https://www.lazada.vn/products/2024-laptop-chinh-hang-intel-core-i7-ram-16gb-ssd-512gb-windows-10pro-ms-office-156inch-may-tinh-laptop-chinh-sua-video-photoshop-bao-hanh-2-nam-i2593070425.html,8.275.139 ₫,"36% Off
Áp dụng voucher",,,Hồ Chí Minh,13.999.999 ₫,Miễn phí,,97%,81%,100%,['0'],['0'],['0'],['0'],['4']
laptop,"Laptop Lenovo Thinkpad P52 Core i7-8850H, Ram 16GB, SSD 512GB, 15.6 Inch FHD, Nvidia Quadro P1000",https://www.lazada.vn/products/laptop-lenovo-thinkpad-p52-core-i7-8850h-ram-16gb-ssd-512gb-156-inch-fhd-nvidia-quadro-p1000-i2664320069.html,11.200.000 ₫,44% Off,,,Hồ Chí Minh,20.000.000 ₫,1.200 ₫,,99%,75%,100%,['0'],['0'],['0'],['0'],['0']
laptop,"Laptop Cảm Ứng Lenovo ThinkPad Yoga 370 Touch Laptop with Intel Core i5-7300U, 8GB DDR4 RAM, 256GB SSD - 13.3"" - Black",https://www.lazada.vn/products/laptop-cam-ung-lenovo-thinkpad-yoga-370-touch-laptop-with-intel-core-i5-7300u-8gb-ddr4-ram-256gb-ssd-133-black-i2345031198.html,6.047.091 ₫,45% Off,,,Hà Nội,11.000.000 ₫,38.000 ₫,30 Ngày Trả Hàng Miễn Phí,94%,100%,76%,['0'],['0'],['0'],['0'],['5']
laptop,laptop Toshiba Z930 siêu mỏng - i5 3337u Ram 10GB SSD 256G,https://www.lazada.vn/products/laptop-toshiba-z930-sieu-mong-i5-3337u-ram-10gb-ssd-256g-i1926374288.html,2.789.000 ₫,20% Off,,,Quảng Trị,4.199.000 ₫,70.000 ₫,,97%,Không đủ thông tin,Không đủ thông tin,['0'],['0'],['0'],['4'],['62']
