Type,Title,Link,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Return,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
dien thoai,Điện thoại OPPO FIND N3 (16GB/512GB) - Hàng chính hãng,https://www.lazada.vn/products/dien-thoai-oppo-find-n3-16gb512gb-hang-chinh-hang-i2455329959.html,41.990.000 ₫,7% Off,11 Đã bán,,Hồ Chí Minh,44.990.000 ₫,20.100 ₫,30 Ngày Trả Hàng Miễn Phí,99%,100%,83%,['0'],['0'],['0'],['0'],['0']
dien thoai,Điện thoại Samsung Galaxy Z Fold 5 - Bảo hành 12 tháng,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-z-fold-5-bao-hanh-12-thang-i2616517472.html,40.990.000 ₫,,,,Hồ Chí Minh,,18.300 ₫,,97%,99%,88%,['0'],['0'],['0'],['0'],['0']
dien thoai,Điện thoại Samsung Galaxy S24 Ultra 12GB/1TB - Độc Quyền Online,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-ultra-12gb1tb-doc-quyen-online-i2534500258.html,37.590.001 ₫,16% Off,24 Đã bán,(2),Hồ Chí Minh,44.490.000 ₫,,30 Ngày Trả Hàng Miễn Phí,91%,Không đủ thông tin,100%,['0'],['0'],['0'],['0'],['2']
dien thoai,[GIÁ SỐC CHỈ 6.6] [TẶNG Buds2 Pro + Duo Charger - KIỂM TRA GIỎ HÀNG] Điện thoại Samsung Galaxy S24 Ultra - Điện thoại AI - Camera 200MP Zoom 100x - S Pen - Snapdragon 8 Gen 3,https://www.lazada.vn/products/gia-soc-chi-66-tang-buds2-pro-duo-charger-kiem-tra-gio-hang-dien-thoai-samsung-galaxy-ultra-dien-thoai-ai-camera-200mp-zoom-100x-s-pen-snapdragon-8-gen-3-i2540035297.html,31.989.000 ₫,6% Off,1.4K Đã bán,(324),Bắc Ninh,33.990.000 ₫,16.500 ₫,30 Ngày Trả Hàng Miễn Phí,91%,99%,100%,['2'],['0'],['1'],['0'],['320']
dien thoai,Điện thoại Samsung Galaxy S23 Ultra,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-ultra-i2161334484.html,31.990.000 ₫,,203 Đã bán,(43),Hồ Chí Minh,,,30 Ngày Trả Hàng Miễn Phí,99%,Không đủ thông tin,100%,['2'],['0'],['0'],['0'],['41']
dien thoai,Điện thoại Samsung Galaxy S24 Ultra 12GB/512GB - Độc Quyền Online,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-ultra-12gb512gb-doc-quyen-online-i2534394835.html,31.590.000 ₫,16% Off,21 Đã bán,(2),Hồ Chí Minh,37.490.000 ₫,,30 Ngày Trả Hàng Miễn Phí,91%,Không đủ thông tin,100%,['0'],['0'],['0'],['0'],['3']
dien thoai,Điện thoại Samsung Galaxy S24 Ultra - Hàng Chính Hãng 100%,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-ultra-hang-chinh-hang-100-i2575878854.html,31.210.000 ₫,8% Off,,,Hà Nội,33.990.000 ₫,,30 Ngày Trả Hàng Miễn Phí,94%,Không đủ thông tin,71%,['0'],['0'],['0'],['0'],['0']
dien thoai,Điện thoại Samsung Galaxy S24 Ultra Mầu độc quyền Online,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-ultra-mau-doc-quyen-online-i2575879871.html,30.470.000 ₫,10% Off,,,Hà Nội,44.490.000 ₫,,30 Ngày Trả Hàng Miễn Phí,94%,Không đủ thông tin,71%,['0'],['0'],['0'],['0'],['0']
dien thoai,Điện thoại Xiaomi 14 Ultra 16GB/512GB Chính hãng,https://www.lazada.vn/products/dien-thoai-xiaomi-14-ultra-16gb512gb-chinh-hang-i2659247573.html,29.990.000 ₫,9% Off,,,Hà Nội,32.990.000 ₫,38.000 ₫,,98%,100%,92%,['0'],['0'],['0'],['0'],['0']
dien thoai,Điện thoại thông minh Xiaomi 14 Ultra (16+512GB),https://www.lazada.vn/products/dien-thoai-thong-minh-xiaomi-14-ultra-16512gb-i2645089479.html,29.517.000 ₫,11% Off,6 Đã bán,(1),Hồ Chí Minh,32.990.000 ₫,18.300 ₫,30 Ngày Trả Hàng Miễn Phí,99%,99%,100%,['0'],['0'],['0'],['0'],['1']
dien thoai,Điện thoại Samsung Galaxy Z Flip 5 - Bảo hành 12 tháng,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-z-flip-5-bao-hanh-12-thang-i2616382977.html,29.990.000 ₫,,,,Hồ Chí Minh,,18.300 ₫,,97%,99%,88%,['0'],['0'],['0'],['0'],['0']
dien thoai,Điện thoại Samsung Galaxy Z Flip 5 - Bảo hành 12 tháng,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-z-flip-5-bao-hanh-12-thang-i2580542717.html,29.990.000 ₫,,,,Hồ Chí Minh,,7.300 ₫,30 Ngày Trả Hàng Miễn Phí,97%,98%,85%,['0'],['0'],['0'],['0'],['0']
dien thoai,Điện Thoại Samsung Galaxy Z Fold 5 5G - Hàng Chính Hãng,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-z-fold-5-5g-hang-chinh-hang-i2408047565.html,29.990.000 ₫,33% Off,,,Đà Nẵng,44.990.000 ₫,Miễn phí,,93%,Không đủ thông tin,100%,['0'],['0'],['0'],['0'],['0']
dien thoai,(MEGA 6.6 SALE LỚN NHẤT NĂM) Điện thoại Sony Xperia 1 V – Cảm biến Exmor T mới dành cho di động và màn hình OLED 4K HDR,https://www.lazada.vn/products/mega-66-sale-lon-nhat-nam-dien-thoai-sony-xperia-1-v-cam-bien-exmor-t-moi-danh-cho-di-dong-va-man-hinh-oled-4k-hdr-i2299841231.html,29.890.000 ₫,17% Off,16 Đã bán,(4),Bình Dương,35.990.000 ₫,,30 Ngày Trả Hàng Miễn Phí,98%,Không đủ thông tin,97%,['0'],['0'],['0'],['0'],['4']
