,Type,Title,Links,Price,Discount_percent,Sold,Preview,Location,Original,Ship_price,Return,Positive_review,Ship_on_time,Rate_response,One_star,Two_star,Three_star,Four_star,Five_star
0,quần áo,Đồ Bộ Nữ Đi Chơi Chất Thun Mát Size M - dưới 53kg / Size L Từ 54kg đến 65kg/ Size XL từ 65kg đến 72kg,https://www.lazada.vn/products/do-bo-nu-di-choi-chat-thun-mat-size-m-duoi-53kg-size-l-tu-54kg-den-65kg-size-xl-tu-65kg-den-72kg-i1072394871.html,35.891 ₫,64% Off,3.0K Đã bán,(1024),Hồ Chí Minh,100.000 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,97%,100%,100%,20,7,27,36,934
1,quần áo,Set Baggy Jeans Ống Suông Đai Nút Rách + Sơ mi rút dâY HOT,https://www.lazada.vn/products/set-baggy-jeans-ong-suong-dai-nut-rach-so-mi-rut-day-hot-i2511148108.html,149.000 ₫,,5 Đã bán,,Hồ Chí Minh,,18.300 ₫,3 ngày trả hàng cho Nhà bán hàng,92%,99%,60%,0,0,0,0,0
2,quần áo,"Bộ Pijama, Đồ Bộ Mặc Nhà Nữ Dáng Cộc xinh xắn",https://www.lazada.vn/products/bo-pijama-do-bo-mac-nha-nu-dang-coc-xinh-xan-i2379278926.html,15.971 ₫,54% Off,229 Đã bán,(68),Hà Nội,59.000 ₫,32.700 ₫,3 ngày trả hàng cho Nhà bán hàng,95%,100%,100%,0,1,0,3,65
3,quần áo,"Bộ mẫu hoạ tiết Sư Thích Minh Tuệ quần đùi tay ngắntừ 7KG ĐẾN 70KG , chất thun mềm - mịn - mát",https://www.lazada.vn/products/bo-mau-hoa-tiet-su-thich-minh-tue-quan-dui-tay-ngantu-7kg-den-70kg-chat-thun-mem-min-mat-i2659422024.html,37.000 ₫,8% Off,101 Đã bán,(16),Cần Thơ,45.000 ₫,28.700 ₫,3 ngày trả hàng cho Nhà bán hàng,97%,100%,42%,0,0,0,0,17
4,quần áo,Bộ Đồ Ngủ Mỏng Mùa Hè Tay Ngắn Phong Cách Mới 2023 Cho Nữ [Lff0707],https://www.lazada.vn/products/bo-do-ngu-mong-mua-he-tay-ngan-phong-cach-moi-2023-cho-nu-lff0707-i2609452154.html,27.200 ₫,26% Off,7 Đã bán,,Nước ngoài,118.000 ₫,,Không áp dụng chính sách bảo hành,92%,Không đủ thông tin,100%,0,0,0,0,0
5,quần áo,Đồ bộ đùi thun cotton áo form rộng co giản 4 chiều,https://www.lazada.vn/products/do-bo-dui-thun-cotton-ao-form-rong-co-gian-4-chieu-i2403382249.html,73.300 ₫,59% Off,1.4K Đã bán,(479),Hồ Chí Minh,178.000 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,95%,99%,91%,6,2,6,11,455
6,quần áo,Đồ ngủ nữ pijama mặc nhà bộ ngủ hoạt hình cộc tay quần đùi mùa hè dễ thương,https://www.lazada.vn/products/do-ngu-nu-pijama-mac-nha-bo-ngu-hoat-hinh-coc-tay-quan-dui-mua-he-de-thuong-i2205793953.html,25.000 ₫,50% Off,907 Đã bán,(246),Hồ Chí Minh,71.998 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,91%,100%,50%,5,2,6,7,226
7,quần áo,Set Đồ Bộ Nữ Áo Cổ Tim Kèm Chân Váy Xếp Li Phối Viền Màu Chất Vải Tăm Lạnh Phối Logo Thêu - TP88,https://www.lazada.vn/products/set-do-bo-nu-ao-co-tim-kem-chan-vay-xep-li-phoi-vien-mau-chat-vai-tam-lanh-phoi-logo-theu-tp88-i2620522284.html,44.500 ₫,56% Off,176 Đã bán,(52),Hồ Chí Minh,250.000 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,93%,99%,88%,1,0,0,1,50
8,quần áo,Bộ Đồ Ngủ Mặc Nhà Tay Ngắn In Họa Tiết Dễ Thương Chất Lượng Cao Cho Nữ,https://www.lazada.vn/products/bo-do-ngu-mac-nha-tay-ngan-in-hoa-tiet-de-thuong-chat-luong-cao-cho-nu-i2609252762.html,38.660 ₫,47% Off,192 Đã bán,(59),Nước ngoài,73.000 ₫,,Không áp dụng chính sách bảo hành,92%,Không đủ thông tin,100%,2,0,0,0,57
9,quần áo,"Đồ bộ nữ mặc nhà dễ thương , bộ ngủ pijama ngắn hoạt hình cộc tay mùa hè",https://www.lazada.vn/products/do-bo-nu-mac-nha-de-thuong-bo-ngu-pijama-ngan-hoat-hinh-coc-tay-mua-he-i2016109656.html,25.000 ₫,50% Off,250 Đã bán,(57),Hồ Chí Minh,75.999 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,91%,100%,50%,1,1,2,2,51
10,quần áo,Set bộ đùi chất cotton su form rộng tay lỡ - ampris,https://www.lazada.vn/products/set-bo-dui-chat-cotton-su-form-rong-tay-lo-ampris-i2387695921.html,55.000 ₫,44% Off,40 Đã bán,(13),Thanh Hóa,99.000 ₫,37.700 ₫,3 ngày trả hàng cho Nhà bán hàng,93%,100%,100%,0,0,0,1,12
11,quần áo,"Bộ quần áo NAM NỮ BURBRRY phối tay kẻ in chữ ,+ + quần đùi kẻ",https://www.lazada.vn/products/bo-quan-ao-nam-nu-burbrry-phoi-tay-ke-in-chu-quan-dui-ke-i2612919320.html,47.227 ₫,52% Off,61 Đã bán,(22),Hà Nội,99.000 ₫,32.700 ₫,3 ngày trả hàng cho Nhà bán hàng,91%,99%,66%,0,2,0,1,19
12,quần áo,"Set Đồ Bộ Áo Thun Cotton In Chữ 3D Chuột Màu Loang Phối Quần Đùi Siêu Cưng , Hot , Đi Chơi Cực Xinh DB621145",https://www.lazada.vn/products/set-do-bo-ao-thun-cotton-in-chu-3d-chuot-mau-loang-phoi-quan-dui-sieu-cung-hot-di-choi-cuc-xinh-db621145-i2401277353.html,40.000 ₫,50% Off,1.4K Đã bán,(345),Hồ Chí Minh,123.000 ₫,16.500 ₫,3 ngày trả hàng cho Nhà bán hàng,94%,95%,100%,9,1,10,9,316
13,quần áo,Áo thun form rộng tay lỡ vạch tay cá tính,https://www.lazada.vn/products/ao-thun-form-rong-tay-lo-vach-tay-ca-tinh-i2560510682.html,41.818 ₫,72% Off,624 Đã bán,(231),Hà Nội,150.000 ₫,32.700 ₫,3 ngày trả hàng cho Nhà bán hàng,92%,97%,85%,3,0,8,11,209
14,quần áo,SÉT BỘ ÁO CỘC TAY CÔ BÉ ĐI XE MÁY KÈM QUẦN BOM DÂY RÚT,https://www.lazada.vn/products/set-bo-ao-coc-tay-co-be-di-xe-may-kem-quan-bom-day-rut-i1896905264.html,36.000 ₫,60% Off,102 Đã bán,(21),Nam Định,189.000 ₫,37.700 ₫,3 ngày trả hàng cho Nhà bán hàng,94%,100%,83%,N/A,N/A,N/A,N/A,N/A
